"","curDur","W_P_G","mu_r","sig_r","predY","W_DL_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","NSub","exp","model","group"
"1",0.4,0,0.561586609276957,0.103706129964037,0.563846711515814,0.893996793888153,0,0.855410379534911,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"2",0.41,0,0.562646641338076,0.103706129964037,0.564307847824595,0.893996793888153,0,0.834761614754935,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"3",0.42,0,0.563706673399194,0.103706129964037,0.562128780116222,0.893996793888153,0,0.862400581503785,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"4",0.43,0,0.564766705460313,0.103706129964037,0.566070292735666,0.893996793888153,0,0.844112416416459,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"5",0.44,0,0.565826737521431,0.103706129964037,0.567598601655668,0.893996793888153,0,0.843023231681612,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"6",0.45,0,0.56688676958255,0.103706129964037,0.565876453054102,0.893996793888153,0,0.841220247181494,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"7",0.46,0,0.567946801643668,0.103706129964037,0.568973924211688,0.893996793888153,0,0.856690423580555,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"8",0.47,0,0.569006833704787,0.103706129964037,0.569985456632946,0.893996793888153,0,0.853610149975557,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"9",0.48,0,0.570066865765905,0.103706129964037,0.569834750064594,0.893996793888153,0,0.846734928951759,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"10",0.49,0,0.571126897827024,0.103706129964037,0.571686706526386,0.893996793888153,0,0.851756316489134,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"11",0.5,0,0.572186929888142,0.103706129964037,0.571630334312215,0.893996793888153,0,0.857229624240172,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"12",0.51,0,0.573246961949261,0.103706129964037,0.573713486742662,0.893996793888153,0,0.848536907321845,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"13",0.52,0,0.574306994010379,0.103706129964037,0.573669764506983,0.893996793888153,0,0.837190505971612,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"14",0.53,0,0.575367026071498,0.103706129964037,0.577232399239925,0.893996793888153,0,0.851318215077441,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"15",0.54,0,0.576427058132616,0.103706129964037,0.576216430167181,0.893996793888153,0,0.854154071698347,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"16",0.55,0,0.577487090193735,0.103706129964037,0.579467084377836,0.893996793888153,0,0.860780987015369,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"17",0.56,0,0.578547122254853,0.103706129964037,0.578597611201588,0.893996793888153,0,0.847323083501074,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"18",0.57,0,0.579607154315972,0.103706129964037,0.581220480770946,0.893996793888153,0,0.860252821259649,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"19",0.58,0,0.58066718637709,0.103706129964037,0.58064850706158,0.893996793888153,0,0.84604760906049,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"20",0.59,0,0.581727218438208,0.103706129964037,0.581161515170659,0.893996793888153,0,0.83522938684701,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"21",0.6,0,0.582787250499327,0.103706129964037,0.583458137111947,0.893996793888153,0,0.851870369174108,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"22",0.61,0,0.583847282560445,0.103706129964037,0.583681985637285,0.893996793888153,0,0.848352750187528,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"23",0.62,0,0.584907314621564,0.103706129964037,0.584160083149522,0.893996793888153,0,0.849150386051684,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"24",0.63,0,0.585967346682682,0.103706129964037,0.587148819235335,0.893996793888153,0,0.851053698326668,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"25",0.64,0,0.587027378743801,0.103706129964037,0.588597002258825,0.893996793888153,0,0.848440156191339,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"26",0.65,0,0.588087410804919,0.103706129964037,0.587425223934375,0.893996793888153,0,0.836695538966345,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"27",0.66,0,0.589147442866038,0.103706129964037,0.588737188928542,0.893996793888153,0,0.849664798932481,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"28",0.67,0,0.590207474927156,0.103706129964037,0.588936641807792,0.893996793888153,0,0.852604094562837,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
