"","Nsub","Exp","model","mu_p_s","mu_p_l","sig_pr2_s","sig_pr2_l","sig2_mn","sig2_t"
"1",1,"Exp1","Baseline",0.580738258948754,1.71681155194762,0.0103279762457346,0.113771894056732,0.00160225492622714,0.0881403737520712
"2",2,"Exp1","Baseline",0.545935334075855,1.5112916607647,0.00717485936141839,0.0873932107116768,0.000869099398359745,0.066737046151746
"3",3,"Exp1","Baseline",0.580458724170002,1.40111138262849,0.0105106278296849,0.0819131529337063,0.00297406316219537,0.2154960796815
"4",4,"Exp1","Baseline",0.527041670109635,1.15208094336858,0.00665543705456323,0.388186823392195,0.00156209275603822,0.0451738788051273
"5",5,"Exp1","Baseline",0.595688871919212,1.24680405084156,0.0133850883076226,0.226846362432093,0.00205645545240747,0.12243723075649
"6",6,"Exp1","Baseline",0.57887947944631,1.52388858648444,0.00324990559349065,0.13059188626724,0.00138604908108265,0.108297611485184
"7",7,"Exp1","Baseline",0.569822484395382,1.86543721309647,0.0166740513815754,0.243292584572129,0.000684819288567566,0.0283300890303006
"8",8,"Exp1","Baseline",0.612258482479218,1.56710099346019,0.00634858649461889,0.196074183860846,0.00134501652966433,0.170583704795782
"9",9,"Exp1","Baseline",0.623781915475019,1.59433082265508,0.0170886139762262,0.0476978490182616,0.00123382490846152,0.0522355059222417
"10",10,"Exp1","Baseline",0.620962567218811,2.37241188034095,0.0201482025521578,0.112444835624483,0.00177027386578813,0.0322178864460424
"11",11,"Exp1","Baseline",0.556724657459485,1.80167831319581,0.0075088895059221,0.267129139855649,0.000555118661954346,0.0614425762853761
"12",12,"Exp1","Baseline",0.596660648334187,2.28819686060164,0.0309610070743554,0.333701004190879,0.0011805429289008,0.0400752426175306
"13",13,"Exp1","Baseline",0.634030268704522,1.3362688231665,0.0343570488355673,0.491054192339278,0.00118655935023402,0.0447329416784798
"14",14,"Exp1","Baseline",0.678565352736511,1.75492920889139,0.0252859547912878,0.165500934761524,0.00152672993629284,0.0703422896068245
"15",15,"Exp1","Baseline",0.639084399485529,1.59397862596323,0.013012622907574,0.34149252536132,0.00142009448210955,0.105289502005798
"16",16,"Exp1","Baseline",0.644573134619825,1.39094446402931,0.00955195500109238,0.313330741293954,0.000631923226939701,0.039265727038205
"17",1,"Exp2","Baseline",0.625399023954717,1.12599579452851,0.011011377212681,0.318988998661746,0.00113326226626549,0.0370700824858738
"18",2,"Exp2","Baseline",0.6427405895135,1.46728984534017,0.00547999602205742,0.081694367301321,0.00141276721844993,0.0906863406229419
"19",3,"Exp2","Baseline",0.599025940613028,1.41938633818699,0.0055134495123765,0.0889779726400699,0.00208423925968772,0.163189276892433
"20",4,"Exp2","Baseline",0.584597038571408,1.64768275482672,0.0080254859872817,0.0831412526255438,0.00168300144385072,0.0519360044622245
"21",5,"Exp2","Baseline",0.58153376170027,1.32356548755,0.00379150737450284,0.35913535422251,0.000750362930820467,0.0529796750662006
"22",6,"Exp2","Baseline",0.653044202828126,1.49613155955358,0.00564245786673646,0.0916510521615159,0.00495709873290353,0.31342351304046
"23",7,"Exp2","Baseline",0.645215858955467,1.63593987540601,0.0061661378102518,0.0571064367158984,0.00139522875071041,0.0642810891517951
"24",8,"Exp2","Baseline",0.672032603002888,1.58960081677925,0.00573806618603756,0.0885007712471597,0.00436857788328459,0.552792561954151
"25",9,"Exp2","Baseline",0.671875864429443,1.2602635459582,0.0199708601502143,0.252195914106179,0.00191769291122352,0.028457968591767
"26",10,"Exp2","Baseline",0.644062514017088,1.39563550721155,0.011467917717181,1.52405144887941,0.00247797212577612,0.0526272787359668
"27",11,"Exp2","Baseline",0.569598137485745,1.38745052247345,0.00267315119708397,0.188335187287563,0.00122039381677259,0.111425195231967
"28",12,"Exp2","Baseline",0.613187684011278,1.28901315335073,0.00506287771404873,0.14510720844679,0.00116218234005249,0.0608059530365814
"29",13,"Exp2","Baseline",0.563681154837394,1.4630762340389,0.00230512229915994,0.104125313638637,0.00212542595090348,0.470868687436971
"30",14,"Exp2","Baseline",0.650201310375507,1.49049068740462,0.00766009246266596,0.0878303573778888,0.00492535079234209,0.273833834893192
"31",15,"Exp2","Baseline",0.645376532139174,1.44811560931728,0.00347524591987643,0.0393953665797029,0.00305841323710216,0.713104923791029
"32",16,"Exp2","Baseline",0.665039963068472,1.13997856829602,0.0122334704990619,0.192964639801367,0.00269674947448289,0.104551560282499
