"","V1","V2","V3","V4","V5"
"1",1,6,0.4,0.446360967696364,0.213717581696983
"2",1,10,0.8,0.822757398779686,0.829617357434927
"3",1,6,0.4,0.411267672214308,0.558041154072725
"4",1,9,0.672717132202972,0.682026566284094,0.517885392586777
"5",1,8,0.565685424949238,0.576124367852572,0.341661317976104
"6",1,2,0.475682846001088,0.482071288154657,0.573906844156681
"7",1,2,0.475682846001088,0.482640108054056,0.333947883781093
"8",1,7,0.475682846001088,0.482126957242599,0.469941867787838
"9",1,10,0.8,0.811424540861935,0.717903492815367
"10",1,1,0.4,0.411597643736059,0.285980722945169
"11",1,6,0.4,0.411434679478589,0.462071378344717
"12",1,2,0.475682846001088,0.48220377436428,0.390038999461467
"13",1,4,0.672717132202972,0.68198769122273,0.661949839352474
"14",1,5,0.8,0.811427961867594,0.597919192120116
"15",1,8,0.565685424949238,0.576157955905728,0.469955862809911
"16",1,1,0.4,0.411551615663484,0.469955862810366
"17",1,3,0.565685424949238,0.576303504135922,0.333963744806169
"18",1,1,0.4,0.41160013173976,0.445975858897782
"19",1,4,0.672717132202972,0.682094986391803,0.389961560339088
"20",1,9,0.672717132202972,0.681955658171773,0.581990368936658
"21",1,6,0.4,0.411587691720342,0.365976269418297
"22",1,10,0.8,0.811422052858234,0.653904878633512
"23",1,6,0.4,0.411912998234584,0.549961050297952
"24",1,9,0.672717132202972,0.682070417353316,0.446006647946433
"25",1,8,0.565685424949238,0.576256854062194,0.502009128486407
"26",1,2,0.475682846001088,0.482125713240748,0.429959644576229
"27",1,2,0.475682846001088,0.48203645609965,0.453902950430347
"28",1,7,0.475682846001088,0.481987007021871,0.501812887176129
"29",1,10,0.8,0.811353010748917,0.741909620768638
"30",1,1,0.4,0.411520515614029,0.525917913285866
"31",1,6,0.4,0.411594533730749,0.413919794216781
"32",1,2,0.475682846001088,0.483309070111773,0.405916818564492
"33",1,4,0.672717132202972,0.681995777235443,0.637970768441392
"34",1,5,0.8,0.811440712887816,0.701910914530799
"35",1,8,0.565685424949238,0.576162931913586,0.56597881962216
"36",1,1,0.4,0.411583337713182,0.541920132585346
"37",1,3,0.565685424949238,0.576227620015743,0.517947903685126
"38",1,1,0.4,0.411597643735604,0.461910591090145
"39",1,4,0.672717132202972,0.68201288226237,0.629907769693546
"40",1,9,0.672717132202972,0.682017236269076,0.629945711754317
"41",1,1,0.4,0.411495635574283,0.437929032175361
"42",1,4,0.672717132202972,0.682023456279239,0.637895195322017
"43",1,8,0.565685424949238,0.576272093086573,0.549965715305461
"44",1,7,0.475682846001088,0.482160856296105,0.469877179685682
"45",1,2,0.475682846001088,0.482068800150955,0.525878727224153
"46",1,7,0.475682846001088,0.482130067247908,0.469916676748198
"47",1,5,0.8,0.81130760467704,0.533911558924046
"48",1,8,0.565685424949238,0.576366015234271,0.677978804694249
"49",1,5,0.8,0.81130604967484,0.725973022572816
"50",1,3,0.565685424949238,0.57619589796559,0.717916865836287
"51",1,6,0.4,0.411582093711331,0.469958661814417
"52",1,9,0.672717132202972,0.681848052001442,0.70999039630442
