"","V1","V2","V3","V4","V5"
"1",2,8,1.69705627484772,1.70574740245866,2.04375942149181
"2",2,6,1.2,1.21193211466561,1.02189091345736
"3",2,3,1.69705627484772,1.70552803018745,1.09504533567724
"4",2,10,2.4,2.39983560294877,1.3140683474885
"5",2,3,1.69705627484772,1.70588333019987,1.85599337125677
"6",2,1,1.2,1.19989533563967,1.16797698743267
"7",2,7,1.42704853800327,1.43525874978241,1.56437361854023
"8",2,4,2.01815139660892,2.02342034974208,2.0646605771035
"9",2,10,2.4,2.39994396756538,2.0437488493335
"10",2,5,2.4,2.39988770858326,1.77257942522192
"11",2,10,2.4,2.39982276532919,2.56507968763799
"12",2,5,2.4,2.3998386235653,2.36685890624994
"13",2,8,1.69705627484772,1.70577572073762,1.66843951932879
"14",2,1,1.2,1.19998482140181,1.04295895812811
"15",2,9,2.01815139660892,2.02334407917624,1.91866927496903
"16",2,4,2.01815139660892,2.0234075121225,2.15834046576401
"17",2,7,1.42704853800327,1.43522665573164,1.50136809005562
"18",2,1,1.2,1.19989533563967,0.844873726904552
"19",2,9,2.01815139660892,2.02332482274596,1.93955494992224
"20",2,6,1.2,1.1999127041845,1.15774464916649
"21",2,8,1.69705627484772,1.70582480575558,1.43919096563786
"22",2,6,1.2,1.19988287559681,1.10541360168463
"23",2,3,1.69705627484772,1.70568850043765,1.51226345363648
"24",2,10,2.4,2.39992131294093,2.1273213777331
"25",2,3,1.69705627484772,1.70579913051552,1.65820491560044
"26",2,1,1.2,1.19997424924532,1.33495930852041
"27",2,7,1.42704853800327,1.43517077432716,1.35586084170973
"28",2,4,2.01815139660892,2.02344262678889,1.99157374117658
"29",2,10,2.4,2.39987109519279,2.23145486481644
"30",2,5,2.4,2.39990167893484,1.87744314633437
"31",2,10,2.4,2.39986505395973,2.31491676313817
"32",2,5,2.4,2.39985939030339,2.62782921887538
"33",2,8,1.69705627484772,1.70591315878664,1.80610864553273
"34",2,1,1.2,1.19991950057101,1.14729860228454
"35",2,9,2.01815139660892,2.02341279820121,1.49133133670603
"36",2,4,2.01815139660892,2.02336673379978,2.52358170352181
"37",2,7,1.42704853800327,1.43527007709417,1.19939404168326
"38",2,1,1.2,1.19992667453516,1.18910431170298
"39",2,9,2.01815139660892,2.02339316419329,1.51226383121411
"40",2,6,1.2,1.19995801343157,1.25162918459228
"41",2,9,2.01815139660892,2.02342941159168,1.67650078951283
"42",2,5,2.4,2.39984730783817,2.22130483834826
"43",2,2,1.42704853800327,1.43518852044963,1.49152390100517
"44",2,3,1.69705627484772,1.70582858152557,1.85626900250918
"45",2,2,1.42704853800327,1.43528404744484,1.20982838367581
"46",2,2,1.42704853800327,1.43523798304432,1.53284895482921
"47",2,7,1.42704853800327,1.43530556933729,1.56458128592112
"48",2,5,2.4,2.39983786841094,1.99214614799621
"49",2,4,2.01815139660892,2.02337466291829,1.82528880491554
"50",2,1,1.2,1.19992252118755,1.27271837357875
"51",2,3,1.69705627484772,1.70584255187714,1.85674701506377
