"","V1","V2","V3","V4","V5"
"1",2,5,2.4,2.41162089556201,2.24151812060018
"2",2,4,2.01815139660892,2.03533502862911,2.10616704518179
"3",2,9,2.01815139660892,2.02312323367323,1.65781863730626
"4",2,9,2.01815139660892,2.0234158515841,1.67855373125576
"5",2,1,1.2,1.2116420395655,2.3869156184337
"6",2,6,1.2,1.19992750627216,1.40754348207747
"7",2,8,1.69705627484772,1.70577287941705,1.01143360122023
"8",2,1,1.2,1.19995091570536,1.30316723963097
"9",2,9,2.01815139660892,2.02339319729435,1.46999305268446
"10",2,4,2.01815139660892,2.02339395243735,1.9911682062143
"11",2,2,1.42704853800327,1.43514171202287,1.59517726037893
"12",2,10,2.4,2.39986596211838,3.09572794840824
"13",2,6,1.2,1.19984821625803,1.15724114170052
"14",2,7,1.42704853800327,1.43518097945844,1.42822986930378
"15",2,3,1.69705627484772,1.70575815412849,1.17813368296447
"16",2,3,1.69705627484772,1.70575362327008,2.01202714361489
"17",2,1,1.2,1.19991164826934,1.24072748588333
"18",2,10,2.4,2.39982707225408,2.07450616479855
"19",2,10,2.4,2.39975646638368,1.92862159973265
"20",2,8,1.69705627484772,1.70575702141377,0.968066494116556
"21",2,5,2.4,2.39986256397515,2.2829093960554
"22",2,4,2.01815139660892,2.02335544014477,2.42360499602592
"23",2,9,2.01815139660892,2.0233324082833,2.25186886564279
"24",2,9,2.01815139660892,2.02346116016406,2.43938370892238
"25",2,1,1.2,1.19991240341278,1.24079242818107
"26",2,6,1.2,1.19993581284552,1.19917914068446
"27",2,8,1.69705627484772,1.70577929813271,2.05379561299651
"28",2,1,1.2,1.19992184269995,1.81424311073624
"29",2,9,2.01815139660892,2.02339433000861,1.73311923141546
"30",2,4,2.01815139660892,2.02340905529718,2.53303692082864
"31",2,2,1.42704853800327,1.43519343931757,1.79315460986436
"32",2,10,2.4,2.39981121425126,0.119368832605232
"33",2,6,1.2,1.19989201455155,0.750794108374066
"34",2,7,1.42704853800327,1.43518890845962,1.42839411290515
"35",2,3,1.69705627484772,1.70575815412849,1.63672824857804
"36",2,3,1.69705627484772,1.70576759341611,1.21967938516218
"37",2,1,1.2,1.19992108755696,1.27198927319341
"38",2,10,2.4,2.39984179754219,2.3767208104191
"39",2,10,2.4,2.39983915454195,1.60559257014802
"40",2,8,1.69705627484772,1.70575966441447,1.41797918070779
