"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_Ds","mu_r","sig_r","predY","W_PI_PL","sig2_PI","log_lik","W_P_G","W_L","W_P_S","W_P_L","part"
"1",1,341,1,0.565685424949238,0.526007140657384,"Exp1","mixed","PIM",0.270927963197466,0.598214884340793,0.0959012134603141,0.597747208100175,0.87874913390728,0.0114256066483514,0.928124437560521,0.0884006159062909,0.640671420896243,0.640671420896243,0.640671420896243,"all"
"2",2,342,1,1.2,1.19783450840987,"Exp1","mixed","PIM",0.454346549143742,1.31859660734392,0.175087614487387,1.31806009983866,0.730188482806131,0.0256448501574658,0.327887925379337,0.147223585437597,0.398429865418661,0.398429865418661,0.398429865418661,"all"
"3",3,343,1,0.8,0.717920096783928,"Exp1","mixed","PIM",0.270927963197466,0.657087453590756,0.0990704510400633,0.657107879237019,0.87874913390728,0.0114256066483514,0.89286569490729,0.0884006159062909,0.640671420896243,0.640671420896243,0.640671420896243,"all"
"4",4,344,1,1.69705627484772,1.47795791490353,"Exp1","mixed","PIM",0.454346549143742,1.54350588337173,0.199285981167701,1.54442555162481,0.730188482806131,0.0256448501574658,0.19256771354607,0.147223585437597,0.398429865418661,0.398429865418661,0.398429865418661,"all"
"5",5,345,1,0.672717132202972,0.773946270903252,"Exp1","mixed","PIM",0.270927963197466,0.626960212979721,0.0974243337594647,0.62672377950389,0.87874913390728,0.0114256066483514,0.911430745993085,0.0884006159062909,0.640671420896243,0.640671420896243,0.640671420896243,"all"
"6",6,346,1,0.8,0.829871990645188,"Exp1","mixed","PIM",0.270927963197466,0.657087453590756,0.0990704510400633,0.656705052951615,0.87874913390728,0.0114256066483514,0.890189273960642,0.0884006159062909,0.640671420896243,0.640671420896243,0.640671420896243,"all"
"7",7,347,1,0.672717132202972,0.56597492061519,"Exp1","mixed","PIM",0.270927963197466,0.626960212979721,0.0974243337594647,0.626593956191394,0.87874913390728,0.0114256066483514,0.905849889020274,0.0884006159062909,0.640671420896243,0.640671420896243,0.640671420896243,"all"
"8",8,349,1,2.01815139660892,1.24593473886489,"Exp1","mixed","PIM",0.454346549143742,1.66998095340348,0.213156023546734,1.66917846573659,0.730188482806131,0.0256448501574658,0.128683451851359,0.147223585437597,0.398429865418661,0.398429865418661,0.398429865418661,"all"
"9",9,350,1,1.69705627484772,0.941986539735808,"Exp1","mixed","PIM",0.454346549143742,1.54350588337173,0.199285981167701,1.54381514585985,0.730188482806131,0.0256448501574658,0.196374716054826,0.147223585437597,0.398429865418661,0.398429865418661,0.398429865418661,"all"
"10",10,351,1,0.565685424949238,0.653942476650627,"Exp1","mixed","PIM",0.270927963197466,0.598214884340793,0.0959012134603141,0.598023629532454,0.87874913390728,0.0114256066483514,0.922107132360602,0.0884006159062909,0.640671420896243,0.640671420896243,0.640671420896243,"all"
"11",11,352,1,2.4,1.30997300482886,"Exp1","mixed","PIM",0.454346549143742,1.80683344741051,0.228327207312554,1.80571770308926,0.730188482806131,0.0256448501574658,0.0627466002230024,0.147223585437597,0.398429865418661,0.398429865418661,0.398429865418661,"all"
"12",12,353,1,1.2,1.34996815316299,"Exp1","mixed","PIM",0.454346549143742,1.31859660734392,0.175087614487387,1.31784487989617,0.730188482806131,0.0256448501574658,0.326851105918207,0.147223585437597,0.398429865418661,0.398429865418661,0.398429865418661,"all"
"13",13,354,1,0.475682846001088,0.589955215385999,"Exp1","mixed","PIM",0.270927963197466,0.570788053560709,0.0944932809994911,0.570729975010193,0.87874913390728,0.0114256066483514,0.944662959454736,0.0884006159062909,0.640671420896243,0.640671420896243,0.640671420896243,"all"
