"","NSub","curDur","exp","group","model","mu_r","sig_r","log_lik","W_P_G","W_L","W_Ds","part"
"1",1,0.4,"Exp1","mixed","LGM",0.544631500262465,0.0931951496260907,0.954520333185769,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"2",1,0.41,"Exp1","mixed","LGM",0.548286286546815,0.0933741625998063,0.951569913390405,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"3",1,0.42,"Exp1","mixed","LGM",0.551876652631195,0.0935508498831795,0.954783367317132,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"4",1,0.43,"Exp1","mixed","LGM",0.55540522819569,0.0937252929950879,0.950661654367275,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"5",1,0.44,"Exp1","mixed","LGM",0.558874477389304,0.0938975688021309,0.951530665615634,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"6",1,0.45,"Exp1","mixed","LGM",0.56228671274751,0.0940677498828673,0.948582627997578,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"7",1,0.46,"Exp1","mixed","LGM",0.565644107658482,0.0942359048561268,0.947256129170103,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"8",1,0.47,"Exp1","mixed","LGM",0.568948707557421,0.094402098677637,0.945133821030289,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"9",1,0.48,"Exp1","mixed","LGM",0.572202440002859,0.0945663929086314,0.941789557157617,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"10",1,0.49,"Exp1","mixed","LGM",0.575407123767437,0.0947288459596088,0.936134001545592,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"11",1,0.5,"Exp1","mixed","LGM",0.57856447705756,0.0948895133120026,0.932479753129882,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"12",1,0.51,"Exp1","mixed","LGM",0.581676124961047,0.0950484477201599,0.933985644548826,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"13",1,0.52,"Exp1","mixed","LGM",0.584743606208929,0.0952056993957302,0.940873023562589,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"14",1,0.53,"Exp1","mixed","LGM",0.587768379326423,0.0953613161763026,0.933738686176179,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"15",1,0.54,"Exp1","mixed","LGM",0.590751828238709,0.0955153436799074,0.930275243078355,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"16",1,0.55,"Exp1","mixed","LGM",0.59369526738895,0.0956678254468058,0.926537539514308,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"17",1,0.56,"Exp1","mixed","LGM",0.596599946419061,0.0958188030698242,0.925625789441552,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"18",1,0.57,"Exp1","mixed","LGM",0.59946705445767,0.095968316314346,0.928653168387032,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"19",1,0.58,"Exp1","mixed","LGM",0.602297724054518,0.096116403228948,0.926898261250234,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"20",1,0.59,"Exp1","mixed","LGM",0.605093034796003,0.0962631002475583,0.924189987502982,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"21",1,0.6,"Exp1","mixed","LGM",0.607854016632656,0.0964084422839171,0.920240895907926,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"22",1,0.61,"Exp1","mixed","LGM",0.610581652945882,0.0965524628190399,0.921680301898494,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"23",1,0.62,"Exp1","mixed","LGM",0.613276883378332,0.0966951939823053,0.917447844771166,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"24",1,0.63,"Exp1","mixed","LGM",0.615940606449602,0.0968366666267286,0.917654538038517,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"25",1,0.64,"Exp1","mixed","LGM",0.618573681976696,0.0969769103989215,0.915570341179878,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"26",1,0.65,"Exp1","mixed","LGM",0.621176933316606,0.0971159538041918,0.916744775110612,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"27",1,0.66,"Exp1","mixed","LGM",0.623751149446637,0.0972538242671888,0.907729271819433,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"28",1,0.67,"Exp1","mixed","LGM",0.626297086896451,0.0973905481884614,0.912534939980502,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"29",1,0.68,"Exp1","mixed","LGM",0.628815471544471,0.097526150997262,0.907260122512118,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"30",1,0.69,"Exp1","mixed","LGM",0.631307000290002,0.0976606572008965,0.904648034656252,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"31",1,0.7,"Exp1","mixed","LGM",0.633772342611326,0.0977940904308915,0.903514863658077,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"32",1,0.71,"Exp1","mixed","LGM",0.636212142019083,0.0979264734862283,0.903331923257317,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"33",1,0.72,"Exp1","mixed","LGM",0.638627017413313,0.0980578283738672,0.899748064369114,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"34",1,0.73,"Exp1","mixed","LGM",0.641017564351817,0.0981881763467678,0.899655816952591,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"35",1,0.74,"Exp1","mixed","LGM",0.64338435623674,0.0983175379395909,0.898112082359092,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"36",1,0.75,"Exp1","mixed","LGM",0.645727945425692,0.0984459330022543,0.902749150990554,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"37",1,0.76,"Exp1","mixed","LGM",0.648048864273136,0.0985733807314965,0.900464812014233,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"38",1,0.77,"Exp1","mixed","LGM",0.650347626107283,0.0986998997005933,0.894212940345356,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"39",1,0.78,"Exp1","mixed","LGM",0.652624726147258,0.0988255078873548,0.897057681882644,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"40",1,0.79,"Exp1","mixed","LGM",0.654880642364919,0.0989502227005262,0.897569902829224,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"41",1,0.8,"Exp1","mixed","LGM",0.657115836295317,0.0990740610047002,0.896970926973143,0.0884471139579866,0.640595492414014,0.270957393627999,"all"
"42",1,1.2,"Exp1","mixed","LGM",1.3188622476102,0.17512864766019,0.320242042713585,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"43",1,1.21,"Exp1","mixed","LGM",1.32384563001893,0.175657050923457,0.320243512338732,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"44",1,1.22,"Exp1","mixed","LGM",1.32880661772273,0.176183478548998,0.313488039090097,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"45",1,1.23,"Exp1","mixed","LGM",1.33374549378242,0.176707951688158,0.316831071029444,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"46",1,1.24,"Exp1","mixed","LGM",1.33866253541339,0.177230491117505,0.316288037097461,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"47",1,1.25,"Exp1","mixed","LGM",1.34355801415235,0.177751117248104,0.305888442869639,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"48",1,1.26,"Exp1","mixed","LGM",1.34843219601809,0.1782698501345,0.303556866794058,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"49",1,1.27,"Exp1","mixed","LGM",1.35328534166642,0.17878670948341,0.307241058153737,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"50",1,1.28,"Exp1","mixed","LGM",1.35811770653959,0.179301714662152,0.300314325110433,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"51",1,1.29,"Exp1","mixed","LGM",1.3629295410104,0.179814884706807,0.300331547471781,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"52",1,1.3,"Exp1","mixed","LGM",1.36772109052124,0.180326238330129,0.290695174421966,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"53",1,1.31,"Exp1","mixed","LGM",1.37249259571831,0.180835793929212,0.290101904122973,0.147832545187507,0.397738698977316,0.454428755835177,"all"
"54",1,1.32,"Exp1","mixed","LGM",1.37724429258115,0.181343569592927,0.289608148206842,0.147832545187507,0.397738698977316,0.454428755835177,"all"
