"","Exp","NSub","modelname","targetDur","rep","repError","sd","cv","rep_model","repError_model","rre_model","sd_model","cv_model"
"1","Exp1",1,"long",2.4,1.39674358052315,0.196743580523152,0.226933744009601,0.162473446933332,2.07324817611028,-0.326751823889715,-0.136146593287381,0.246319247388902,0.118808375295925
"2","Exp1",1,"long",1.69705627484772,1.63572438308795,0.208675845084685,0.21939143781046,0.13412494187822,1.72154130386582,0.024485029018096,0.0144279417135375,0.226273971649572,0.131436853209076
"3","Exp1",1,"long",2.01815139660892,1.73468829597641,0.037632021128692,0.19332716100484,0.111447780822215,1.88922798209701,-0.128923414511914,-0.0638819340950051,0.235579164589792,0.124695995836513
"4","Exp1",1,"long",1.42704853800327,1.79232737359755,-0.22582402301137,0.200729996585761,0.111994047260941,1.56873838890866,0.141689850905387,0.0992887397534775,0.218246031505347,0.139122005968871
"5","Exp1",1,"long",1.2,2.12076963188501,-0.279230368114987,0.271971286429465,0.128241786538469,1.42949816383118,0.229498163831184,0.19124846985932,0.211348352270025,0.147847935462605
"6","Exp1",1,"short",0.4,0.524558970036621,0.124558970036621,0.107781947992401,0.205471556391222,0.523372726322628,0.123372726322628,0.30843181580657,0.0929701894293228,0.177636672209802
"7","Exp1",1,"short",0.8,0.525211249645933,0.0495284036448448,0.088652736434028,0.168794435560534,0.641906555965127,-0.158093444034873,-0.197616805043591,0.0932190092731498,0.145222086309731
"8","Exp1",1,"short",0.565685424949238,0.620204389780481,0.0545189648312427,0.102556660275306,0.165359455633014,0.57961744645916,0.0139320215099219,0.0246285672132565,0.09308202648147,0.160592175149491
"9","Exp1",1,"short",0.672717132202972,0.603964879324909,-0.0687522528780626,0.0725731314078758,0.1201611780622,0.60996740800956,-0.0627497241934121,-0.09327802309408,0.0931470504146708,0.152708241770864
"10","Exp1",1,"short",0.475682846001088,0.634412063061596,-0.165587936938404,0.0849704460080589,0.133935735077296,0.550777598652569,0.0750947526514807,0.157867270772486,0.0930232732682077,0.168894438509811
"11","Exp1",1,"mixed",0.565685424949238,0.444567386404222,0.0445673864042224,0.0614839381141184,0.13830060412532,0.617650704682585,0.0519652797333473,0.0918625042142644,0.103190879247729,0.167069961169654
"12","Exp1",1,"mixed",1.2,0.585590537117371,0.109907691116283,0.100055265160135,0.170862161900135,1.12222697277533,-0.0777730272246657,-0.0648108560205548,0.187490416765113,0.167069961169654
"13","Exp1",1,"mixed",0.8,0.61317692632695,0.0474915013777115,0.0771394092118484,0.125802857054535,0.813312713325804,0.0133127133258039,0.0166408916572548,0.135880123434128,0.167069961169654
"14","Exp1",1,"mixed",1.69705627484772,0.680296499503059,0.00757936730008693,0.152946014889114,0.224822581037589,1.47773079068106,-0.219325484166657,-0.129238780951054,0.246884425818287,0.167069961169654
"15","Exp1",1,"mixed",0.672717132202972,0.75179905747908,-0.0482009425209201,0.0734853590124738,0.0977460110935542,0.708761716314439,0.0360445841114665,0.0535805948533375,0.118412792423191,0.167069961169654
"16","Exp1",1,"mixed",2.01815139660892,1.21086451051395,0.0108645105139511,0.166949819522362,0.13787654859213,1.69571410428819,-0.322437292320727,-0.159768634237508,0.283302889558263,0.167069961169654
"17","Exp1",1,"mixed",2.4,1.40220918324472,-0.02483935475855,0.221414532519185,0.15790406678612,1.94585261511446,-0.45414738488554,-0.189228077035642,0.325093520849043,0.167069961169654
