"","NSub","Exp","maxDur","mixDur","sl_minRP","sl_slope","sl_ci","sl_inP","ss_minRP","ss_slope","ss_ci","ss_inP","ml_minRP","ml_slope","ml_ci","ml_inP","ms_minRP","ms_slope","ms_ci","ms_inP"
"1","1","Exp1",2.4,0.4,"0.787834695544245","0.538800948877349","0.461199051122651","1.70823138865203","0.405618740707974","0.292649385095805","0.707350614904195","0.5734337853978","0.697875922719326","0.467892971496661","0.532107028503339","1.31153299117707","0.194913467560862","0.736365831254257","0.263634168745743","0.739333101199195"
"2","2","Exp1",2.4,0.4,"0.711976373133256","0.539404244435731","0.460595755564269","1.54577276175944","0.373383381467857","0.301768413018271","0.698231586981729","0.534755786517615","0.449955365982699","0.689032952880358","0.310967047119642","1.44695513608419","0.125041346166153","0.829796901162427","0.170203098837573","0.734659633227249"
"3","3","Exp1",2.4,0.4,"1.06095345437566","0.251763637898946","0.748236362101054","1.41793891357605","0.324721229763758","0.439313276828379","0.560686723171621","0.579149133275202","0.836851122834702","0.300216860810247","0.699783139189753","1.19587208660622","0.317207454940508","0.51476995376603","0.48523004623397","0.653725912899376"
"4","4","Exp1",2.4,0.4,"0.120845862701729","0.884667981181445","0.115332018818555","1.04780843983879","0.432908329697375","0.176983677268459","0.823016322731541","0.526002118962329","0.114790975309193","0.916993326341429","0.0830066736585707","1.38291260509197","0.213272217487894","0.624139578104796","0.375860421895204","0.567423982585104"
"5","5","Exp1",2.4,0.4,"0.528196494000619","0.598952026689211","0.401047973310789","1.31704067630656","0.383371006793392","0.368134381749949","0.631865618250051","0.606728702623725","0.464128484915094","0.630433732967252","0.369566267032748","1.25587350988928","0.380857632429354","0.544869712959538","0.455130287040462","0.836810125087314"
"6","6","Exp1",2.4,0.4,"0.721478774977467","0.530340690875683","0.469659309124317","1.53617475680972","0.515107585788885","0.109735910157256","0.890264089842744","0.578600879970205","0.588884841369672","0.514167964025649","0.485832035974351","1.2121161178444","0.369699669752125","0.547909983901571","0.452090016098429","0.817756766545435"
"7","7","Exp1",2.4,0.4,"0.307414511298528","0.833711349050791","0.166288650949209","1.84868004848042","0.223403005667716","0.602825751989588","0.397174248010412","0.562481094347939","0.257016004851356","0.874199435138923","0.125800564861077","2.04304332921859","-0.0639158155617199","1.23345727037642","-0.233457270376416","0.27377950345545"
"8","8","Exp1",2.4,0.4,"0.79904653717381","0.496864208290474","0.503135791709526","1.58813296597099","0.430654534380699","0.310933977832813","0.689066022167187","0.624982977721414","0.629291260848165","0.415414534063294","0.584585465936706","1.07647435236835","0.230723661280861","0.969480526064484","0.0305194739355164","7.55988329839335"
"9","9","Exp1",2.4,0.4,"0.909504347743379","0.434015165670027","0.565984834329973","1.6069411980271","0.254887521338872","0.615399149236715","0.384600850763285","0.662732598830756","0.592825249542305","0.648395616164081","0.351604383835919","1.68605761701468","0.306026330813018","0.601242137457795","0.398757862542205","0.767449019969174"
"10","10","Exp1",2.4,0.4,"0.417435722607003","0.85780221590962","0.14219778409038","2.93559935042085","0.323635560657152","0.485556960603736","0.514443039396264","0.629098920333263","0.581075497957864","0.702166774558433","0.297833225441567","1.9510096534608","0.342890941458983","0.519755615886723","0.480244384113277","0.713992610433324"
"11","11","Exp1",2.4,0.4,"0.452038776030208","0.749226176203757","0.250773823796243","1.80257560054393","0.324054302108705","0.402132719797179","0.597867280202821","0.542017121256029","0.377695144097227","0.783412672058007","0.216587327941993","1.74384691701993","-0.0410634963510083","1.14284340035743","-0.142843400357435","0.287472128556558"
"12","12","Exp1",2.4,0.4,"0.275624458968257","0.888903414778526","0.111096585221474","2.48094447204469","0.124754079604008","0.806315847206546","0.193684152793454","0.644110929080741","0.231727254121923","0.899962731191267","0.100037268808733","2.31640924308895","0.124916119352085","0.912555067682957","0.087444932317043","1.428511819292"
"13","13","Exp1",2.4,0.4,"0.284621802385244","0.815238486662073","0.184761513337927","1.54048209090317","0.105752080715836","0.87099266947875","0.12900733052125","0.819736989274547","0.084123112793901","1.01322318071192","-0.0132231807119165","-6.3617910566775","0.181475237532949","0.786516085282491","0.213483914717509","0.850065157241871"
"14","14","Exp1",2.4,0.4,"0.642784849906918","0.63457935990555","0.36542064009445","1.75902721242231","0.246438807773126","0.700074054913279","0.299925945086721","0.821665520473297","0.438562149867512","0.754991413890675","0.245008586109325","1.78998686059035","0.246987743048683","0.691854918404273","0.308145081595727","0.801530700310577"
"15","15","Exp1",2.4,0.4,"0.540737682077577","0.673755720345635","0.326244279654365","1.65746256961334","0.358289742501623","0.47090480224731","0.52909519775269","0.677174436705235","0.495463948687373","0.608152469597961","0.391847530402039","1.2644304486978","0.3334250020524","0.562946044183698","0.437053955816302","0.762892081435689"
"16","16","Exp1",2.4,0.4,"0.265751879823214","0.825714799998374","0.174285200001626","1.52481036726432","0.404570073487702","0.390850991296778","0.609149008703222","0.664156171490725","0.0515280649225281","0.890530475979648","0.109469524020352","0.470706942262288","0.100034441869071","0.898570550462295","0.101429449537705","0.986246522336531"
