"","NSub","Exp","maxDur","mixDur","sl_minRP","sl_slope","sl_ci","sl_inP","ss_minRP","ss_slope","ss_ci","ss_inP","ml_minRP","ml_slope","ml_ci","ml_inP","ms_minRP","ms_slope","ms_ci","ms_inP"
"1","1","Exp2",1.954332247557,0.4912,"0.125723430334791","0.881099884895728","0.118900115104272","1.05738695227112","0.300632634790501","0.528377327595846","0.471622672404154","0.637443134906958","0.0810535546809432","0.893388842941575","0.106611157058425","0.760272723018325","0.102197723937417","0.864836218597088","0.135163781402912","0.756102876648394"
"2","2","Exp2",1.954332247557,0.4912,"0.851238475175367","0.426620265855189","0.573379734144811","1.48459811968238","0.427763870457086","0.351326149547125","0.648673850452875","0.659443679066823","0.434389858613572","0.678872402896503","0.321127597103497","1.3527017376634","0.454066655922507","0.307736864580875","0.692263135419125","0.655916273293387"
"3","3","Exp2",1.954332247557,0.4912,"0.963323197343757","0.329415647883838","0.670584352116162","1.4365429111249","0.339385784649963","0.427642400443732","0.572357599556268","0.592961087461894","0.699418209110147","0.385561123764272","0.614438876235728","1.13830396506652","0.442299139455015","0.343904021217758","0.656095978782242","0.674137860555025"
"4","4","Exp2",1.954332247557,0.4912,"0.721626272230951","0.561588631816385","0.438411368183615","1.64600264637463","0.368758078414413","0.361414757211677","0.638585242788323","0.577461008657614","0.373834924561654","0.802898449246998","0.197101550753002","1.89666150841261","0.389925438123048","0.396354892513093","0.603645107486907","0.645951459370531"
"5","5","Exp2",1.954332247557,0.4912,"0.39656206427113","0.727897012599171","0.272102987400829","1.45739695127626","0.398556722096105","0.305020704989402","0.694979295010598","0.573479994234975","0.546721079850281","0.637435268283966","0.362564731716034","1.50792681147619","0.229888437364967","0.631738393279843","0.368261606720157","0.624253066759848"
"6","6","Exp2",1.954332247557,0.4912,"1.06960055591597","0.28551690459857","0.71448309540143","1.49702709945155","0.625611530760857","0.0438961222220506","0.956103877777949","0.654334267752183","0.826610679021718","0.365906660246222","0.634093339753778","1.3036104106419","0.880357744373327","0.0401640219077384","0.959835978092262","0.917196025640857"
"7","7","Exp2",1.954332247557,0.4912,"0.930253751397543","0.431118414390766","0.568881585609234","1.6352326651623","0.430553605344617","0.348817001373791","0.651182998626209","0.661186803483735","1.02932749112088","0.200565449972333","0.799434550027667","1.28756943402717","0.353872202643234","0.545895729768781","0.454104270231219","0.779275214617672"
"8","8","Exp2",1.954332247557,0.4912,"1.29321664072528","0.187428572431745","0.812571427568255","1.59151133900367","0.496482791979339","0.288385398335142","0.711614601664857","0.69768494184604","0.922004668397385","0.222468109650534","0.777531890349466","1.18580945661661","0.735216066954396","0.0491796082511091","0.950820391748891","0.773243898989247"
"9","9","Exp2",1.954332247557,0.4912,"0.305127526003773","0.785681898755227","0.214318101244773","1.42371327588091","0.270496446683067","0.616707782478346","0.383292217521654","0.70571859880715","0.284779917175922","0.776590542502565","0.223409457497435","1.27469947049664","0.243419182647085","0.633120289065453","0.366879710934547","0.663484993561042"
"10","10","Exp2",1.954332247557,0.4912,"0.377092940359333","0.753597315184032","0.246402684815968","1.53039298512909","0.418764053861398","0.361326423680423","0.638673576319577","0.655677750556973","1.20758260679604","0.114076145580431","0.885923854419569","1.3630771998878","0.659602958585974","0.070810191703538","0.929189808296462","0.709868912354154"
"11","11","Exp2",1.954332247557,0.4912,"0.662850243437391","0.540924383647075","0.459075616352925","1.44388031040143","0.415503467758805","0.256496718515055","0.743503281484945","0.558845506275305","0.621379720197477","0.41492399967434","0.58507600032566","1.06204957963001","0.129444261946399","0.977886024248696","0.0221139757513037","5.85350474297992"
"12","12","Exp2",1.954332247557,0.4912,"0.513939345691197","0.624151497559952","0.375848502440048","1.36741091784229","0.42168834523443","0.315879305668831","0.684120694331169","0.616394663585925","0.291954931915907","0.731570286034078","0.268429713965922","1.08764014088609","0.327928795066423","0.57924013617976","0.42075986382024","0.779372804452003"
"13","13","Exp2",1.954332247557,0.4912,"1.10990866796108","0.241392461066904","0.758607538933096","1.46308678862071","0.52862881866767","0.058311612265543","0.941688387734457","0.561362787895751","0.855147159469669","0.297933533292945","0.702066466707055","1.21804302017246","0.997880017749292","-0.090463989579397","1.0904639895794","0.915096717805587"
"14","14","Exp2",1.954332247557,0.4912,"1.07340880495414","0.282370292032677","0.717629707967323","1.49576974453101","0.500138059889955","0.244926050066894","0.755073949933107","0.662369639336999","0.299369205161495","0.569843935887743","0.430156064112257","0.695954864147559","0.622263323487188","0.132127300931168","0.867872699068832","0.716998384849338"
"15","15","Exp2",1.954332247557,0.4912,"1.32098681825551","0.0871723175888517","0.912827682411148","1.44713711438532","0.546771074092942","0.161878854584764","0.838121145415236","0.652377137939947","0.92382255651051","0.155312925922284","0.844687074077715","1.09368615296878","0.665089331057706","0.315289246971054","0.684710753028946","0.971343487911587"
"16","16","Exp2",1.954332247557,0.4912,"0.485636954897608","0.594693348159009","0.405306651840991","1.19819635994559","0.326965546531654","0.545644334681314","0.454355665318686","0.71962467179169","0.32610332054913","0.59395821935631","0.40604178064369","0.803127500899452","0.256117912505743","0.78467026270068","0.21532973729932","1.18942193362603"
