"","X","Exp","priortype","group_sl","NSub","sdInP","mInP","mSlope","sdSlope","mIntercept","sdIntercept","inPOutlier","range","group"
"1",1,"Exp1","BR","long","1",0.0438973285064411,1.70661860048017,0.540169868554976,0.0503351269409172,0.78527917018965,0.090552036359205,FALSE,"long","long"
"2",2,"Exp1","BR","long","2",0.0360460186313833,1.52293451766703,0.560784962101386,0.0442548893466509,0.670013842060012,0.0724880155366288,FALSE,"long","long"
"3",3,"Exp1","BR","long","3",0.0370484974595602,1.40781234706835,0.243968790197146,0.0544263866061453,1.06005170342895,0.0955217635881502,FALSE,"long","long"
"4",4,"Exp1","BR","long","4",1.54018238380832,1.101441482911,0.892720835185155,0.0365624322481887,0.120977647296257,0.0647378485040465,FALSE,"long","long"
"5",5,"Exp1","BR","long","5",0.0842675140774113,1.28719367511807,0.635264577868551,0.060784425452222,0.476238353472198,0.0974593039716686,FALSE,"long","long"
"6",6,"Exp1","BR","long","6",0.0452020122007531,1.52241793226303,0.510586074665276,0.0428617887769882,0.74332773736424,0.073956951314578,FALSE,"long","long"
"7",7,"Exp1","BR","long","7",0.125932401147645,1.85424919370894,0.837076207743027,0.0384749238664428,0.298344156215468,0.063246498326358,FALSE,"long","long"
"8",8,"Exp1","BR","long","8",0.0550292171478414,1.57917438997938,0.533529302188822,0.0673365839433564,0.752762883208238,0.104960214391818,FALSE,"long","long"
"9",9,"Exp1","BR","long","9",0.0241573222715812,1.60005550918074,0.426600474947883,0.042430107236513,0.91296371939526,0.070600018863163,FALSE,"long","long"
"10",10,"Exp1","BR","long","10",0.545868198327364,3.00431143824903,0.862279855968125,0.0358865639003842,0.417586476745044,0.0648720665722313,TRUE,"long","long"
"11",11,"Exp1","BR","long","11",0.0837872500988816,1.76473295007993,0.74987911868257,0.0465099785077684,0.441054200398521,0.0738488999395838,FALSE,"long","long"
"12",12,"Exp1","BR","long","12",11.6883569359249,2.42814718536066,0.898838283038299,0.0412929631563857,0.251660710299001,0.0716185423386609,TRUE,"long","long"
"13",13,"Exp1","BR","long","13",0.134570753214507,1.51160511180239,0.81090623484542,0.0547890094810763,0.283242172316878,0.0944167542628441,FALSE,"long","long"
"14",14,"Exp1","BR","long","14",0.0557262567747594,1.75154885204528,0.625799294518199,0.0495676975247904,0.661428113885962,0.0849980857378368,FALSE,"long","long"
"15",15,"Exp1","BR","long","15",0.0939484677196989,1.62393429867076,0.68753356216098,0.0697749747111217,0.513807308616843,0.122679339098224,FALSE,"long","long"
"16",16,"Exp1","BR","long","16",0.148009277505082,1.5040917663469,0.841797586571416,0.0395544819713564,0.235816766524364,0.0719426010916032,FALSE,"long","long"
"17",17,"Exp1","BR","short","1",0.0114244118547003,0.583722637615205,0.297309797538959,0.0562246374878845,0.408741031091882,0.0343014400761768,FALSE,"short","short"
"18",18,"Exp1","BR","short","2",0.00951421377429422,0.528867255292263,0.341028863838811,0.0472172182199167,0.349359155534354,0.0274991547444921,FALSE,"short","short"
"19",19,"Exp1","BR","short","3",0.014627468853924,0.581262154356927,0.429666422372887,0.0632029434840781,0.335820106112686,0.0386846661179995,FALSE,"short","short"
"20",20,"Exp1","BR","short","4",0.0100872885912664,0.523661843121878,0.175040243377102,0.0539961009846794,0.432787399832372,0.0318055452313681,FALSE,"short","short"
"21",21,"Exp1","BR","short","5",0.0151247004451687,0.600855658306525,0.368235488030114,0.0542188766931755,0.37729063506554,0.0325220931453547,FALSE,"short","short"
"22",22,"Exp1","BR","short","6",0.006221248903111,0.576427843853759,0.107448407666771,0.0396511176766514,0.515347568221456,0.024001752436635,FALSE,"short","short"
"23",23,"Exp1","BR","short","7",0.016148624181796,0.561036690920968,0.621391975001503,0.0557143714020486,0.209154203166689,0.0281099181273806,FALSE,"short","short"
"24",24,"Exp1","BR","short","8",0.00841828146036378,0.620581486379,0.296368122044375,0.0477802896971934,0.436864229594249,0.0269510964750858,FALSE,"short","short"
"25",25,"Exp1","BR","short","9",0.021504772798079,0.673942484660679,0.621464014334637,0.0482565334160923,0.251565010879094,0.0290186017386721,FALSE,"short","short"
"26",26,"Exp1","BR","short","10",0.0208875373092864,0.628673405698064,0.500717160827383,0.0666545375884706,0.314169909223376,0.0355066820031358,FALSE,"short","short"
"27",27,"Exp1","BR","short","11",0.00886248587629153,0.542488584116478,0.39605929500665,0.0383543937833066,0.326739132172158,0.0218150210670831,FALSE,"short","short"
"28",28,"Exp1","BR","short","12",0.11275613722643,0.622223270881198,0.803883464138534,0.0602009987295804,0.11867732212408,0.0339059249206281,FALSE,"short","short"
"29",29,"Exp1","BR","short","13",5.3133459715629,0.86751002065786,0.878914739565888,0.0519638358928023,0.107709190033346,0.0303237715051685,FALSE,"short","short"
"30",30,"Exp1","BR","short","14",0.167146976784467,0.853834953951168,0.713044893464433,0.0673770345837597,0.238111850389347,0.0417110753535839,FALSE,"short","short"
