"","X","Exp","priortype","group_sl","NSub","sdInP","mInP","mSlope","sdSlope","mIntercept","sdIntercept","inPOutlier","range","group"
"31",31,"Exp1","BR","short","15",0.019315033498159,0.675981958535152,0.447692448425936,0.0595666342375136,0.374366924543924,0.0346425480589279,FALSE,"short","short"
"32",32,"Exp1","BR","short","16",0.012960520601378,0.672957284855335,0.408535707750567,0.0504501297952077,0.395011865596011,0.0288993518754066,FALSE,"short","short"
"33",33,"Exp1","IR","long","1",0.089035122736742,1.30284840788192,0.47686611027929,0.084400688147299,0.684540538624097,0.148722786131556,FALSE,"long","mixed"
"34",34,"Exp1","IR","long","2",0.0723281469421062,1.4475511703839,0.669408817156549,0.0579581069327447,0.477366468651054,0.0939450913303385,FALSE,"long","mixed"
"35",35,"Exp1","IR","long","3",0.103106708789737,1.11706839215449,0.352508684175485,0.0852573513495589,0.728857583286279,0.154322226014671,FALSE,"long","mixed"
"36",36,"Exp1","IR","long","4",4.47751114881458,1.44029029782369,0.905792040562907,0.0564854754826319,0.127080226267719,0.0959795834948793,FALSE,"long","mixed"
"37",37,"Exp1","IR","long","5",0.330060183754657,1.22552553492978,0.658809895784209,0.107722808714386,0.418282885366486,0.181068684292957,FALSE,"long","mixed"
"38",38,"Exp1","IR","long","6",0.0884289798399707,1.17731115879148,0.534737595077671,0.0740595375298733,0.539796358521333,0.117277025498365,FALSE,"long","mixed"
"39",39,"Exp1","IR","long","7",0.502484456518884,1.98022257840067,0.89184226067865,0.0429730030558327,0.215057967694192,0.0770012904787241,FALSE,"long","mixed"
"40",40,"Exp1","IR","long","8",0.105172811081825,1.02353733434377,0.452394867997359,0.0812134614700244,0.565757170493753,0.127855752621495,FALSE,"long","mixed"
"41",41,"Exp1","IR","long","9",0.0583179451968981,1.63913442581389,0.635330006151877,0.0501137556839999,0.600097849846701,0.0879441880020347,FALSE,"long","mixed"
"42",42,"Exp1","IR","long","10",0.0750239401322146,1.92222996266663,0.686267070476782,0.0463334894573362,0.601308053285225,0.0796561083860318,FALSE,"long","mixed"
"43",43,"Exp1","IR","long","11",0.162038483465676,1.74203516553945,0.789519896713577,0.0642072944414949,0.365721923208028,0.109560089044818,FALSE,"long","mixed"
"44",44,"Exp1","IR","long","12",140.565340134299,2.82628776319846,0.954092605411958,0.0487680331218818,0.150286952690085,0.0786132569363926,TRUE,"long","mixed"
"45",45,"Exp1","IR","long","13",137.179516182199,-0.298909877663138,1.02195832408208,0.0345379404943888,0.0642529637309127,0.0617978997763479,TRUE,"long","mixed"
"46",46,"Exp1","IR","long","14",4.81103826879697,1.8645852610496,0.771070295298741,0.0627358788588148,0.425283888124528,0.105659069403363,FALSE,"long","mixed"
"47",47,"Exp1","IR","long","15",0.204543087825008,1.21635486662858,0.647062526096346,0.0988156360601056,0.439385443869369,0.162216383902763,FALSE,"long","mixed"
"48",48,"Exp1","IR","long","16",47.569233245175,0.0643341231261026,0.914063865969069,0.0545043547596599,-0.00873838407752469,0.0937045553359299,TRUE,"long","mixed"
"49",49,"Exp1","IR","short","1",0.0707555174613769,0.703963496416122,0.711687459560424,0.0785521175207857,0.206150999722484,0.0445535253528933,FALSE,"short","mixed"
"50",50,"Exp1","IR","short","2",2.69108124563696,0.726291716022676,0.819144831718948,0.0857899493306731,0.128683697766296,0.0483567743384388,FALSE,"short","mixed"
"51",51,"Exp1","IR","short","3",0.0333720199638474,0.658417638882701,0.517874014822394,0.0861225266940751,0.321651689862601,0.0554639105587185,FALSE,"short","mixed"
"52",52,"Exp1","IR","short","4",0.0269806418480196,0.57363841121758,0.650787596911153,0.0609389724757451,0.200645478057559,0.0366463084888512,FALSE,"short","mixed"
"53",53,"Exp1","IR","short","5",4.6662915333762,0.878830544456538,0.55317877290344,0.200640313124075,0.389955264011168,0.114537609417753,FALSE,"short","mixed"
"54",54,"Exp1","IR","short","6",0.253835255528657,0.826502040280095,0.56565180775585,0.128170619051955,0.358490203439738,0.0710045734695586,FALSE,"short","mixed"
"55",55,"Exp1","IR","short","7",0.828819680389356,0.279678778967646,1.2655129781894,0.11414010449629,-0.0784201249194802,0.0619112138528524,TRUE,"short","mixed"
"56",56,"Exp1","IR","short","8",188.315195768788,1.43550556068387,0.985895288698799,0.131597534385091,0.207590872092792,0.0804085054282511,FALSE,"short","mixed"
"57",57,"Exp1","IR","short","9",0.0456356235589992,0.761661645349371,0.562947629453018,0.0834525927344671,0.331562061445767,0.0479952534962414,FALSE,"short","mixed"
"58",58,"Exp1","IR","short","10",0.0379878996924728,0.710058179518988,0.512576049619455,0.0813772018131019,0.342965734796985,0.0454406005089834,FALSE,"short","mixed"
"59",59,"Exp1","IR","short","11",4.94479851222244,0.256762630917201,1.1075243258706,0.0751473942971749,-0.0233250894701946,0.0397680320725924,TRUE,"short","mixed"
"60",60,"Exp1","IR","short","12",214.224687147707,1.19776072126285,0.932514983017939,0.0852312305293822,0.114863258799658,0.048308173075187,FALSE,"short","mixed"
"61",61,"Exp1","IR","short","13",3.28446553028753,0.855899656689991,0.784226836686129,0.0748388206443402,0.181024104774769,0.0441761902525189,FALSE,"short","mixed"
"62",62,"Exp1","IR","short","14",0.119641325906764,0.789599775090029,0.695298735555409,0.0969449847324419,0.243124182874743,0.0619938134869894,FALSE,"short","mixed"
"63",63,"Exp1","IR","short","15",0.0820285321264587,0.747473778626702,0.519221414609028,0.131329587367785,0.360875921434012,0.0762962351457334,FALSE,"short","mixed"
"64",64,"Exp1","IR","short","16",68.4634215923668,0.837695737424777,0.961617411062568,0.106590695288755,0.0692629719703239,0.0557076672827486,FALSE,"short","mixed"
"65",65,"Exp2","BR","long","1",10.2606926010957,1.18955683373002,0.873538396349704,0.0773526308615324,0.154733238466266,0.121714805884497,FALSE,"long","long"
"66",66,"Exp2","BR","long","2",0.0323908563075829,1.48724002306487,0.384979512203687,0.0744968214402792,0.914298431597699,0.121601557780558,FALSE,"long","long"
"67",67,"Exp2","BR","long","3",0.0344685772733353,1.43176497053043,0.294387662682146,0.0988953048346562,1.00235598416101,0.152798627108469,FALSE,"long","long"
"68",68,"Exp2","BR","long","4",0.0358896505332633,1.6372846850605,0.542352437608189,0.0608591010742834,0.747229801786161,0.0944961104377373,FALSE,"long","long"
"69",69,"Exp2","BR","long","5",0.0986630017816631,1.44110237228287,0.705013388835552,0.0806504106074285,0.411605066772004,0.127596260162879,FALSE,"long","long"
"70",70,"Exp2","BR","long","6",0.0348696192012396,1.50420187138568,0.283232337274424,0.102076223702058,1.07454881319102,0.169800090289482,FALSE,"long","long"
"71",71,"Exp2","BR","long","7",0.0280141530234884,1.63920624430634,0.424401396741922,0.0669115785688604,0.947571078317299,0.111181499967362,FALSE,"long","long"
"72",72,"Exp2","BR","long","8",0.0288124437992799,1.60545200950955,0.178320439522966,0.0963111917236451,1.32106396195815,0.156671609151617,FALSE,"long","long"
"73",73,"Exp2","BR","long","9",0.449158926411282,1.42525173520645,0.797350920458537,0.0661870731862781,0.283265579712429,0.111787933045185,FALSE,"long","long"
"74",74,"Exp2","BR","long","10",0.116775231253793,1.51687445099527,0.690223446398102,0.0831698148593031,0.454933897002163,0.133874989394823,FALSE,"long","long"
"75",75,"Exp2","BR","long","11",0.0780499057117642,1.40669694626772,0.554978373196079,0.104658244211346,0.622154710728303,0.162349418840222,FALSE,"long","long"
"76",76,"Exp2","BR","long","12",0.116497344816312,1.31454646077022,0.649143329266715,0.0770894663539373,0.465881939476498,0.125110875677186,FALSE,"long","long"
"77",77,"Exp2","BR","long","13",0.0424904753264549,1.45430394977592,0.229846766087575,0.113832998922533,1.11463806029588,0.179094196862103,FALSE,"long","long"
"78",78,"Exp2","BR","long","14",0.0358983359018016,1.50638904016332,0.2669510319053,0.100628359201563,1.10161279903292,0.157646614670807,FALSE,"long","long"
"79",79,"Exp2","BR","long","15",0.024879967344325,1.44538661203061,0.0993413401605306,0.0756350041142597,1.30469279741001,0.120717687100695,FALSE,"long","long"
"80",80,"Exp2","BR","long","16",0.124533051523754,1.23567568341662,0.523216632267198,0.108425499551048,0.588538770796009,0.165524007864448,FALSE,"long","long"
"81",81,"Exp2","BR","short","1",0.0201979202013555,0.641184858351531,0.538160192583083,0.0923541263241778,0.290837385739021,0.0583815470605734,FALSE,"short","short"
"82",82,"Exp2","BR","short","2",0.0118644898516226,0.665135975566317,0.39156577702432,0.0724837399735769,0.401753428803253,0.0457001557579125,FALSE,"short","short"
"83",83,"Exp2","BR","short","3",0.0126439843278268,0.5963697895045,0.441219044173316,0.0750072206130833,0.337333791338826,0.046474882289687,FALSE,"short","short"
"84",84,"Exp2","BR","short","4",0.0128126271106926,0.575451650209017,0.372803187318388,0.0859708783762757,0.354667830762589,0.0527811916704342,FALSE,"short","short"
"85",85,"Exp2","BR","short","5",0.00820402578021357,0.569141433519301,0.316173906659055,0.0608943507760641,0.393420697924832,0.0382942792484802,FALSE,"short","short"
"86",86,"Exp2","BR","short","6",0.0102697999421431,0.650547691825867,0.0302621868582827,0.112008354894595,0.626345877897658,0.0705325507052235,FALSE,"short","short"
"87",87,"Exp2","BR","short","7",0.0113443659119799,0.65196846739378,0.311273060695928,0.0840816771949286,0.453908011676889,0.0525942880677996,FALSE,"short","short"
"88",88,"Exp2","BR","short","8",0.0181927771452384,0.700500929848823,0.307701736079711,0.100371149152633,0.482923685100618,0.0621191945564855,FALSE,"short","short"
"89",89,"Exp2","BR","short","9",0.0448357261219784,0.703029181852184,0.605032735785419,0.100770423619893,0.278256682840785,0.0668597351228292,FALSE,"short","short"
"90",90,"Exp2","BR","short","10",0.0223502684910507,0.665473649617424,0.42323261924426,0.10724461269696,0.388227561391649,0.0658384500448183,FALSE,"short","short"
"91",91,"Exp2","BR","short","11",0.00748994578551791,0.559968117757078,0.253128379127455,0.0654580745516187,0.420512021271375,0.037709455673995,FALSE,"short","short"
"92",92,"Exp2","BR","short","12",0.00847853164103744,0.619286541783855,0.282868366518971,0.0740478273164975,0.448132009042143,0.0472149095566656,FALSE,"short","short"
"93",93,"Exp2","BR","short","13",0.0069794177841645,0.561462713563676,0.063166428383132,0.0610401469748156,0.525021999941645,0.0381612741990971,FALSE,"short","short"
"94",94,"Exp2","BR","short","14",0.0162606460500566,0.670233936826524,0.244490738631051,0.114229178966582,0.502264900077193,0.0718980282224316,FALSE,"short","short"
"95",95,"Exp2","BR","short","15",0.00866767312336138,0.658071785363137,0.150458121191347,0.0715760308070393,0.558060765802256,0.0422285151810479,FALSE,"short","short"
"96",96,"Exp2","BR","short","16",0.0325519090836974,0.705222067858541,0.48783966152204,0.109420000524052,0.357613549927436,0.0689647856345878,FALSE,"short","short"
"97",97,"Exp2","IR","long","1",1.33844636975929,1.10519071634294,0.832083684744657,0.0676356516350842,0.181516322402046,0.101868172839431,FALSE,"long","mixed"
"98",98,"Exp2","IR","long","2",0.113419349952008,1.39062486556041,0.641695460303666,0.0905732527435029,0.504088251229429,0.151040679231632,FALSE,"long","mixed"
"99",99,"Exp2","IR","long","3",0.197144633646088,1.07080955378156,0.438564170735076,0.143699925179703,0.623934082517058,0.243994909703225,FALSE,"long","mixed"
"100",100,"Exp2","IR","long","4",2.41753752009058,1.89161997501193,0.815823394805905,0.082644857935476,0.357738760686537,0.129952423667956,FALSE,"long","mixed"
"101",101,"Exp2","IR","long","5",0.0508742072141815,1.5284578521322,0.583210015397867,0.0866436965442727,0.639283158821264,0.139474024546857,FALSE,"long","mixed"
"102",102,"Exp2","IR","long","6",0.0930713133835481,1.27615140572494,0.384347863403045,0.151452984090801,0.779422105472256,0.219284680882006,FALSE,"long","mixed"
"103",103,"Exp2","IR","long","7",0.0499721418272885,1.30236452110459,0.174090606197567,0.0966370570904622,1.06225124576163,0.162094273326236,FALSE,"long","mixed"
"104",104,"Exp2","IR","long","8",0.3905220168934,1.13702393915388,0.293379310099509,0.187424688098675,0.78359680839191,0.295378271522606,FALSE,"long","mixed"
"105",105,"Exp2","IR","long","9",0.876485308609281,1.26159651957428,0.765890477657837,0.0881088515746274,0.29991885627493,0.141744332215902,FALSE,"long","mixed"
"106",106,"Exp2","IR","long","10",0.0486152945145629,1.37809331025375,0.0911092796075166,0.134365624890171,1.25074233353581,0.228790938456755,FALSE,"long","mixed"
"107",107,"Exp2","IR","long","11",0.106252046375411,1.13169393927271,0.361379711927943,0.114957270752776,0.728665734061716,0.183340745311086,FALSE,"long","mixed"
"108",108,"Exp2","IR","long","12",0.62872015375092,1.08714453422786,0.745803888894608,0.0906583141567831,0.283562027089985,0.145529229397445,FALSE,"long","mixed"
"109",109,"Exp2","IR","long","13",0.0843730014943062,1.2355808779695,0.289787017856985,0.127010551784631,0.897405990571863,0.205453041776868,FALSE,"long","mixed"
"110",110,"Exp2","IR","long","14",0.827468589499813,0.67383688821976,0.593471744228449,0.132729556097328,0.253522490001786,0.211150231635165,FALSE,"long","mixed"
"111",111,"Exp2","IR","long","15",0.0479924924980318,1.082970884936,0.173783695419336,0.0730450943811312,0.895674746657533,0.118055553295676,FALSE,"long","mixed"
"112",112,"Exp2","IR","long","16",0.349302955849816,0.839854316970033,0.572769213543213,0.141034993838173,0.346127172925132,0.217079031365536,FALSE,"long","mixed"
"113",113,"Exp2","IR","short","1",5.64567131820245,0.740839102218953,0.883811120165515,0.0891436656267116,0.0918836709462593,0.0553022313685152,FALSE,"short","mixed"
"114",114,"Exp2","IR","short","2",0.0123877215351059,0.642060522547726,0.261214610516648,0.0982551350938424,0.476249639628081,0.0592648435922605,FALSE,"short","mixed"
"115",115,"Exp2","IR","short","3",0.0483094035636512,0.672609138356773,0.366957985222287,0.178729884273673,0.415248018462568,0.105398892399092,FALSE,"short","mixed"
"116",116,"Exp2","IR","short","4",0.0251686245488356,0.649678666675833,0.380554780764024,0.137696967051856,0.406452641315801,0.0829591706960617,FALSE,"short","mixed"
"117",117,"Exp2","IR","short","5",0.0982083493057981,0.61217352626596,0.610593172420624,0.121967266073343,0.245451295985692,0.0713568294908231,FALSE,"short","mixed"
"118",118,"Exp2","IR","short","6",0.210858000262841,0.869202699159258,-0.0864861945510413,0.316936764191501,0.941784162500849,0.198178522795482,FALSE,"short","mixed"
"119",119,"Exp2","IR","short","7",0.0543385761262326,0.754454964641559,0.48983425778369,0.112497187674937,0.383578055225295,0.0723708068278196,FALSE,"short","mixed"
"120",120,"Exp2","IR","short","8",0.0600535465996639,0.771563559561911,0.0386259601596416,0.241832300408678,0.750603829463933,0.152155679362278,FALSE,"short","mixed"
"121",121,"Exp2","IR","short","9",0.0254107126755716,0.636253225253642,0.562405481022462,0.101659241953841,0.275820674765479,0.0639140689712671,FALSE,"short","mixed"
"122",122,"Exp2","IR","short","10",0.0233207392149774,0.693948338313659,-0.00162286342177904,0.179321838795313,0.707873231898126,0.110919634966172,FALSE,"short","mixed"
"123",123,"Exp2","IR","short","11",13.4948704334491,1.09823900026136,0.883007597093302,0.14940807223261,0.181706999137903,0.0889377782766757,FALSE,"short","mixed"
"124",124,"Exp2","IR","short","12",0.189521810926172,0.794440650866022,0.610248813304983,0.109297206554196,0.310870220232409,0.0639006865169763,FALSE,"short","mixed"
"125",125,"Exp2","IR","short","13",0.201064574114961,0.954629655879024,0.000398975913268951,0.248141081581614,0.950869375217542,0.148082328976082,FALSE,"short","mixed"
"126",126,"Exp2","IR","short","14",0.0296244443839358,0.710622381848076,0.127509779798562,0.160650295431992,0.626114927981997,0.101249887845136,FALSE,"short","mixed"
"127",127,"Exp2","IR","short","15",0.437143245260563,1.01316764773513,0.377102806679461,0.218690141711917,0.628211850888925,0.135219219553643,FALSE,"short","mixed"
"128",128,"Exp2","IR","short","16",92.6010710987889,1.12616591630502,0.857812918271726,0.181312360794617,0.215783429176342,0.106596783471495,FALSE,"short","mixed"
