"","NSub","Exp","priortype","range","m_m_BIAS","m_m_err","m_m_RP","m_sd_RP","m_sd_err","m_se_RP","m_se_err","m_sd_BIAS","m_se_BIAS","m_CV","n","se_CV","m_NBIAS","m_NRMSE"
"1","1","Exp1","BR","long",0.240612410182289,-0.0193131381711891,1.72913810372079,0.215045892424568,0.215045892424568,0.0405996116278657,0.0405996116278657,0.215045892424568,0.0312847892022417,0.125812805337035,5,0.0117112985687726,0.144364875313114,0.192373139867578
"2","1","Exp1","BR","short",0.106374110056,-0.00679572630189291,0.576021354328767,0.0905007536933366,0.0905007536933366,0.0170868638957067,0.0170868638957067,0.0905007536933366,0.0143813149483407,0.158453033671378,5,0.018097539188509,0.189434870577344,0.248759643111734
"3","1","Exp1","IR","long",0.306466835164852,-0.233179886058239,1.51527135583374,0.247276961089137,0.247276961089137,0.0689604319784188,0.0689604319784188,0.247276961089137,0.0560326155689059,0.161720735317544,5,0.0153495562588243,0.162710534966936,0.231733788623953
"4","1","Exp1","IR","short",0.0929358604605351,0.0412629709779776,0.624080051608637,0.107111687266345,0.107111687266345,0.0297074369723283,0.0297074369723283,0.107111687266345,0.0229574126554607,0.168145754213558,5,0.0412395140601667,0.164732066235099,0.23753720905346
"5","1","Exp2","BR","long",0.162361409611135,-0.0662078954017704,1.54989453260369,0.192421553113585,0.192421553113585,0.0361312448422159,0.0361312448422159,0.192421553113585,0.0230409920207098,0.126539809158095,5,0.012230142291151,0.102098786148003,0.162753319783495
"6","1","Exp2","BR","short",0.0772787566462937,0.0147931088735613,0.620769836076831,0.084721706078256,0.084721706078256,0.0158837707616582,0.0158837707616582,0.084721706078256,0.00994400019170198,0.136445305566755,5,0.0116056216579283,0.129838035627287,0.188972855280875
"7","1","Exp2","IR","long",0.119380093648858,-0.0912409950936486,1.52486143291182,0.113290790416665,0.113290790416665,0.0314212118373177,0.0314212118373177,0.113290790416665,0.0226919714006203,0.0741706614990631,5,0.00593759015233286,0.0736273099892693,0.104575032085463
"8","1","Exp2","IR","short",0.0569942464336918,0.0202916180464613,0.626268345249732,0.064751938178453,0.064751938178453,0.0179589564067759,0.0179589564067759,0.064751938178453,0.0113656586353995,0.104312929922406,5,0.0156611252539768,0.0960946684650103,0.143019095656501
"9","2","Exp1","BR","long",0.218965060528543,-0.0925445490237296,1.65590669286825,0.185366413971521,0.185366413971521,0.034748173105544,0.034748173105544,0.185366413971521,0.0252541541747097,0.111116279177298,5,0.0102639658639632,0.119921315341224,0.16412097079461
"10","2","Exp1","BR","short",0.102827981060328,-0.0331896132273301,0.549627467403329,0.0715675833757757,0.0715675833757757,0.0134576770341513,0.0134576770341513,0.0715675833757757,0.0114206449863294,0.12990905077885,5,0.00483614906307845,0.175198099250836,0.220213240644393
"11","2","Exp1","IR","long",0.189559776472331,-0.093755355169692,1.65469588815086,0.176483717609497,0.176483720033244,0.048947776394273,0.0489477770664994,0.176483720033244,0.0323934533494747,0.102981318162185,5,0.0118329145417383,0.0993742432826965,0.144286033095117
"12","2","Exp1","IR","short",0.0738015382876008,0.0256600923639778,0.608477172994637,0.0801756541083935,0.0801756541083935,0.0224525684719576,0.0224525684719576,0.0801756541083935,0.0141997035535208,0.133009116231971,5,0.0296451210496899,0.133691732989848,0.191773710654846
"13","2","Exp2","BR","long",0.20574184398858,-0.0750737554496847,1.54102867255578,0.205995274990257,0.205995274990257,0.0386330759390807,0.0386330759390807,0.205995274990257,0.0256300673941434,0.133559793954142,5,0.00814443002607321,0.125575499274652,0.184084480422966
"14","2","Exp2","BR","short",0.0796876428935282,0.034682613537309,0.640659340740579,0.0730405429605778,0.0730405429605778,0.0135632883257,0.0135632883257,0.0730405429605778,0.00958703542541053,0.114786111165236,5,0.0100045773972073,0.138712452892065,0.18174061267696
"15","2","Exp2","IR","long",0.161263845688033,-0.0845852307649477,1.53151719724052,0.161527763128959,0.161527763128959,0.044799740951728,0.044799740951728,0.161527763128959,0.031131132299253,0.107853405847057,5,0.0136170041913527,0.100110558123456,0.147923273244429
"16","2","Exp2","IR","short",0.0732186746611463,0.0345713067577519,0.640548033961022,0.0660052140477758,0.0660052140477758,0.0183065525920947,0.0183065525920947,0.0660052140477758,0.0149081992282967,0.103083250595892,5,0.0157273351409907,0.127838557977227,0.168287782065826
"17","3","Exp1","BR","long",0.37066205589896,-0.247108433917168,1.50134279397008,0.250073269329215,0.25007328535708,0.0477630943437854,0.0477630974115399,0.25007328535708,0.0379294928171503,0.166790175616047,5,0.00701974983895292,0.197428251700355,0.261682375184703
"18","3","Exp1","BR","short",0.0990413350062069,-0.00204425775333333,0.580772821747126,0.0922609023297264,0.0922609027052289,0.0173888958775177,0.0173888959431373,0.0922609027052289,0.0119943854604275,0.162578361505119,5,0.0254102654471871,0.181203314460351,0.244009553277985
"19","3","Exp1","IR","long",0.46300274221978,-0.386301883186813,1.36214933868132,0.276114336232011,0.276114323684281,0.077747166039877,0.077747162648774,0.276114323684281,0.0620324233480055,0.204507920601517,5,0.0190015246813383,0.250374458287999,0.327386772862625
"20","3","Exp1","IR","short",0.0995914994526374,0.0340247465517582,0.616841829120879,0.0984363985923051,0.098436400379023,0.0274997621837864,0.0274997626836629,0.098436400379023,0.0210938858925768,0.162723239175777,5,0.0269551135599465,0.181771882468966,0.245506287246739
"21","3","Exp2","BR","long",0.238093222247701,-0.12070196243587,1.49540046556959,0.233768788864369,0.233768788864369,0.0438383367061081,0.0438383367061081,0.233768788864369,0.0318736888584178,0.155810844221593,5,0.0129112159292611,0.145165176404197,0.213375690132602
"22","3","Exp2","BR","short",0.0731039668577233,-0.00744207167919164,0.598534655524079,0.0746375633008732,0.0746375633008732,0.0140771559493793,0.0140771559493793,0.0746375633008732,0.00994529072880004,0.126111027323093,5,0.0132072125819799,0.122392296454512,0.176562487603934
"23","3","Exp2","IR","long",0.330865474692485,-0.299270204143083,1.31683222386238,0.249452649938481,0.249452649938481,0.0717821680123385,0.0717821680123385,0.249452649938481,0.0628014391886536,0.191115821363474,5,0.0169677470172155,0.199040029637546,0.277425475471649
"24","3","Exp2","IR","short",0.0988308815073858,0.0447177996580218,0.650694526861292,0.100814716139935,0.100814716139935,0.0282946906446722,0.0282946906446722,0.100814716139935,0.0200386490281235,0.153976181839143,5,0.0200802760006139,0.170268092005278,0.234323974591677
