"","NSub","Exp","sl_err","sl_NBIAS","sl_cv","sl_RP","ss_err","ss_NBIAS","ss_cv","ss_RP","ml_err","ml_NBIAS","ml_cv","ml_RP","ms_err","ms_NBIAS","ms_cv","ms_RP"
"1","1","Exp2","-0.0662078954017704","0.162361409611135","0.126539809158095","1.54989453260369","0.0147931088735613","0.0772787566462937","0.136445305566755","0.620769836076831","-0.0912409950936486","0.119380093648858","0.0741706614990631","1.52486143291182","0.0202916180464613","0.0569942464336918","0.104312929922406","0.626268345249732"
"2","2","Exp2","-0.0750737554496847","0.20574184398858","0.133559793954142","1.54102867255578","0.034682613537309","0.0796876428935282","0.114786111165236","0.640659340740579","-0.0845852307649477","0.161263845688033","0.107853405847057","1.53151719724052","0.0345713067577519","0.0732186746611463","0.103083250595892","0.640548033961022"
"3","3","Exp2","-0.12070196243587","0.238093222247701","0.155810844221593","1.49540046556959","-0.00744207167919164","0.0731039668577233","0.126111027323093","0.598534655524079","-0.299270204143083","0.330865474692485","0.191115821363474","1.31683222386238","0.0447177996580218","0.0988308815073858","0.153976181839143","0.650694526861292"
"4","4","Exp2","0.0131085956442148","0.17293278497292","0.111121229338888","1.62921102364968","-0.0181536706789918","0.0860593491089718","0.146728606518451","0.587823056524278","0.0550835776408896","0.123682004713511","0.0828681448505325","1.67118600564635","0.0241305514958659","0.0839210322387461","0.138634120378992","0.630107278699136"
"5","5","Exp2","-0.043575306669479","0.173576656534963","0.133179187361313","1.57252712133599","-0.022494759212867","0.0699449304780484","0.100275966030224","0.583481967990403","-0.0392206633851504","0.145622437919078","0.101543264256918","1.57688176462031","0.00658413453676661","0.0706377589381329","0.126032669352156","0.612560861740037"
"6","6","Exp2","-0.0858642348708041","0.255823792008932","0.165866345287569","1.53023819313466","0.0470328861040799","0.109289265400096","0.15233484533859","0.65300961330735","-0.200212867871966","0.283533587361213","0.182065519225619","1.4158895601335","0.296656652687992","0.304178669612358","0.231945080061492","0.902633379891262"
"7","7","Exp2","0.0105791310315846","0.177860178972991","0.108298471914768","1.62668155903705","0.035979748935316","0.0812401729867926","0.116288722091816","0.641956476138586","-0.262640626210283","0.310392810309544","0.132951916506005","1.35346180179518","0.0786955831594911","0.100155340106879","0.128911645640543","0.684672310362761"
"8","8","Exp2","-0.0200378299666327","0.279690140716743","0.168820236272304","1.59606459803883","0.0654803583086792","0.104669500081565","0.141747560155891","0.671457085511949","-0.338585152146043","0.407691839632952","0.250983474192437","1.27751727585942","0.159041037804272","0.183074547661685","0.199031216211211","0.765017765007542"
"9","9","Exp2","-0.0414001753323298","0.142569667026568","0.104864405373109","1.57470225267313","0.0381822863453259","0.0925978101385788","0.163425023768089","0.644159013548596","-0.0762726495250637","0.142529920523895","0.103052376980628","1.5398297784804","0.0208159080378819","0.0643409916777076","0.112142630589487","0.626792635241152"
"10","10","Exp2","-0.0211003942801383","0.185679048364163","0.140808782036115","1.59500203372533","0.0306229621112958","0.0975013240190578","0.159076647027681","0.636599689314566","-0.22163934265511","0.300000836222452","0.16816114355475","1.39446308535035","0.0961878748716873","0.129073264396325","0.154181792128644","0.702164602074957"
"11","11","Exp2","-0.0790323868378282","0.226576394125582","0.165755466390694","1.53707004116764","-0.0349624098442034","0.0761097182706688","0.0969825857395761","0.571014317359067","-0.324163024496548","0.3406051484824","0.144682907793571","1.29193940350892","0.116137259780773","0.130255392865203","0.153087426272412","0.722113986984043"
"12","12","Exp2","-0.09371774418633","0.203072369552696","0.135394179491733","1.52238468381913","0.00716927994271694","0.072236857539693","0.114307386482641","0.613146007145987","-0.14185498057323","0.183771525996803","0.116053848366726","1.47424744743223","0.0729581098501401","0.0894603999785877","0.104986137816896","0.67893483705341"
"13","13","Exp2","-0.116144064454887","0.290523236455795","0.185602499618459","1.49995836355058","-0.0420799975394948","0.0903402682931338","0.114185137556834","0.563896729663775","-0.279345617015569","0.327558136204976","0.178540927559866","1.3367568109899","0.337518624331013","0.341915579665005","0.159006886869294","0.943495351534283"
"14","14","Exp2","-0.0877772840795564","0.25323316250845","0.16279895301835","1.52832514392591","0.0426847460917707","0.107806129197363","0.164354956431843","0.648661473295041","-0.395807054471598","0.401012782072566","0.191914711120479","1.22029537353387","0.096352665676388","0.13329120840025","0.175816674672684","0.702329392879658"
"15","15","Exp2","-0.154236215639752","0.263868953653815","0.133098707074349","1.46186621236571","0.0386269412878384","0.0927414750087997","0.119345645099993","0.644603668491109","-0.441278274811317","0.441278274811317","0.112275867371144","1.17482415319415","0.250170549856338","0.250826525750117","0.161329566507227","0.856147277059608"
"16","16","Exp2","-0.169503999809416","0.264416173433386","0.183364862931152","1.44659842819605","0.0524136892332493","0.0978502370780774","0.158212784556674","0.65839041643652","-0.330101787020799","0.339497114870057","0.174303598185277","1.28600064098467","0.124308572883609","0.139685090171531","0.174690364137163","0.73028530008688"
