"","NSub","targetDur","Exp","priortype","range","m_err","m_RP","m_BIAS","n","se_err","sd_err","se_RP","sd_RP","CV","NBIAS","NRMSE"
"1","1",0.4,"Exp1","BR","short",0.124558970036621,0.524558970036621,0.124967188013349,30,0.0200146052818303,0.107781947992401,0.0200146052818302,0.107781947992401,0.205471556391222,0.312417970033372,0.373929871079597
"2","1",0.4,"Exp1","IR","short",0.0445673864042224,0.444567386404222,0.0503424956665965,14,0.0170525762683007,0.0614839381141184,0.0170525762683007,0.0614839381141184,0.13830060412532,0.125856239166491,0.186994251351643
"3","1",0.475682846001088,"Exp1","BR","short",0.0480498982602985,0.523732744261386,0.0707840958765028,28,0.0151732114382202,0.0788423193749481,0.0151732114382202,0.0788423193749481,0.150539221079519,0.148805231198816,0.211672043301333
"4","1",0.475682846001088,"Exp1","IR","short",0.109907691116283,0.585590537117371,0.121840859516996,14,0.0277503376088472,0.100055265160135,0.0277503376088472,0.100055265160135,0.170862161900135,0.256138854998184,0.307897696335924
"5","1",0.4912,"Exp2","BR","short",0.0556885353706794,0.546888535370679,0.0876710701662476,29,0.0157667404218204,0.0834297482844926,0.0157667404218204,0.0834297482844926,0.152553478247526,0.17848344903552,0.234795454183069
"6","1",0.4912,"Exp2","IR","short",0.051871148002777,0.543071148002777,0.0594715336456664,14,0.0121440820122576,0.0437861103886348,0.0121440820122576,0.0437861103886348,0.0806268396869629,0.121073969148344,0.145463374370462
"7","1",0.542862864224572,"Exp2","BR","short",0.0587514451995648,0.601614309424137,0.0784239074111243,30,0.0147556665255114,0.0794616960789968,0.0147556665255114,0.0794616960789968,0.132080794678998,0.144463570045716,0.1957423290793
"8","1",0.542862864224572,"Exp2","IR","short",0.00706712915118974,0.549929993375762,0.0595659776895707,14,0.0237509671846931,0.0856353300262737,0.0237509671846931,0.0856353300262737,0.155720420885936,0.109725644568919,0.190495581463082
"9","1",0.565685424949238,"Exp1","BR","short",0.0316835422514752,0.597368967200713,0.0905570231807346,29,0.0208591751456576,0.110376379978699,0.0208591751456576,0.110376379978699,0.184770863635461,0.160083712937912,0.2444730398154
"10","1",0.565685424949238,"Exp1","IR","short",0.0474915013777115,0.61317692632695,0.0747641154578061,14,0.0213946227132553,0.0771394092118484,0.0213946227132553,0.0771394092118484,0.125802857054535,0.132165532574072,0.182466673241093
"11","1",0.599959465297448,"Exp2","BR","short",0.01762815719555,0.617587622492998,0.0550184266569327,29,0.0132262580066471,0.0699867789231302,0.0132262580066471,0.0699867789231302,0.113322832864779,0.0917035730566492,0.14577931869732
"12","1",0.599959465297448,"Exp2","IR","short",0.0070926369226448,0.607052102220093,0.044286631106607,14,0.0147416289552612,0.0531516990820589,0.0147416289552612,0.0531516990820589,0.0875570628742972,0.0738160386962984,0.114520944931428
"13","1",0.663061306494331,"Exp2","BR","short",-0.00582343936570623,0.657237867128625,0.062658562183777,29,0.0145153412484061,0.076807966277041,0.0145153412484061,0.076807966277041,0.11686479145306,0.0944988971156511,0.150291120953441
"14","1",0.663061306494331,"Exp2","IR","short",0.0428604133303398,0.705921719824671,0.0686598435767481,14,0.0220473562498636,0.0794928734473046,0.0220473562498636,0.0794928734473046,0.112608623895364,0.103549766672043,0.152981228761708
"15","1",0.672717132202972,"Exp1","BR","short",-0.0726831051194551,0.600034027083517,0.0799743062710104,29,0.013329422689428,0.0705326751125762,0.013329422689428,0.0705326751125762,0.117547792173391,0.118882517543615,0.167184139266698
"16","1",0.672717132202972,"Exp1","IR","short",0.0525492185125913,0.725266350715563,0.15785839706763,14,0.0619584767392883,0.223394464833147,0.0619584767392882,0.223394464833147,0.308017136894247,0.234657911194688,0.387219436375272
"17","1",0.7328,"Exp2","BR","short",-0.0522791540322816,0.680520845967718,0.102621816813387,30,0.0211548476059061,0.113922340827619,0.0211548476059061,0.113922340827619,0.167404630589411,0.140040688882897,0.218256053491246
"18","1",0.7328,"Exp2","IR","short",-0.00743323717464458,0.725366762825355,0.0529872461498668,14,0.0171107476318038,0.0616936779479927,0.0171107476318038,0.0616936779479928,0.0850517022694719,0.0723079232394471,0.111634348755823
"19","1",0.8,"Exp1","BR","short",-0.165587936938404,0.634412063061596,0.165587936938404,29,0.0160579049233975,0.0849704460080589,0.0160579049233975,0.0849704460080589,0.133935735077296,0.206984921173005,0.246539122095643
"20","1",0.8,"Exp1","IR","short",-0.0482009425209201,0.75179905747908,0.0598734345936464,14,0.0203811715319503,0.0734853590124737,0.0203811715319503,0.0734853590124738,0.0977460110935542,0.074841793242058,0.123107987963366
"21","1",1.2,"Exp1","BR","long",0.196743580523152,1.39674358052315,0.258838507389448,29,0.0428864464812998,0.226933744009601,0.0428864464812998,0.226933744009601,0.162473446933332,0.215698756157874,0.270043652705358
"22","1",1.2,"Exp1","IR","long",0.0108645105139511,1.21086451051395,0.116783835529461,13,0.0481942616211976,0.166949819522362,0.0481942616211976,0.166949819522362,0.13787654859213,0.0973198629412177,0.168763439093233
"23","1",1.31,"Exp2","BR","long",-0.0331931263341444,1.27680687366586,0.15395781457156,29,0.039337681646569,0.208155445581303,0.039337681646569,0.208155445581303,0.163028136732743,0.117525049291267,0.200973407637589
"24","1",1.31,"Exp2","IR","long",-0.0566604436583243,1.25333955634168,0.0817686036039286,14,0.0234757287245834,0.0846429436453682,0.0234757287245834,0.0846429436453682,0.0675339282296565,0.0624187813770447,0.0919615992179545
"25","1",1.42704853800327,"Exp1","BR","long",0.192310431115096,1.61935896911837,0.235982216103539,28,0.0393750483746966,0.204598753006371,0.0393750483746966,0.204598753006371,0.126345521226687,0.165363832987577,0.20810667455511
"26","1",1.42704853800327,"Exp1","IR","long",-0.02483935475855,1.40220918324472,0.181992986409567,14,0.0614093423177546,0.221414532519185,0.0614093423177546,0.221414532519185,0.15790406678612,0.127531041560935,0.202972561862958
"27","1",1.44778166151097,"Exp2","BR","long",-0.0361069118225993,1.41167474968837,0.167935704844664,29,0.037033664012463,0.195963730228999,0.037033664012463,0.195963730228999,0.138816487489245,0.115995187195146,0.18090025055618
"28","1",1.44778166151097,"Exp2","IR","long",-0.107016840140097,1.34076482137087,0.125635474567994,14,0.0287694259714101,0.103729640505585,0.0287694259714101,0.103729640505585,0.0773660218796057,0.0867779154191492,0.116257937131056
"29","1",1.60005476290647,"Exp2","BR","long",-0.0866020150456294,1.51345274786084,0.157695678539565,30,0.0301716134607991,0.162479110983561,0.0301716134607991,0.162479110983561,0.107356579987855,0.0985564258145223,0.145735391501248
"30","1",1.60005476290647,"Exp2","IR","long",-0.0678942874822693,1.5321604754242,0.127534601932262,14,0.0359248680217653,0.129528953716751,0.0359248680217653,0.129528953716751,0.0845400699172125,0.0797063981113983,0.116190074109194
"31","1",1.69705627484772,"Exp1","BR","long",0.037632021128692,1.73468829597641,0.147374812453873,30,0.0358999525416031,0.19332716100484,0.0358999525416031,0.19332716100484,0.111447780822215,0.0868414410518576,0.141287096842421
"32","1",1.69705627484772,"Exp1","IR","long",-0.182555025721484,1.51450124912624,0.264187793560122,14,0.0822187826662234,0.296444036709298,0.0822187826662234,0.296444036709298,0.195737069797946,0.155674150277561,0.250094865116672
"33","1",1.76834346805288,"Exp2","BR","long",-0.058170623682991,1.71017284436989,0.156581724634898,29,0.0384644895584476,0.203534947357386,0.0384644895584476,0.203534947357386,0.119014255212536,0.0885471219046093,0.148340775720583
"34","1",1.76834346805288,"Exp2","IR","long",-0.0635878292476993,1.70475563880518,0.0964722166885407,14,0.0269284059070909,0.0970917482645236,0.0269284059070909,0.0970917482645236,0.0569534694911305,0.0545551350353708,0.0788667258468657
"35","1",1.954332247557,"Exp2","BR","long",-0.116966800123488,1.83736544743351,0.175636125464987,30,0.035648775532801,0.191974531416677,0.035648775532801,0.191974531416677,0.104483586368097,0.0898701465344696,0.137816773501874
"36","1",1.954332247557,"Exp2","IR","long",-0.161045574939853,1.79328667261715,0.165489571451563,14,0.042007630561739,0.151460665951098,0.042007630561739,0.151460665951098,0.0844598179777103,0.0846783200033832,0.119598824122243
"37","1",2.01815139660892,"Exp1","BR","long",-0.244021355507898,1.77413004110102,0.256556505914404,28,0.0343328107337615,0.178398517672563,0.0343328107337615,0.178398517672563,0.100555491164475,0.127124509264019,0.16208654373188
"38","1",2.01815139660892,"Exp1","IR","long",-0.369419129961401,1.64873226664752,0.369419129961401,14,0.0580039137941003,0.209136085362222,0.0580039137941003,0.209136085362222,0.126846601836375,0.183048274070088,0.222703235354752
