"","NSub","Exp","priortype","range","minRP","slope","inP","maxDur","mixDur","inPOutlier","CI"
"1","1","Exp1","BR","long",0.787834695544245,0.538800948877349,1.70823138865203,2.4,0.4,"FALSE",0.461199051122651
"2","1","Exp1","BR","short",0.405618740707974,0.292649385095805,0.5734337853978,2.4,0.4,"FALSE",0.707350614904195
"3","1","Exp1","IR","long",0.697875922719326,0.467892971496661,1.31153299117707,2.4,0.4,"FALSE",0.532107028503339
"4","1","Exp1","IR","short",0.194913467560862,0.736365831254257,0.739333101199195,2.4,0.4,"FALSE",0.263634168745743
"5","1","Exp2","BR","long",0.125723430334791,0.881099884895728,1.05738695227112,1.954332247557,0.4912,"FALSE",0.118900115104272
"6","1","Exp2","BR","short",0.300632634790501,0.528377327595846,0.637443134906958,1.954332247557,0.4912,"FALSE",0.471622672404154
"7","1","Exp2","IR","long",0.0810535546809432,0.893388842941575,0.760272723018325,1.954332247557,0.4912,"FALSE",0.106611157058425
"8","1","Exp2","IR","short",0.102197723937417,0.864836218597088,0.756102876648394,1.954332247557,0.4912,"FALSE",0.135163781402912
"9","2","Exp1","BR","long",0.711976373133256,0.539404244435731,1.54577276175944,2.4,0.4,"FALSE",0.460595755564269
"10","2","Exp1","BR","short",0.373383381467857,0.301768413018271,0.534755786517615,2.4,0.4,"FALSE",0.698231586981729
"11","2","Exp1","IR","long",0.449955365982699,0.689032952880358,1.44695513608419,2.4,0.4,"FALSE",0.310967047119642
"12","2","Exp1","IR","short",0.125041346166153,0.829796901162427,0.734659633227249,2.4,0.4,"FALSE",0.170203098837573
"13","2","Exp2","BR","long",0.851238475175367,0.426620265855189,1.48459811968238,1.954332247557,0.4912,"FALSE",0.573379734144811
"14","2","Exp2","BR","short",0.427763870457086,0.351326149547125,0.659443679066823,1.954332247557,0.4912,"FALSE",0.648673850452875
"15","2","Exp2","IR","long",0.434389858613572,0.678872402896503,1.3527017376634,1.954332247557,0.4912,"FALSE",0.321127597103497
"16","2","Exp2","IR","short",0.454066655922507,0.307736864580875,0.655916273293387,1.954332247557,0.4912,"FALSE",0.692263135419125
"17","3","Exp1","BR","long",1.06095345437566,0.251763637898946,1.41793891357605,2.4,0.4,"FALSE",0.748236362101054
"18","3","Exp1","BR","short",0.324721229763758,0.439313276828379,0.579149133275202,2.4,0.4,"FALSE",0.560686723171621
"19","3","Exp1","IR","long",0.836851122834702,0.300216860810247,1.19587208660622,2.4,0.4,"FALSE",0.699783139189753
"20","3","Exp1","IR","short",0.317207454940508,0.51476995376603,0.653725912899376,2.4,0.4,"FALSE",0.48523004623397
"21","3","Exp2","BR","long",0.963323197343757,0.329415647883838,1.4365429111249,1.954332247557,0.4912,"FALSE",0.670584352116162
"22","3","Exp2","BR","short",0.339385784649963,0.427642400443732,0.592961087461894,1.954332247557,0.4912,"FALSE",0.572357599556268
"23","3","Exp2","IR","long",0.699418209110147,0.385561123764272,1.13830396506652,1.954332247557,0.4912,"FALSE",0.614438876235728
"24","3","Exp2","IR","short",0.442299139455015,0.343904021217758,0.674137860555025,1.954332247557,0.4912,"FALSE",0.656095978782242
"25","4","Exp1","BR","long",0.120845862701729,0.884667981181445,1.04780843983879,2.4,0.4,"FALSE",0.115332018818555
"26","4","Exp1","BR","short",0.432908329697375,0.176983677268459,0.526002118962329,2.4,0.4,"FALSE",0.823016322731541
"27","4","Exp1","IR","long",0.114790975309193,0.916993326341429,1.38291260509197,2.4,0.4,"FALSE",0.0830066736585707
"28","4","Exp1","IR","short",0.213272217487894,0.624139578104796,0.567423982585104,2.4,0.4,"FALSE",0.375860421895204
"29","4","Exp2","BR","long",0.721626272230951,0.561588631816385,1.64600264637463,1.954332247557,0.4912,"FALSE",0.438411368183615
"30","4","Exp2","BR","short",0.368758078414413,0.361414757211677,0.577461008657614,1.954332247557,0.4912,"FALSE",0.638585242788323
"31","4","Exp2","IR","long",0.373834924561654,0.802898449246998,1.89666150841261,1.954332247557,0.4912,"FALSE",0.197101550753002
"32","4","Exp2","IR","short",0.389925438123048,0.396354892513093,0.645951459370531,1.954332247557,0.4912,"FALSE",0.603645107486907
"33","5","Exp1","BR","long",0.528196494000619,0.598952026689211,1.31704067630656,2.4,0.4,"FALSE",0.401047973310789
"34","5","Exp1","BR","short",0.383371006793392,0.368134381749949,0.606728702623725,2.4,0.4,"FALSE",0.631865618250051
"35","5","Exp1","IR","long",0.464128484915094,0.630433732967252,1.25587350988928,2.4,0.4,"FALSE",0.369566267032748
"36","5","Exp1","IR","short",0.380857632429354,0.544869712959538,0.836810125087314,2.4,0.4,"FALSE",0.455130287040462
"37","5","Exp2","BR","long",0.39656206427113,0.727897012599171,1.45739695127626,1.954332247557,0.4912,"FALSE",0.272102987400829
"38","5","Exp2","BR","short",0.398556722096105,0.305020704989402,0.573479994234975,1.954332247557,0.4912,"FALSE",0.694979295010598
"39","5","Exp2","IR","long",0.546721079850281,0.637435268283966,1.50792681147619,1.954332247557,0.4912,"FALSE",0.362564731716034
"40","5","Exp2","IR","short",0.229888437364967,0.631738393279843,0.624253066759848,1.954332247557,0.4912,"FALSE",0.368261606720157
"41","6","Exp1","BR","long",0.721478774977467,0.530340690875683,1.53617475680972,2.4,0.4,"FALSE",0.469659309124317
"42","6","Exp1","BR","short",0.515107585788885,0.109735910157256,0.578600879970205,2.4,0.4,"FALSE",0.890264089842744
"43","6","Exp1","IR","long",0.588884841369672,0.514167964025649,1.2121161178444,2.4,0.4,"FALSE",0.485832035974351
