"","NSub","Exp","range","m_diff_RP_Normalized","m_diff_RP_Normalized_abs"
"1","1","Exp1","long",-0.130613185163076,0.130613185163076
"2","1","Exp1","short",0.0349462629059435,0.119907013600875
"3","1","Exp2","long",-0.0161636420259184,0.0208404138457473
"4","1","Exp2","short",0.00281639907095856,0.0510319543027128
"5","2","Exp1","long",-0.00966858241092974,0.0416562374137431
"6","2","Exp1","short",0.0728402129921303,0.124555574250053
"7","2","Exp2","long",-0.0112881444990388,0.0393533788594246
"8","2","Exp2","short",0.000779675205505752,0.0225068493628372
"9","3","Exp1","long",-0.0860384129438591,0.0860384129438591
"10","3","Exp1","short",0.0589546758922703,0.0720279936746073
"11","3","Exp2","long",-0.114398183825553,0.114398183825553
"12","3","Exp2","short",0.0904621958266504,0.0904621958266504
"13","4","Exp1","long",0.0260630310103198,0.0374812479830229
"14","4","Exp1","short",0.0515327265757301,0.0990785957153655
"15","4","Exp2","long",0.0217494313955745,0.0319011279302046
"16","4","Exp2","short",0.0702162451601401,0.0702162451601401
"17","5","Exp1","long",-0.00452113397969376,0.0545320977310587
"18","5","Exp1","short",0.183727607041613,0.183727607041613
"19","5","Exp2","long",0.00461562075769145,0.0188403409136266
"20","5","Exp2","short",0.0429888631416639,0.0481940449156741
"21","6","Exp1","long",-0.0944260629354784,0.0944260629354784
"22","6","Exp1","short",0.173647503330982,0.173647503330982
"23","6","Exp2","long",-0.073728742392514,0.073728742392514
"24","6","Exp2","short",0.418388534958306,0.418388534958306
"25","7","Exp1","long",0.0118619549184537,0.018482364669184
"26","7","Exp1","short",0.109236775142524,0.145798281112866
"27","7","Exp2","long",-0.167797207288797,0.167797207288797
"28","7","Exp2","short",0.0674207043694237,0.0722409858419108
"29","8","Exp1","long",-0.179400746932104,0.179400746932104
"30","8","Exp1","short",0.287633579432206,0.287633579432206
"31","8","Exp2","long",-0.201653054861439,0.201653054861439
"32","8","Exp2","short",0.162632749115234,0.162632749115234
"33","9","Exp1","long",0.0213530861423467,0.0383381826741357
"34","9","Exp1","short",0.0799636851349204,0.0799636851349204
"35","9","Exp2","long",-0.02209793090524,0.0302424690287073
"36","9","Exp2","short",-0.0300056740847406,0.032709071322645
"37","10","Exp1","long",-0.0554599033193417,0.0554599033193417
"38","10","Exp1","short",0.0682091771036015,0.0682091771036015
"39","10","Exp2","long",-0.113747827668047,0.113747827668047
"40","10","Exp2","short",0.115554020052422,0.117139269076498
"41","11","Exp1","long",-0.0106273500528696,0.0438864509774683
"42","11","Exp1","short",0.0767668847977623,0.125753578219078
"43","11","Exp2","long",-0.152101833439271,0.152101833439271
"44","11","Exp2","short",0.239754634545121,0.239754634545121
"45","12","Exp1","long",-0.0159166921561048,0.0289506599112995
"46","12","Exp1","short",0.108607638806783,0.108607638806783
"47","12","Exp2","long",-0.0327152245185104,0.0456663109299285
"48","12","Exp2","short",0.105426713515628,0.105426713515628
"49","13","Exp1","long",0.0786833283653492,0.0864553302555824
"50","13","Exp1","short",0.055096869999602,0.055096869999602
"51","13","Exp2","long",-0.103685564987157,0.103685564987157
"52","13","Exp2","short",0.641480444498593,0.641480444498593
"53","14","Exp1","long",-0.00247925910186884,0.0265169721854862
"54","14","Exp1","short",-0.00288382702656038,0.0991887008299169
"55","14","Exp2","long",-0.200402517547001,0.200402517547001
"56","14","Exp2","short",0.0924842509670128,0.0924842509670128
"57","15","Exp1","long",-0.0901316408423175,0.101886162253534
"58","15","Exp1","short",0.0468721283069366,0.0468721283069366
"59","15","Exp2","long",-0.182822713193803,0.182822713193803
"60","15","Exp2","short",0.352692456350883,0.352692456350883
"61","16","Exp1","long",-0.0653547938134648,0.0653547938134648
"62","16","Exp1","short",-0.041388112314756,0.148839591503403
"63","16","Exp2","long",-0.101484092639185,0.101484092639185
"64","16","Exp2","short",0.116050594923608,0.116050594923608
