"","NSub","firstSession","Exp","long_BR_m_err","long_IR_m_err","short_BR_m_err","short_IR_m_err"
"1","1","L-S-M","Exp1","-0.0138753995530022","-0.236716761370879","-0.000785479808413799","0.0326268215099027"
"2","1","L-S-M","Exp2","-0.066691929581128","-0.0912409950936486","0.0146358712777801","0.0202916180464613"
"3","2","S-L-M","Exp1","-0.101325807394188","-0.101082176577747","-0.0300196532547023","0.025393115978017"
"4","2","L-S-M","Exp2","-0.0760646428123372","-0.0845852307649477","0.034682613537309","0.0345713067577519"
"5","3","S-L-M","Exp2","-0.121879532302534","-0.296442751190301","-0.0086205207904849","0.0441636045270247"
"6","3","L-S-M","Exp1","-0.244729901226301","-0.389554163833141","-0.00240182104181004","0.0359343814269331"
"7","4","S-L-M","Exp1","-0.0745018668312232","-0.0303422455607114","-0.0459395295023673","-0.00578566964447675"
"8","4","S-L-M","Exp2","0.0131085956442148","0.0577142013586501","-0.0168769377619172","0.0241305514958659"
"9","5","S-L-M","Exp1","-0.173137662980317","-0.188001615149127","0.0077090710844658","0.116985916555468"
"10","5","S-L-M","Exp2","-0.0431872336648713","-0.0392206633851504","-0.0220134727494561","0.00703514169019444"
"11","6","S-L-M","Exp1","-0.10106322233398","-0.255981259623776","-0.00287293855988426","0.106213871653874"
"12","6","S-L-M","Exp2","-0.0818674236751804","-0.196334733915648","0.0462430009894364","0.295072556347648"
"13","7","S-L-M","Exp1","0.0166669274095649","0.0380577217802355","-0.00847803978537205","0.0722646821987476"
"14","7","L-S-M","Exp2","0.0133935724534371","-0.262640626210283","0.0365061258392809","0.0786955831594911"
"15","8","S-L-M","Exp1","-0.0863062620819463","-0.389982914183559","0.0310108783688579","0.2078964127778"
"16","8","L-S-M","Exp2","-0.0330067213507584","-0.336757223790353","0.0659040207347401","0.159041037804272"
"17","9","L-S-M","Exp1","-0.0763128479074286","-0.0317263650375638","0.0305451772169274","0.0736234266987711"
"18","9","L-S-M","Exp2","-0.0415054496378685","-0.0762726495250637","0.0377507562866318","0.0210666217708945"
"19","10","L-S-M","Exp1","0.168284166464181","0.0579612705636081","0.0247224453876901","0.0629963043706462"
"20","10","L-S-M","Exp2","-0.0202372989341001","-0.228727726336465","0.0335570496961029","0.100001527031424"
"21","11","S-L-M","Exp1","0.0140268536088306","-0.0013305403606785","-0.0234561966078161","0.0421880576039116"
"22","11","S-L-M","Exp2","-0.0796348602709062","-0.324163024496548","-0.0340443219566526","0.116023479781614"
"23","12","S-L-M","Exp1","0.0825661476322134","0.056816854890303","0.0113449757270663","0.0738159193885541"
"24","12","S-L-M","Exp2","-0.0946751373885448","-0.14185498057323","0.00824867627624894","0.0729581098501401"
"25","13","S-L-M","Exp2","-0.115537930204165","-0.281176804979519","-0.0426705225844079","0.339319216208394"
"26","13","L-S-M","Exp1","-0.0376493324216727","0.107134902785225","0.0288197605703262","0.0570531499711758"
"27","14","L-S-M","Exp1","0.00523735521261599","0.0124901515774635","0.0700730385704046","0.0683654301799703"
"28","14","L-S-M","Exp2","-0.090580124302069","-0.395807054471598","0.0417743711001562","0.096352665676388"
"29","15","S-L-M","Exp2","-0.154236215639752","-0.441278274811317","0.0375367895430491","0.250170549856338"
"30","15","L-S-M","Exp1","-0.0368405508161013","-0.185962309765433","0.0494876885394473","0.0792719162329559"
"31","16","L-S-M","Exp1","-0.039749443135069","-0.139874137798188","0.0488002172722513","0.0442157901600555"
"32","16","L-S-M","Exp2","-0.171181158511663","-0.330101787020799","0.0505864903769001","0.125233388570645"
