"","targetDur","Exp","priortype","S-L-M","L-S-M"
"1",0.4,"Exp1","BR",0.0912424314523627,0.107063282672263
"2",0.4,"Exp1","IR",0.103435380685706,0.102750770749214
"3",0.475682846001088,"Exp1","BR",0.0658292804222787,0.0787846223423705
"4",0.475682846001088,"Exp1","IR",0.0905445371911496,0.0967854675301799
"5",0.4912,"Exp2","BR",0.0786963513032111,0.103432078171671
"6",0.4912,"Exp2","IR",0.191289445197547,0.134748611773002
"7",0.542862864224572,"Exp2","BR",0.0450817554082251,0.0802653233871609
"8",0.542862864224572,"Exp2","IR",0.187914037756009,0.130393168056467
"9",0.565685424949238,"Exp1","BR",0.0162973939599998,0.0539818648326142
"10",0.565685424949238,"Exp1","IR",0.0906363653546853,0.0773094844538888
"11",0.599959465297448,"Exp2","BR",0.00743550942204296,0.0458749384079137
"12",0.599959465297448,"Exp2","IR",0.138749388559231,0.0794740667537558
"13",0.663061306494331,"Exp2","BR",-0.0557166959218606,-0.000323182822405885
"14",0.663061306494331,"Exp2","IR",0.110923449876475,0.0477701815505395
"15",0.672717132202972,"Exp1","BR",-0.0680407171200277,-0.00505464425825851
"16",0.672717132202972,"Exp1","IR",0.0591872340680046,0.0382921691698826
"17",0.7328,"Exp2","BR",-0.0984434923312328,-0.0332358661687256
"18",0.7328,"Exp2","IR",0.0565845914926277,0.00353864741930005
"19",0.8,"Exp1","BR",-0.147425251304541,-0.0802181474480441
"20",0.8,"Exp1","IR",0.048824151444036,-0.0324473901360183
"21",1.2,"Exp1","BR",0.0895616254282029,0.123403727706143
"22",1.2,"Exp1","IR",0.0603023752338975,0.0879718468513508
"23",1.31,"Exp2","BR",0.0898291232819618,0.0783891226886488
"24",1.31,"Exp2","IR",-0.0500981416275611,-0.101872071327915
"25",1.42704853800327,"Exp1","BR",0.0650801019354806,0.120871287940178
"26",1.42704853800327,"Exp1","IR",-0.0343456912191246,0.0108687461022199
"27",1.44778166151097,"Exp2","BR",0.0107427855866995,0.0291722544339812
"28",1.44778166151097,"Exp2","IR",-0.114682938432708,-0.0943137083144303
"29",1.60005476290647,"Exp2","BR",-0.0709038967750189,-0.0672650342131184
"30",1.60005476290647,"Exp2","IR",-0.207421396580395,-0.229501113605881
"31",1.69705627484772,"Exp1","BR",-0.020113155757124,0.0128944054684212
"32",1.69705627484772,"Exp1","IR",-0.0804025262469686,-0.101431492006053
"33",1.76834346805288,"Exp2","BR",-0.169570037462458,-0.130187301915719
"34",1.76834346805288,"Exp2","IR",-0.281113650646964,-0.305871713806889
"35",1.954332247557,"Exp2","BR",-0.282728925036978,-0.209065327216448
"36",1.954332247557,"Exp2","IR",-0.397285194020412,-0.389622521202781
"37",2.01815139660892,"Exp1","BR",-0.119551755599296,-0.123501766682703
"38",2.01815139660892,"Exp1","IR",-0.204045434902849,-0.205654294502969
"39",2.4,"Exp1","BR",-0.274411543554516,-0.29843246178584
"40",2.4,"Exp1","IR",-0.287134723742821,-0.296203985045317
