"","Nsub","Exp","model","m_mu_p_g","m_sig2_p_g","m_mu_p_s_IR","m_mu_p_l_IR","m_sig_pr2_l_IR"
"1",1,"Exp1","DIM",0.681570492508446,0,0,0,0
"2",1,"Exp1","IP",0,0.0274253548752143,0.721012184523794,1.23492835345135,0.182608769814319
"3",1,"Exp1","LGM",0.726505963036057,0,0,0,0
"4",1,"Exp1","PIM",0.723126722525166,0,0,0,0
"5",1,"Exp2","DIM",0.901581105204133,0,0,0,0
"6",1,"Exp2","IP",0,0.441835128724646,0.722631047720383,1.22710967312184,0.193630097142691
"7",1,"Exp2","LGM",1.12264637951999,0,0,0,0
"8",1,"Exp2","PIM",1.11644361241833,0,0,0,0
"9",2,"Exp1","DIM",1.4071802327195,0,0,0,0
"10",2,"Exp1","IP",0,0.180503646037454,0.771779972948517,1.45461947858822,0.219215845143231
"11",2,"Exp1","LGM",1.90907513138338,0,0,0,0
"12",2,"Exp1","PIM",1.90586861167695,0,0,0,0
"13",2,"Exp2","DIM",1.23081352032496,0,0,0,0
"14",2,"Exp2","IP",0,0.00403638101137135,0.658829178933549,1.45962260622103,0.103500157176593
"15",2,"Exp2","LGM",1.39484690764715,0,0,0,0
"16",2,"Exp2","PIM",1.40183537401836,0,0,0,0
"17",3,"Exp1","DIM",0.667877188538064,0,0,0,0
"18",3,"Exp1","IP",0,0.0161209605078944,0.677948501282178,1.12857380088292,0.146233654381592
"19",3,"Exp1","LGM",0.80089027576691,0,0,0,0
"20",3,"Exp1","PIM",0.799755705582161,0,0,0,0
"21",3,"Exp2","DIM",0.627950448924985,0,0,0,0
"22",3,"Exp2","IP",0,0.0243739866726599,0.731433279990118,1.06236301348417,0.128612872860435
"23",3,"Exp2","LGM",1.00498069308974,0,0,0,0
"24",3,"Exp2","PIM",0.998493980490798,0,0,0,0
"25",4,"Exp1","DIM",1.62524283073733,0,0,0,0
"26",4,"Exp1","IP",0,0.0440810819189687,0.592973318284854,1.51068834637392,0.846320739160044
"27",4,"Exp1","LGM",1.93643836342101,0,0,0,0
"28",4,"Exp1","PIM",1.93999678085595,0,0,0,0
"29",4,"Exp2","DIM",2.09741048841496,0,0,0,0
"30",4,"Exp2","IP",0,0.00903762324628861,0.661477720870452,1.80399699936689,0.104908081896468
"31",4,"Exp2","LGM",2.01345573208541,0,0,0,0
"32",4,"Exp2","PIM",2.01298017122246,0,0,0,0
"33",5,"Exp1","DIM",1.01327590784663,0,0,0,0
"34",5,"Exp1","IP",0,0.0246545839683244,0.941381343917882,1.16004510781113,0.432652319318584
"35",5,"Exp1","LGM",1.80625795903052,0,0,0,0
"36",5,"Exp1","PIM",1.80319940255169,0,0,0,0
"37",5,"Exp2","DIM",1.50614732414328,0,0,0,0
"38",5,"Exp2","IP",0,0.365437554446432,0.663303061177513,1.52240340812335,0.132442073275634
"39",5,"Exp2","LGM",1.62560863452301,0,0,0,0
"40",5,"Exp2","PIM",1.62324636325802,0,0,0,0
"41",6,"Exp1","DIM",0.784228404242677,0,0,0,0
"42",6,"Exp1","IP",0,0.0159911226686132,0.862416403353421,1.23276039575332,0.155560866423683
"43",6,"Exp1","LGM",1.43201002236893,0,0,0,0
"44",6,"Exp1","PIM",1.430692553176,0,0,0,0
"45",6,"Exp2","DIM",1.43051279137942,0,0,0,0
"46",6,"Exp2","IP",0,0.0182639528218916,0.990953614701229,1.33897340562013,0.116397656244744
"47",6,"Exp2","LGM",1.43685345847124,0,0,0,0
"48",6,"Exp2","PIM",1.43654104435684,0,0,0,0
"49",7,"Exp1","DIM",1.91387608937562,0,0,0,0
"50",7,"Exp1","IP",0,0.0378401205488935,0.975731763598721,2.09546282974995,0.298921828419881
"51",7,"Exp1","LGM",2.11705382755184,0,0,0,0
"52",7,"Exp1","PIM",2.11406839755078,0,0,0,0
"53",7,"Exp2","DIM",0.636865203333999,0,0,0,0
"54",7,"Exp2","IP",0,0.0151067171212159,0.806716914047036,1.16658617763983,0.0627989289433289
"55",7,"Exp2","LGM",0.962366083706407,0,0,0,0
"56",7,"Exp2","PIM",0.964129255903236,0,0,0,0
"57",8,"Exp1","DIM",1.370362336444,0,0,0,0
"58",8,"Exp1","IP",0,0.0201483804323184,0.991520407744317,1.11560099605906,0.138147421915774
"59",8,"Exp1","LGM",1.36375233477975,0,0,0,0
"60",8,"Exp1","PIM",1.36373741260676,0,0,0,0
"61",8,"Exp2","DIM",0.570591813774532,0,0,0,0
"62",8,"Exp2","IP",0,0.0401064455568927,0.906255179277332,1.13599455671966,0.172268519287671
"63",8,"Exp2","LGM",0.91490613930997,0,0,0,0
"64",8,"Exp2","PIM",0.918885066286793,0,0,0,0
"65",9,"Exp1","DIM",1.84029688250721,0,0,0,0
"66",9,"Exp1","IP",0,0.00654906617546229,0.767670636107573,1.78697132200111,0.126813866827405
"67",9,"Exp1","LGM",2.22304928407033,0,0,0,0
"68",9,"Exp1","PIM",2.22111665906712,0,0,0,0
"69",9,"Exp2","DIM",1.16618512564509,0,0,0,0
"70",9,"Exp2","IP",0,0.44273835135294,0.679878587504568,1.19338044732846,0.197798288701944
"71",9,"Exp2","LGM",1.00926119748843,0,0,0,0
