"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_DG","mu_r","sig_r","predY","W_DL_PL","W_DG_PG","sig2_DL","sig2_DG","log_lik","W_P_G","W_L","W_Ds","W_P_S","W_P_L","part"
"1",1,341,1,0.565685424949238,0.526007140657384,"Exp1","mixed","DIM",0.186947256922929,0.587298284671769,0.0941788008962091,0.586992492732172,0.720521059510927,0.0738309535619305,0.00302045890821849,0.0100095396881593,0.948909987990042,0.0138024942444071,0.585821623880156,0.400375881875437,0.585821623880156,0.585821623880156,"all"
"2",2,342,1,1.2,1.19783450840987,"Exp1","mixed","DIM",0.480197639251245,1.23848285188248,0.161946818867714,1.23800482946993,0.311456253829743,0.262568271992087,0.0334863564202873,0.0358639546391221,0.407504067625507,0.126084664352879,0.161895696010664,0.712019639636457,0.161895696010664,0.161895696010664,"all"
"3",3,343,1,0.8,0.717920096783928,"Exp1","mixed","DIM",0.110825554251432,0.649103318250926,0.0974811142014837,0.649211240262252,0.837561453291064,0.137208268433571,0.00351109786366356,0.0186491831333457,0.909491087889314,0.0152061823970298,0.744738241010447,0.240055576592523,0.744738241010447,0.744738241010447,"all"
"4",4,344,1,1.69705627484772,1.47795791490353,"Exp1","mixed","DIM",0.468936424541451,1.53513711139727,0.19297164624397,1.53307665855276,0.474977724831038,0.41451635667138,0.0510674394551855,0.0569483466164624,0.231579777033927,0.194381818211425,0.252243368811938,0.553374812976636,0.252243368811938,0.252243368811938,"all"
"5",5,345,1,0.672717132202972,0.773946270903252,"Exp1","mixed","DIM",0.146061546354645,0.623998464077254,0.0959651196271724,0.624286946498032,0.784759499634816,0.101213953111652,0.00328974953638411,0.0137371032684039,0.922394571308739,0.0147834665041544,0.670136313601657,0.315080219894188,0.670136313601657,0.670136313601657,"all"
"6",6,346,1,0.8,0.829871990645188,"Exp1","mixed","DIM",0.110825554251432,0.649103318250926,0.0974811142014837,0.649496836508321,0.837561453291064,0.137208268433571,0.00351109786366356,0.0186491831333457,0.906961970472065,0.0152061823970298,0.744738241010447,0.240055576592523,0.744738241010447,0.744738241010447,"all"
"7",7,347,1,0.672717132202972,0.56597492061519,"Exp1","mixed","DIM",0.146061546354645,0.623998464077254,0.0959651196271724,0.624435670875429,0.784759499634816,0.101213953111652,0.00328974953638411,0.0137371032684039,0.92670392685493,0.0147834665041544,0.670136313601657,0.315080219894188,0.670136313601657,0.670136313601657,"all"
"8",8,349,1,2.01815139660892,1.24593473886489,"Exp1","mixed","DIM",0.462732350963436,1.65414245450326,0.207877541485203,1.65497843184663,0.561290419615151,0.499513115909297,0.060347386881498,0.0688452611334406,0.148732461332886,0.23114087846178,0.301563184173379,0.467295937364841,0.301563184173379,0.301563184173379,"all"
"9",9,350,1,1.69705627484772,0.941986539735808,"Exp1","mixed","DIM",0.468936424541451,1.53513711139727,0.19297164624397,1.53404569519605,0.474977724831038,0.41451635667138,0.0510674394551855,0.0569483466164624,0.231407637086519,0.194381818211425,0.252243368811938,0.553374812976636,0.252243368811938,0.252243368811938,"all"
"10",10,351,1,0.565685424949238,0.653942476650627,"Exp1","mixed","DIM",0.186947256922929,0.587298284671769,0.0941788008962091,0.587196072519538,0.720521059510927,0.0738309535619305,0.00302045890821849,0.0100095396881593,0.943905308150311,0.0138024942444071,0.585821623880156,0.400375881875437,0.585821623880156,0.585821623880156,"all"
"11",11,352,1,2.4,1.30997300482886,"Exp1","mixed","DIM",0.456606689344133,1.74308159058529,0.221478360117257,1.74289631731462,0.644047319271139,0.584544937798968,0.0692450314272173,0.0808202898761719,0.0866228177769432,0.266907128821259,0.349971005037781,0.383121866140961,0.349971005037781,0.349971005037781,"all"
"12",12,353,1,1.2,1.34996815316299,"Exp1","mixed","DIM",0.480197639251245,1.23848285188248,0.161946818867714,1.23823438333511,0.311456253829743,0.262568271992087,0.0334863564202873,0.0358639546391221,0.403163107730287,0.126084664352879,0.161895696010664,0.712019639636457,0.161895696010664,0.161895696010664,"all"
"13",13,354,1,0.475682846001088,0.589955215385999,"Exp1","mixed","DIM",0.231495777953752,0.539862695741073,0.0921962670910302,0.538971392352159,0.64576476787845,0.0534021216866497,0.00270707694106272,0.00723393117475588,0.964853999099337,0.0123623657042319,0.496272950563304,0.491364683732464,0.496272950563304,0.496272950563304,"all"
"14",14,355,1,0.4,0.421965018240371,"Exp1","mixed","DIM",0.276914551817814,0.484394698093965,0.0901327895309429,0.484804947183693,0.563136318004196,0.0383835953806856,0.00236069450823781,0.0051963178881004,0.98485112378972,0.0106289761119989,0.40719567689173,0.582175346996271,0.40719567689173,0.40719567689173,"all"
"15",15,356,1,1.2,1.10980506252781,"Exp1","mixed","DIM",0.480197639251245,1.23848285188248,0.161946818867714,1.23788216297992,0.311456253829743,0.262568271992087,0.0334863564202873,0.0358639546391221,0.404414611454378,0.126084664352879,0.161895696010664,0.712019639636457,0.161895696010664,0.161895696010664,"all"
"16",16,357,1,0.475682846001088,0.677874254755807,"Exp1","mixed","DIM",0.231495777953752,0.539862695741073,0.0921962670910302,0.539714661725282,0.64576476787845,0.0534021216866497,0.00270707694106272,0.00723393117475588,0.967461033727296,0.0123623657042319,0.496272950563304,0.491364683732464,0.496272950563304,0.496272950563304,"all"
"17",17,358,1,0.8,0.845924786728574,"Exp1","mixed","DIM",0.110825554251432,0.649103318250926,0.0974811142014837,0.64952235219156,0.837561453291064,0.137208268433571,0.00351109786366356,0.0186491831333457,0.914616989555663,0.0152061823970298,0.744738241010447,0.240055576592523,0.744738241010447,0.744738241010447,"all"
"18",18,359,1,1.42704853800327,1.02194853501533,"Exp1","mixed","DIM",0.474857784812313,1.39325759619202,0.177413796980476,1.39348509782002,0.390134622906319,0.334289100683675,0.0419454959529465,0.0457864553094903,0.313195587644455,0.15873978183755,0.204876160094437,0.636384058068013,0.204876160094437,0.204876160094437,"all"
