"","Exp","model","NSub","mpredRP_err","mpredVar_err","mpredRP_rerr","mpredVar_rerr","mpredcv_rerr","mpredcv_err","version"
"1","Exp1","DIM",1,-0.0201963459804078,-0.0270294227987126,0.0506951714813693,0.240251784324308,0.241924168099074,-0.0108805438219173,"linear"
"2","Exp1","DIM",2,-0.0162149346496097,-0.0140653763309941,0.0538573354326413,0.34493903667286,0.332713115012895,-0.00724432939873111,"linear"
"3","Exp1","DIM",3,-0.0109249975122109,-0.0277461287589819,0.0521758151499571,0.217622760544413,0.240610434210074,-0.0184243985593431,"linear"
"4","Exp1","DIM",4,-0.01966670053881,-0.0139884482897672,0.0396294373675492,0.174470589465637,0.195473280511695,8.0805351550195e-05,"linear"
"5","Exp1","DIM",5,-0.036073444169977,-0.0898422998884494,0.106296381940291,0.370637365587662,0.326461275248026,-0.0846128403965899,"linear"
"6","Exp1","DIM",6,-0.0523018821119284,-0.0372156371617829,0.107134997701915,0.277472663298295,0.219567001668031,-0.0410019870370702,"linear"
"7","Exp1","DIM",7,-0.0365807767633725,-0.0331817834145372,0.0664213343637182,0.324913651212251,0.301950350305962,-0.0359880701833869,"linear"
"8","Exp1","DIM",8,-0.00396595500524166,-0.104780687918314,0.0895655279966508,0.528631381430031,0.526611779723345,-0.101650830223681,"linear"
"9","Exp1","DIM",9,-0.0462449294627519,-0.0110382557216077,0.0665939805738519,0.164426169172474,0.172158268668121,-0.00475985651010661,"linear"
"10","Exp1","DIM",10,-0.0450765210653271,0.00600678328313716,0.0539287460990809,0.222922975542343,0.279780569438971,0.0230640698468983,"linear"
"11","Exp1","DIM",11,-0.0291090063412318,-0.0314338285236835,0.0551593631408047,0.230746283817897,0.194523159551153,-0.0249851139864015,"linear"
"12","Exp1","DIM",12,-0.0421046072329638,0.00390021941790655,0.0639274501612109,0.303303944584771,0.337172883320752,0.0077733171911456,"linear"
"13","Exp1","DIM",13,-0.000349397389592507,-0.000152742107682667,0.0515009079457913,0.208393663266541,0.251684712620884,-0.00228700577568172,"linear"
"14","Exp1","DIM",14,-0.0206866194793192,-0.000941122107055999,0.0515110986471988,0.2167444325192,0.240868409024421,-0.00143646003791079,"linear"
"15","Exp1","DIM",15,-0.00789887133759884,-0.0509502935963227,0.069598274683614,0.233911168320322,0.215627893168479,-0.0455174259510002,"linear"
"16","Exp1","DIM",16,0.0166148577388987,-0.035021308952067,0.065550491021239,0.237944615565724,0.243918605483417,-0.0412378676675543,"linear"
"17","Exp1","IP",1,0.00179408812512554,0.0182611955882972,0.0209935152623292,0.310108632906081,0.309699871343238,0.0246715614302034,"linear"
"18","Exp1","IP",2,-0.00366707227937723,0.0343155351549065,0.0271361689492827,0.495980361573325,0.507670894572822,0.0330136872876675,"linear"
"19","Exp1","IP",3,0.00379681705309107,0.00709371595189154,0.0291714531495189,0.223170373257675,0.220288395909266,0.00685402360408343,"linear"
"20","Exp1","IP",4,0.0021717340455426,0.0260208659563981,0.024698544906726,0.270474715723582,0.275603071830555,0.0277041149146865,"linear"
"21","Exp1","IP",5,0.00565487394880068,-0.0558531574295167,0.0612210018900673,0.249146691961043,0.242170559894748,-0.066709863925121,"linear"
"22","Exp1","IP",6,-0.00143519118090586,0.0129912781579882,0.0502172840241081,0.29691308852159,0.286825188063072,-0.00192625838632685,"linear"
"23","Exp1","IP",7,-0.0207898294576775,-0.00263725877599204,0.0480016998404121,0.321388793934242,0.313160006443284,-0.014991009678989,"linear"
"24","Exp1","IP",8,-0.0149767370033847,-0.0125531162704367,0.0459429764680007,0.274382826781442,0.237281084218984,-0.0234823933259991,"linear"
"25","Exp1","IP",9,-0.00222028350146277,0.015787888497381,0.0358727396463933,0.220574062722337,0.221129425322024,0.00581095751864022,"linear"
"26","Exp1","IP",10,-0.00187321477024265,0.0210254584073686,0.0196497349188065,0.249364717127144,0.257014307783313,0.0241705007919112,"linear"
"27","Exp1","IP",11,-0.0143678152786778,0.0203733045162827,0.0333101673678259,0.217083124321627,0.247354286024429,0.0224150330020064,"linear"
"28","Exp1","IP",12,-0.00747186209755168,0.0415622394848039,0.0264670060894163,0.484370697313116,0.495666210936517,0.0287459014411779,"linear"
