"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_Ds","mu_r","sig_r","predY","W_PI_PL","sig2_PI","log_lik","W_P_G","W_L","W_P_S","W_P_L","part"
"1",1,341,1,0.565685424949238,0.526007140657384,"Exp1","mixed","PIM",0.275701246630399,0.592200726710669,0.0962221125849062,0.592300156589201,0.981344433532879,0.00411384302674925,0.924308117920822,0.0135122035355391,0.710786549834062,0.710786549834062,0.710786549834062,"all"
"2",2,342,1,1.2,1.19783450840987,"Exp1","mixed","PIM",0.598368230741723,1.31114838635682,0.188077080460998,1.30884394975252,0.67666056600563,0.0727514590257811,0.252321632681026,0.129863388946129,0.271768380312148,0.271768380312148,0.271768380312148,"all"
"3",3,343,1,0.8,0.717920096783928,"Exp1","mixed","PIM",0.159892183369909,0.633903719316276,0.0986667094457079,0.633294212494366,0.981344433532879,0.00411384302674925,0.892530252524577,0.0156726872126902,0.824435129417401,0.824435129417401,0.824435129417401,"all"
"4",4,344,1,1.69705627484772,1.47795791490353,"Exp1","mixed","PIM",0.427200082523857,1.57099182354599,0.218657032985813,1.57032583189386,0.67666056600563,0.0727514590257811,0.0955531555935375,0.185208801108758,0.387591116367385,0.387591116367385,0.387591116367385,"all"
"5",5,345,1,0.672717132202972,0.773946270903252,"Exp1","mixed","PIM",0.212075794336333,0.617227930285319,0.0975727534174266,0.61816304966565,0.981344433532879,0.00411384302674925,0.911992638821118,0.0146991723898117,0.773225033273856,0.773225033273856,0.773225033273856,"all"
"6",6,346,1,0.8,0.829871990645188,"Exp1","mixed","PIM",0.159892183369909,0.633903719316276,0.0986667094457079,0.633625154081466,0.981344433532879,0.00411384302674925,0.899240563868027,0.0156726872126902,0.824435129417401,0.824435129417401,0.824435129417401,"all"
"7",7,347,1,0.672717132202972,0.56597492061519,"Exp1","mixed","PIM",0.212075794336333,0.617227930285319,0.0975727534174266,0.617123421383317,0.981344433532879,0.00411384302674925,0.913877677376458,0.0146991723898117,0.773225033273856,0.773225033273856,0.773225033273856,"all"
"8",8,349,1,2.01815139660892,1.24593473886489,"Exp1","mixed","PIM",0.345405512131104,1.66397084397636,0.23186345091121,1.66286467425172,0.67666056600563,0.0727514590257811,0.0419609408852897,0.211656211203364,0.442938276665533,0.442938276665533,0.442938276665533,"all"
"9",9,350,1,1.69705627484772,0.941986539735808,"Exp1","mixed","PIM",0.427200082523857,1.57099182354599,0.218657032985813,1.57010578515798,0.67666056600563,0.0727514590257811,0.0982647722823686,0.185208801108758,0.387591116367385,0.387591116367385,0.387591116367385,"all"
"10",10,351,1,0.565685424949238,0.653942476650627,"Exp1","mixed","PIM",0.275701246630399,0.592200726710669,0.0962221125849062,0.592773893567548,0.981344433532879,0.00411384302674925,0.924791780392513,0.0135122035355391,0.710786549834062,0.710786549834062,0.710786549834062,"all"
"11",11,352,1,2.4,1.30997300482886,"Exp1","mixed","PIM",0.271827425380835,1.72803029650514,0.243137111827731,1.72801349515133,0.67666056600563,0.0727514590257811,-0.00612254224517978,0.235446908127584,0.492725666491581,0.492725666491581,0.492725666491581,"all"
"12",12,353,1,1.2,1.34996815316299,"Exp1","mixed","PIM",0.598368230741723,1.31114838635682,0.188077080460998,1.31033666086462,0.67666056600563,0.0727514590257811,0.247562910966621,0.129863388946129,0.271768380312148,0.271768380312148,0.271768380312148,"all"
