"","group","targetDur","NSub","Exp","RP","NB","m_RP","stdRepDur"
"1","short",0.4,1,"Exp1",0.685887901621754,7,0.530751499595746,0.0241506988213925
"2","short",0.4,1,"Exp1",0.301937898668257,8,0.530751499595746,0.0241506988213925
"3","short",0.4,1,"Exp1",0.461969807705827,8,0.530751499595746,0.0241506988213925
"4","short",0.4,1,"Exp1",0.405919997263481,8,0.530751499595746,0.0241506988213925
"5","short",0.4,1,"Exp1",0.429882875792828,8,0.530751499595746,0.0241506988213925
"6","short",0.4,1,"Exp1",0.629932947480484,8,0.530751499595746,0.0241506988213925
"7","short",0.4,1,"Exp1",0.413937065177379,9,0.530751499595746,0.0241506988213925
"8","short",0.4,1,"Exp1",0.536878294702547,9,0.530751499595746,0.0241506988213925
"9","short",0.4,1,"Exp1",0.701941630719375,10,0.530751499595746,0.0241506988213925
"10","short",0.4,1,"Exp1",0.398027642058878,10,0.530751499595746,0.0241506988213925
"11","short",0.4,1,"Exp1",0.613912184835499,10,0.530751499595746,0.0241506988213925
"12","short",0.4,1,"Exp1",0.557878235609678,10,0.530751499595746,0.0241506988213925
"13","short",0.4,1,"Exp1",0.421927075720305,10,0.530751499595746,0.0241506988213925
"14","short",0.4,1,"Exp1",0.42989344993839,10,0.530751499595746,0.0241506988213925
"15","short",0.4,1,"Exp1",0.716003999514214,10,0.530751499595746,0.0241506988213925
"16","short",0.4,1,"Exp1",0.645896174337395,11,0.530751499595746,0.0241506988213925
"17","short",0.4,1,"Exp1",0.669715990907207,11,0.530751499595746,0.0241506988213925
"18","short",0.4,1,"Exp1",0.813868333234495,11,0.530751499595746,0.0241506988213925
"19","short",0.4,1,"Exp1",0.565990470828183,11,0.530751499595746,0.0241506988213925
"20","short",0.4,1,"Exp1",0.540416590210953,12,0.530751499595746,0.0241506988213925
"21","short",0.4,1,"Exp1",0.429808856779346,12,0.530751499595746,0.0241506988213925
"22","short",0.4,1,"Exp1",0.3980145798796,12,0.530751499595746,0.0241506988213925
"23","short",0.4,1,"Exp1",0.397834508410597,13,0.530751499595746,0.0241506988213925
"24","short",0.4,1,"Exp1",0.485905628866021,13,0.530751499595746,0.0241506988213925
"25","short",0.4,1,"Exp1",0.629889095880571,13,0.530751499595746,0.0241506988213925
"26","short",0.4,1,"Exp1",0.501907420251882,13,0.530751499595746,0.0241506988213925
"27","short",0.4,1,"Exp1",0.613911562826615,13,0.530751499595746,0.0241506988213925
"28","short",0.4,1,"Exp1",0.46195176945912,14,0.530751499595746,0.0241506988213925
"29","mixed",0.4,1,"Exp1",0.421965018240371,14,0.434292538607484,0.0190108202729413
"30","mixed",0.4,1,"Exp1",0.429897181989872,15,0.434292538607484,0.0190108202729413
"31","mixed",0.4,1,"Exp1",0.605839136154827,15,0.434292538607484,0.0190108202729413
"32","mixed",0.4,1,"Exp1",0.397849747620057,15,0.434292538607484,0.0190108202729413
"33","mixed",0.4,1,"Exp1",0.365864203098681,16,0.434292538607484,0.0190108202729413
"34","mixed",0.4,1,"Exp1",0.413922447976802,16,0.434292538607484,0.0190108202729413
"35","mixed",0.4,1,"Exp1",0.531138089001615,16,0.434292538607484,0.0190108202729413
"36","mixed",0.4,1,"Exp1",0.326021446853701,17,0.434292538607484,0.0190108202729413
"37","mixed",0.4,1,"Exp1",0.397953312040045,17,0.434292538607484,0.0190108202729413
"38","mixed",0.4,1,"Exp1",0.445909547519477,18,0.434292538607484,0.0190108202729413
"39","mixed",0.4,1,"Exp1",0.429879454746697,18,0.434292538607484,0.0190108202729413
"40","mixed",0.4,1,"Exp1",0.454018983698916,19,0.434292538607484,0.0190108202729413
"41","mixed",0.4,1,"Exp1",0.461929999159111,19,0.434292538607484,0.0190108202729413
"42","mixed",0.4,1,"Exp1",0.397906972404598,19,0.434292538607484,0.0190108202729413
"43","short",0.475682846001088,1,"Exp1",0.765881308332609,7,0.520411209837403,0.0179940477156387
"44","short",0.475682846001088,1,"Exp1",0.661936219245035,7,0.520411209837403,0.0179940477156387
"45","short",0.475682846001088,1,"Exp1",0.563379590033946,8,0.520411209837403,0.0179940477156387
"46","short",0.475682846001088,1,"Exp1",0.533850357187475,8,0.520411209837403,0.0179940477156387
"47","short",0.475682846001088,1,"Exp1",0.461852248094146,8,0.520411209837403,0.0179940477156387
"48","short",0.475682846001088,1,"Exp1",0.573953735005489,8,0.520411209837403,0.0179940477156387
"49","short",0.475682846001088,1,"Exp1",0.597822690247995,9,0.520411209837403,0.0179940477156387
"50","short",0.475682846001088,1,"Exp1",0.472932708007647,9,0.520411209837403,0.0179940477156387
