"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_DL_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"1",1,341,1,0.565685424949238,0.526007140657384,"Exp1","mixed","IP",0,0.582113961061731,0.126342169088337,0.583575298172204,0.10150127765211,0.00971049362499181,0.649261852590496,0.10150127765211,0.89849872234789,0.10150127765211,0.10150127765211,"part1"
"2",2,342,1,1.2,1.19783450840987,"Exp1","mixed","IP",0,1.21674764811433,0.208367086156271,1.21670981214538,0.23505065450161,0.0372022352527338,0.154757846804982,0.23505065450161,0.76494934549839,0.23505065450161,0.23505065450161,"part1"
"3",3,343,1,0.8,0.717920096783928,"Exp1","mixed","IP",0,0.78823399876812,0.155395812518546,0.788758047347677,0.165918539781903,0.0180286126195196,0.440631805706484,0.165918539781903,0.834081460218097,0.165918539781903,0.165918539781903,"part1"
"4",4,344,1,1.69705627484772,1.47795791490353,"Exp1","mixed","IP",0,1.53528117404863,0.258289995864859,1.53576206017673,0.375789382256271,0.0607152104520771,-0.0556214075583457,0.375789382256271,0.624210617743729,0.375789382256271,0.375789382256271,"part1"
"5",5,345,1,0.672717132202972,0.773946270903252,"Exp1","mixed","IP",0,0.680002369193697,0.139617559050009,0.679443604004765,0.13097735067096,0.0132821976016923,0.559935459944522,0.13097735067096,0.86902264932904,0.13097735067096,0.13097735067096,"part1"
"6",6,346,1,0.8,0.829871990645188,"Exp1","mixed","IP",0,0.78823399876812,0.155395812518546,0.788207664993543,0.165918539781903,0.0180286126195196,0.442356837068713,0.165918539781903,0.834081460218097,0.165918539781903,0.165918539781903,"part1"
"7",7,347,1,0.672717132202972,0.56597492061519,"Exp1","mixed","IP",0,0.680002369193697,0.139617559050009,0.680385425432346,0.13097735067096,0.0132821976016923,0.563921159861962,0.13097735067096,0.86902264932904,0.13097735067096,0.13097735067096,"part1"
"8",8,349,1,2.01815139660892,1.24593473886489,"Exp1","mixed","IP",0,1.67351750227321,0.28366393513914,1.67355269463696,0.456927507003789,0.0747031915983975,-0.165519052538049,0.456927507003789,0.543072492996211,0.456927507003789,0.456927507003789,"part1"
"9",9,350,1,1.69705627484772,0.941986539735808,"Exp1","mixed","IP",0,1.53528117404863,0.258289995864859,1.53180769438337,0.375789382256271,0.0607152104520771,-0.0691217772143567,0.375789382256271,0.624210617743729,0.375789382256271,0.375789382256271,"part1"
"10",10,351,1,0.565685424949238,0.653942476650627,"Exp1","mixed","IP",0,0.582113961061731,0.126342169088337,0.582184807472913,0.10150127765211,0.00971049362499181,0.655977581837445,0.10150127765211,0.89849872234789,0.10150127765211,0.10150127765211,"part1"
"11",11,352,1,2.4,1.30997300482886,"Exp1","mixed","IP",0,1.78468320599197,0.307939021136208,1.78364785027229,0.540325990691242,0.0894223950095935,-0.235329854005136,0.540325990691242,0.459674009308758,0.540325990691242,0.540325990691242,"part1"
