"","V1","V2","V3","V4","V5"
"1",2,3,1.60005476290647,1.6463732237753,0.685550462003448
"2",2,10,1.954332247557,1.97595937039296,1.58981992852932
"3",2,8,1.60005476290647,1.61129225381592,1.69548984726134
"4",2,10,1.954332247557,1.98756822657015,0.644500076203258
"5",2,6,1.31,1.32900239161972,1.31757021699741
"6",2,5,1.954332247557,1.96405070612673,1.5338509791909
"7",2,5,1.954332247557,1.9641489834903,1.87790846523421
"8",2,7,1.44778166151097,1.4583857634716,1.4218965973123
"9",2,8,1.60005476290647,1.61130749303265,1.18998258377542
"10",2,2,1.44778166151097,1.45837239029061,1.28588976764877
"11",2,2,1.44778166151097,1.45838669648219,1.28592055708577
"12",2,1,1.31,1.32904997527658,1.48601199232507
"13",2,9,1.76834346805288,1.78762607334647,1.39792812069936
"14",2,6,1.31,1.34070703710313,1.26190418581245
"15",2,1,1.31,1.32898279835354,1.20590942312265
"16",2,8,1.60005476290647,1.61128012466361,1.53390260590822
"17",2,8,1.60005476290647,1.63470061175758,1.50189591309754
"18",2,3,1.60005476290647,1.61130873703223,1.32592037048016
"19",2,7,1.44778166151097,1.45838451945747,1.38188869779697
"20",2,4,1.76834346805288,1.78765250871948,1.8699128566077
"21",2,3,1.60005476290647,1.61145770808798,1.4459008394042
"22",2,10,1.954332247557,1.96412845719897,1.91791543173895
"23",2,8,1.60005476290647,1.61134325852618,1.94988262698462
"24",2,10,1.954332247557,1.96425907900266,1.6218770040432
"25",2,6,1.31,1.32903473607439,1.28591153795423
"26",2,5,1.954332247557,1.96412628015969,1.99787120692781
"27",2,5,1.954332247557,1.96408522760612,1.76588908344274
"28",2,7,1.44778166151097,1.4583593280986,1.76587446624762
"29",2,8,1.60005476290647,1.61137249291642,1.64592447572795
"30",2,2,1.44778166151097,1.45836679221247,1.55791151306767
"31",2,2,1.44778166151097,1.45840224670246,1.47796973306686
"32",2,1,1.31,1.32910657805041,1.55786361840728
"33",2,9,1.76834346805288,1.78768454215606,1.69389781643986
"34",2,6,1.31,1.32905464034411,1.46194523836311
"35",2,1,1.31,1.32900705668726,1.25393376853026
"36",2,8,1.60005476290647,1.61127701461373,1.90195842496178
"37",2,8,1.60005476290647,1.61129007677664,2.02996000486019
"38",2,3,1.60005476290647,1.61128167966672,1.48594699244131
"39",2,7,1.44778166151097,1.48198352298641,1.9338674624305
"40",2,4,1.76834346805288,1.78781391993107,1.2538731227105
"41",2,6,1.31,1.32903411406733,1.37389526620973
"42",2,10,1.954332247557,1.98773585786694,1.50187756384548
"43",2,3,1.60005476290647,1.61124187112728,1.66186531027779
"44",2,5,1.954332247557,1.96418101691233,1.78187532462471
"45",2,7,1.44778166151097,1.48185943230055,1.69390092648973
"46",2,9,1.76834346805288,1.78768889622006,1.44586942797469
"47",2,3,1.60005476290647,1.61128074665612,1.65388649588567
"48",2,1,1.31,1.32910564503982,1.40589822696347
"49",2,10,1.954332247557,1.96414805046516,1.70194007569808
"50",2,4,1.76834346805288,1.78770289140812,1.90195562591543
"51",2,2,1.44778166151097,1.45835995012021,1.38991882790287
"52",2,4,1.76834346805288,1.78778064248036,1.42191836760321
"53",2,5,1.954332247557,1.96404884010553,1.58987466528197
"54",2,9,1.76834346805288,1.78763758050627,1.74991092838172
"55",2,7,1.44778166151097,1.458501146044,1.61395230438211
"56",2,2,1.44778166151097,1.4583963376208,1.33388332363393
"57",2,9,1.76834346805288,1.78770506843284,1.45389271597378
"58",2,4,1.76834346805288,1.78769449428364,1.66990290446847
"59",2,1,1.31,1.32903722410265,1.62988722986483
"60",2,6,1.31,1.32908978381602,0.853852596424986
"61",2,5,1.954332247557,1.96413032322016,1.79793682882155
"62",2,3,1.60005476290647,1.61136627283122,1.8779121972766
"63",2,6,1.31,1.32897999932175,1.7019105303043
"64",2,10,1.954332247557,1.96413872033008,2.49382877349854
"65",2,2,1.44778166151097,1.45840971080179,1.79787307293736
"66",2,6,1.31,1.32901016672258,1.39790168534091
"67",2,3,1.60005476290647,1.61128976578766,1.46192813313974
"68",2,3,1.60005476290647,1.61138928715081,1.99787462796667
"69",2,2,1.44778166151097,1.45841437586932,1.49388195523352
"70",2,7,1.44778166151097,1.45843023707857,1.54187488921161
"71",2,6,1.31,1.32892806160089,1.52588304996607
"72",2,8,1.60005476290647,1.6113242872525,1.71787655619846
"73",2,8,1.60005476290647,1.61127639260667,1.54182917159051
"74",2,2,1.44778166151097,1.45847346667142,1.74196632446547
"75",2,9,1.76834346805288,1.78770693446859,2.12582582517643
"76",2,7,1.44778166151097,1.45839851464552,1.78987155524374
"77",2,1,1.31,1.32894547785691,1.52592223649845
"78",2,7,1.44778166151097,1.45841655289405,1.62989002889663
"79",2,9,1.76834346805288,1.7877181306103,1.74989382314379
"80",2,3,1.60005476290647,1.61130282796512,1.52597261918709
"81",2,9,1.76834346805288,1.78767521202099,1.65389084994968
"82",2,10,1.954332247557,1.96412130410317,1.68595072449534
"83",2,4,1.76834346805288,1.78768796320946,1.64587471504638
"84",2,7,1.44778166151097,1.45843552415317,1.85391106523457
"85",2,1,1.31,1.329000214595,1.66993120586267
"86",2,6,1.31,1.32901576480072,1.58186475046386
"87",2,8,1.60005476290647,1.61127483757446,1.8379531254468
"88",2,4,1.76834346805288,1.78774083392636,2.01393053408538
"89",2,4,1.76834346805288,1.78771750861779,2.07791966138757
"90",2,1,1.31,1.32900861170492,1.48591091594426
"91",2,5,1.954332247557,1.96406843337172,1.87792090540461
"92",2,8,1.60005476290647,1.61125617731886,0.356636706594145
"93",2,4,1.76834346805288,1.78770475742931,1.84588186815381
"94",2,5,1.954332247557,1.96412845719897,2.26989730639616
"95",2,10,1.954332247557,1.96412130410317,1.95786766147648
"96",2,1,1.31,1.32904188915563,1.54192838195013
"97",2,5,1.954332247557,1.98761705422658,2.14990906235471
"98",2,9,1.76834346805288,1.78771968562796,1.82988536382618
"99",2,10,1.954332247557,1.96412161510671,1.70194256374089
"100",2,2,1.44778166151097,1.45835093098867,1.81386149114405
"101",2,10,1.954332247557,1.96413685430889,1.83788221646682
"102",2,8,1.60005476290647,1.61127297155326,1.5978911111888
"103",2,10,1.954332247557,1.97584212179936,0.349893201127998
"104",2,6,1.31,1.32902540593932,1.49386920404504
