"","V1","V2","V3","V4","V5"
"1",2,3,1.60005476290647,1.63411476353576,0.501724874036881
"2",2,6,1.31,1.32883481488716,1.1202774839694
"3",2,4,1.76834346805288,1.77530991976528,0.597976727211062
"4",2,6,1.31,1.31694588809114,1.09385737019875
"5",2,9,1.76834346805288,1.77558204519482,1.38967917189257
"6",2,3,1.60005476290647,1.61098627896899,1.62186560798
"7",2,10,1.954332247557,1.9638377958272,1.90983558025982
"8",2,2,1.44778166151097,1.45818738339403,1.21390542599511
"9",2,9,1.76834346805288,1.77566321632366,1.42986634442786
"10",2,7,1.44778166151097,1.45807262421295,1.09395004834369
"11",2,1,1.31,1.31701928420807,1.30992060779317
"12",2,2,1.44778166151097,1.45821257443458,1.37393072899431
"13",2,8,1.60005476290647,1.61096419793466,1.5498963621958
"14",2,8,1.60005476290647,1.61099871898841,1.21389733998149
"15",2,2,1.44778166151097,1.45808008822496,1.44585674570953
"16",2,6,1.31,1.31702115021108,1.61385765631894
"17",2,5,1.954332247557,1.96389190991249,2.02188874641615
"18",2,1,1.31,1.31706500127984,1.46990579172962
"19",2,5,1.954332247557,1.96374262967765,1.75784373096212
"20",2,7,1.44778166151097,1.45813078130595,1.13389712850221
"21",2,3,1.60005476290647,1.61102950803797,1.26188938085579
"22",2,6,1.31,1.31703918823769,1.12591125787549
"23",2,4,1.76834346805288,1.77565668531315,2.06182618555795
"24",2,6,1.31,1.31699347116773,0.677928422615878
"25",2,9,1.76834346805288,1.77554441413668,1.92582691454299
"26",2,3,1.60005476290647,1.61097446095118,1.68584431812997
"27",2,10,1.954332247557,1.9637043766179,2.00574875389793
"28",2,2,1.44778166151097,1.45817121136861,1.47739281756731
"29",2,9,1.76834346805288,1.77567192433708,1.56583949140258
"30",2,7,1.44778166151097,1.45863864510829,1.54986681714945
"31",2,1,1.31,1.31746245990871,1.22981558914944
"32",2,2,1.44778166151097,1.46504556623586,1.15792440448786
"33",2,8,1.60005476290647,1.6109912549764,1.35785666858101
"34",2,8,1.60005476290647,1.6109788149588,1.56583918040087
"35",2,2,1.44778166151097,1.45811025527291,1.42985825841606
"36",2,6,1.31,1.31692505105821,1.28592536485667
"37",2,5,1.954332247557,1.9637731077255,2.15787277840718
"38",2,1,1.31,1.31702768122159,1.30987644572451
"39",2,5,1.954332247557,1.963770308721,2.157835769347
"40",2,7,1.44778166151097,1.45812642729652,1.26991630354678
"41",2,9,1.76834346805288,1.77529094873535,1.38188954257748
"42",2,3,1.60005476290647,1.61098534596749,1.33393295575661
"43",2,1,1.31,1.31701337519917,1.28073476665122
"44",2,10,1.954332247557,1.96374418468076,1.77384719426118
"45",2,6,1.31,1.31700217918115,1.31785796234362
"46",2,8,1.60005476290647,1.61102142202435,1.53383847380792
"47",2,5,1.954332247557,1.9637734187254,2.10184790583116
"48",2,7,1.44778166151097,1.4581087002698,1.3018846660907
"49",2,7,1.44778166151097,1.45812860430124,1.76590579670665
"50",2,1,1.31,1.31702332721397,1.43779996697231
"51",2,4,1.76834346805288,1.77561003523988,1.7498000142441
"52",2,8,1.60005476290647,1.61096855194046,1.35785418057822
"53",2,3,1.60005476290647,1.61105749808121,1.38984991116376
"54",2,4,1.76834346805288,1.77559977222336,1.95782140112533
"55",2,9,1.76834346805288,1.77565792931455,1.60587147469232
"56",2,5,1.954332247557,1.96372707965202,1.80583203983042
"57",2,4,1.76834346805288,1.77560599223398,0.173945594817269
"58",2,2,1.44778166151097,1.45810745626659,1.50188161828555
"59",2,10,1.954332247557,1.96382380080468,1.75787265400686
"60",2,10,1.954332247557,1.96373951967325,2.48584581093201
"61",2,7,1.44778166151097,1.4582834825469,1.41385603911658
"62",2,4,1.76834346805288,1.77559946122346,1.78191174801213
"63",2,9,1.76834346805288,1.7756243412623,1.43782733501394
"64",2,8,1.60005476290647,1.61101458001394,2.09377993107591
"65",2,9,1.76834346805288,1.77562714026681,2.12580334070481
"66",2,5,1.954332247557,1.96375382569386,2.08577882142708
"67",2,1,1.31,1.3169869401554,1.54184082745996
"68",2,10,1.954332247557,1.96376968671939,2.00582930302517
"69",2,9,1.76834346805288,1.77555001214387,2.26982580240292
"70",2,5,1.954332247557,1.96380358577335,1.93383953120974
"71",2,7,1.44778166151097,1.45807946622335,2.14987695576565
"72",2,3,1.60005476290647,1.61097850395709,1.45386407536898
"73",2,10,1.954332247557,1.96385925486175,2.30974582551789
"74",2,4,1.76834346805288,1.77558422219772,1.82988761686101
"75",2,8,1.60005476290647,1.6111607502462,1.8938069259184
"76",2,6,1.31,1.31705287226032,0.957951710330235
"77",2,4,1.76834346805288,1.77561470024739,2.0378157035957
"78",2,10,1.954332247557,1.96380203077024,0.749933122455332
"79",2,9,1.76834346805288,1.77561501124728,1.92589377964759
"80",2,1,1.31,1.31701306419745,0.869917734149567
"81",2,1,1.31,1.31699440416924,1.68588381519112
"82",2,2,1.44778166151097,1.45809004023977,1.29383472936206
"83",2,6,1.31,1.3169816531481,1.11793658326678
"84",2,8,1.60005476290647,1.61100804900343,1.1578789984178
"85",2,2,1.44778166151097,1.45815441734158,0.62194522410573
"86",2,7,1.44778166151097,1.45808102122646,1.69381432773116
"87",2,10,1.954332247557,1.96378710274621,1.78185079191644
"88",2,3,1.60005476290647,1.61098938897521,1.57396686725224
"89",2,8,1.60005476290647,1.61100556099882,1.62186591897989
"90",2,2,1.44778166151097,1.45816281435509,1.40586861348675
"91",2,4,1.76834346805288,1.77563553728032,1.96577181769499
"92",2,6,1.31,1.31725315657786,1.59785543701946
"93",2,2,1.44778166151097,1.45813451331014,1.52394212716172
"94",2,5,1.954332247557,1.96374480668055,0.661952949358238
"95",2,5,1.954332247557,1.96382193480349,2.18982901192976
"96",2,6,1.31,1.3169769881406,1.43787958309804
"97",2,1,1.31,1.31704105424069,1.50982799184749
"98",2,3,1.60005476290647,1.61100960400472,2.17382865863328
"99",2,3,1.60005476290647,1.61100338399592,1.50983918786551
"100",2,7,1.44778166151097,1.45818334038631,1.45382426730612
"101",2,9,1.76834346805288,1.77557893519042,1.47787797833553
"102",2,7,1.44778166151097,1.45809159524288,0.229979797408305
"103",2,4,1.76834346805288,1.78004241424787,1.37391548996857
"104",2,4,1.76834346805288,1.77566819233107,1.91784073291637
"105",2,10,1.954332247557,1.96376595471338,2.13379294333572
"106",2,9,1.76834346805288,1.77559355221274,1.49390041266633
"107",2,1,1.31,1.31701617420367,1.11787687117248
"108",2,6,1.31,1.31701617420185,0.813896904579451
"109",2,2,1.44778166151097,1.45815006333578,0.309978453886288
"110",2,4,1.76834346805288,1.77560381522926,1.52589334424738
"111",2,6,1.31,1.31699627017042,1.65386009456233
"112",2,10,1.954332247557,1.96381758079588,1.59784797300745
"113",2,7,1.44778166151097,1.45819609140744,1.42188109580457
"114",2,8,1.60005476290647,1.61101706801855,0.917928124054015
"115",2,7,1.44778166151097,1.45811927428622,1.32586155999707
"116",2,2,1.44778166151097,1.4581662353612,1.2458784535429
"117",2,6,1.31,1.31711196235483,1.46192427511232
"118",2,10,1.954332247557,1.96373672066875,1.77387114130033
"119",2,9,1.76834346805288,1.77556307416489,1.99782228436743
"120",2,3,1.60005476290647,1.61099156597811,1.75796595415341
"121",2,1,1.31,1.31704385324701,1.62982908657068
"122",2,5,1.954332247557,1.96386205386625,1.94985792253465
"123",2,1,1.31,1.31698973915991,1.54181688042263
