"","V1","V2","V3","V4","V5"
"1",2,9,1.76834346805288,1.81128696674386,2.14153869359507
"2",2,7,1.44778166151097,1.47037466683832,0.765800447223228
"3",2,6,1.31,1.32882076513306,1.51803392434522
"4",2,1,1.31,1.32897066918849,1.3257337679097
"5",2,8,1.60005476290647,1.61124373715211,0.321192483648701
"6",2,1,1.31,1.3290316260227,1.39790479537442
"7",2,7,1.44778166151097,1.45836399316977,0.669900105431225
"8",2,9,1.76834346805288,1.78772683873467,1.02182164527585
"9",2,10,1.954332247557,1.96415831361082,1.35799019714614
"10",2,8,1.60005476290647,1.61127888063493,1.70983491893821
"11",2,4,1.76834346805288,1.78769169525185,1.05389613701482
"12",2,9,1.76834346805288,1.79952571849753,1.3259216144852
"13",2,2,1.44778166151097,1.4583680362266,1.4779803072106
"14",2,10,1.954332247557,1.96416266766937,1.81396443355152
"15",2,9,1.76834346805288,1.78764193457027,1.59788831214973
"16",2,5,1.954332247557,1.96412721318302,2.30984984714087
"17",2,5,1.954332247557,1.96411135196649,1.98987870833662
"18",2,3,1.60005476290647,1.61128914377332,1.58191699918098
"19",2,7,1.44778166151097,1.45836772522125,1.25386472558603
"20",2,3,1.60005476290647,1.61126208640235,1.73401518944775
"21",2,9,1.76834346805288,1.78772155166371,1.58995863643395
"22",2,7,1.44778166151097,1.45833662479527,1.41389601261471
"23",2,6,1.31,1.32900270262689,0.0539909933158924
"24",2,1,1.31,1.32894330081399,1.66186873132028
"25",2,8,1.60005476290647,1.61122632091246,1.39792158960336
"26",2,1,1.31,1.32902975999787,1.42988567483189
"27",2,7,1.44778166151097,1.45841530887265,1.12602642292222
"28",2,9,1.76834346805288,1.78770537944183,1.57400256267465
"29",2,10,1.954332247557,1.9641262801706,0.00263423721480649
"30",2,8,1.60005476290647,1.6112928758248,1.21390969680215
"31",2,4,1.76834346805288,1.78763478147448,1.46998594260731
"32",2,9,1.76834346805288,1.78769076223944,1.65391448626724
"33",2,2,1.44778166151097,1.45838016539165,2.03785360407164
"34",2,10,1.954332247557,1.96413374427357,1.74202914731904
"35",2,9,1.76834346805288,1.78771719760334,1.21383007971053
"36",2,5,1.954332247557,1.96408429459552,2.18193317140322
"37",2,5,1.954332247557,1.96412721318302,1.68777569750455
"38",2,3,1.60005476290647,1.61130842603961,1.44588217914497
"39",2,7,1.44778166151097,1.45837923237923,1.16585953803406
"40",2,3,1.60005476290647,1.61128572272719,2.04594811204879
"41",2,8,1.60005476290647,1.61129878490647,1.34986365573059
"42",2,4,1.76834346805288,1.78769262826609,1.60589853796773
"43",2,6,1.31,1.32904966427122,1.65388058680219
"44",2,5,1.954332247557,1.96414151938006,1.29394322306143
"45",2,8,1.60005476290647,1.61129474184963,1.67780116875292
"46",2,7,1.44778166151097,1.45837176827627,1.19783544142228
"47",2,2,1.44778166151097,1.45842526100932,1.37399540957631
"48",2,2,1.44778166151097,1.45845325139453,1.38194312354062
"49",2,5,1.954332247557,1.96413218925227,1.98995148333415
"50",2,10,1.954332247557,1.96414431841913,2.12585070551177
"51",2,3,1.60005476290647,1.61127608159404,1.41396412254835
"52",2,3,1.60005476290647,1.61130033992777,1.78188123369182
"53",2,1,1.31,1.32902727196415,1.26192129104129
"54",2,4,1.76834346805288,1.78773025978262,1.48593206422811
"55",2,6,1.31,1.32899399450798,1.7419734775558
"56",2,10,1.954332247557,1.96411477301444,2.18194778860379
"57",2,2,1.44778166151097,1.45836554819107,1.92586718873827
"58",2,4,1.76834346805288,1.78774829802933,1.40609353764194
"59",2,1,1.31,1.32899088446538,1.56597336559389
"60",2,6,1.31,1.32904779824639,1.66985407679749
"61",2,10,1.954332247557,1.96413343327004,1.64599196364907
"62",2,8,1.60005476290647,1.61128789975737,1.45390608915113
"63",2,8,1.60005476290647,1.61125555531544,1.63777336497151
"64",2,5,1.954332247557,1.96411415100556,1.79799218757398
"65",2,8,1.60005476290647,1.61129474184963,1.90996896177421
"66",2,6,1.31,1.32901576480617,2.49389501740006
"67",2,1,1.31,1.32904717623751,1.38995645940304
"68",2,9,1.76834346805288,1.78769480529627,1.57386945284998
"69",2,5,1.954332247557,1.96415395955228,1.74184689882168
"70",2,5,1.954332247557,1.96415924662324,2.11794777616342
"71",2,1,1.31,1.32902198489137,1.0779666230228
"72",2,4,1.76834346805288,1.78772590572225,1.4780201157555
"73",2,2,1.44778166151097,1.45833164872784,2.00584846628226
"74",2,4,1.76834346805288,1.7877128435448,1.29386080693257
"75",2,10,1.954332247557,1.96421989245391,1.39800773778552
"76",2,2,1.44778166151097,1.45848248579568,1.50197179813404
"77",2,3,1.60005476290647,1.61132646428632,1.52596888713379
