"","curDur","W_P_G","mu_r","sig_r","predY","W_DL_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","NSub","exp","model","group"
"1",0.4,0,0.52399511205091,0.133598572354617,0.523739223036855,0.707078038710361,0,0.599124229002415,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"2",0.41,0,0.527785034671872,0.13233386573808,0.52751139874616,0.707078038710361,0,0.605408830648968,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"3",0.42,0,0.531510991225929,0.131123407805243,0.531597699199366,0.707078038710361,0,0.612345666454093,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"4",0.43,0,0.535175552758892,0.129963983308943,0.534526296111408,0.707078038710361,0,0.62759024384255,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"5",0.44,0,0.538781129938113,0.128852633535898,0.538809893936318,0.707078038710361,0,0.632983175483224,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"6",0.45,0,0.542329986452218,0.127786630566935,0.542361974564972,0.707078038710361,0,0.64704252000756,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"7",0.46,0,0.545824251020154,0.12676345462893,0.546303173705784,0.707078038710361,0,0.646379918381764,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"8",0.47,0,0.549265928180806,0.125780774108684,0.549508408482389,0.707078038710361,0,0.655273889743621,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"9",0.48,0,0.552656908010181,0.124836427866481,0.55344085591004,0.707078038710361,0,0.654050116086354,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"10",0.49,0,0.555998974892735,0.123928409542799,0.555053007794756,0.707078038710361,0,0.671300704516013,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"11",0.5,0,0.559293815456248,0.123054853597859,0.559688341116186,0.707078038710361,0,0.681006791610706,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"12",0.51,0,0.562543025765047,0.122214022862147,0.563477243607314,0.707078038710361,0,0.687773431688395,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"13",0.52,0,0.565748117854009,0.121404297408228,0.565867143533019,0.707078038710361,0,0.692530008799687,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"14",0.53,0,0.568910525675207,0.120624164581094,0.569109150646245,0.707078038710361,0,0.70270061284937,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"15",0.54,0,0.572031610520027,0.119872210047045,0.572158866773118,0.707078038710361,0,0.706984257939792,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"16",0.55,0,0.575112665971837,0.119147109740228,0.575449831799263,0.707078038710361,0,0.709555116529583,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"17",0.56,0,0.578154922437598,0.11844762260226,0.578661535186246,0.707078038710361,0,0.713165385363307,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"18",0.57,0,0.581159551301062,0.117772584024146,0.581361914836395,0.707078038710361,0,0.728275479938962,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"19",0.58,0,0.584127668735218,0.117120899911519,0.584754510746971,0.707078038710361,0,0.729144925090016,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
"20",0.59,0,0.587060339207293,0.116491541304278,0.587508829363155,0.707078038710361,0,0.737623536564709,0.707078038710361,0.292921961289639,0.707078038710361,0,1,"Exp1","IP","mixed"
