"","Nsub","Exp","model","mu_p_s_log","mu_p_l_log","sig_pr2_s_log","sig_pr2_l_log","sig2_mn","sig2_t","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic"
"1",1,"Exp1","Baseline",-0.541239412922929,0.541765245304763,0.0130021256436959,0.035120863669216,0.00620539907955345,0.0307395305499114,107.041991759637,128.055308685629,-53.5209958798185,8.38694559179194,0.91825613186535,-10.0199984077435,69.5243136019387,8.09473314056148,0.0899181270967594,5.00999920387175
"2",2,"Exp1","Baseline",-0.621480288244626,0.410603300427282,0.0122011844304705,0.0347809046082819,0.00290625030776389,0.0235857300566901,48.5441720371931,130.534654045373,-24.2720860185965,10.2236566729954,0.939787166360992,-72.7899694872835,69.8675832831342,9.90741693867986,0.103629926150582,36.3949847436417
"3",3,"Exp1","Baseline",-0.559724491223532,0.319534591980979,0.0391570620239755,0.0389752284466359,0.00197553090327945,0.0736222466077507,102.868648337161,127.5365768883,-51.4343241685803,9.76272396099074,0.937586275008264,-14.0836503489104,69.0604275452642,9.38917045049078,0.0988642797142808,7.04182517445519
"4",4,"Exp1","Baseline",-0.643284169437373,0.0646097988447273,0.00362769593381251,0.180042545727202,0.00615189596955106,0.0148793093239451,80.2354727792734,130.722768368022,-40.1177363896367,8.90991409297084,1.00904117680315,-40.1286342440375,70.540714856367,8.40992202461269,0.111644428129354,20.0643171220187
"5",5,"Exp1","Baseline",-0.510055609101847,0.158876251249126,0.0316593674295691,0.112427300736814,0.00423102968634298,0.0441034965432291,132.128359324899,118.607627691791,-66.0641796624493,10.5222679407287,0.781891873412558,24.5266201452608,64.8067581019723,10.2256564507297,0.109529933388505,-12.2633100726304
"6",6,"Exp1","Baseline",-0.546157847856863,0.416875485376574,0.00512134382586283,0.0490727248842846,0.00276333531435443,0.038997686750325,65.6586456331361,131.931111839701,-32.829322816568,13.1708341651644,1.24420387031515,-57.5709235845413,70.3163272308624,13.3896413958441,0.103614883722042,28.7854617922706
"7",7,"Exp1","Baseline",-0.567890110246259,0.611597599325069,0.023690584063508,0.0698278246290037,0.00260369387369972,0.0126156966490627,31.9674552931893,127.080153181852,-15.9837276465946,9.49497956633247,0.909270404554986,-84.303082286444,68.9448843920353,9.29653357291416,0.109337483564459,42.151541143222
"8",8,"Exp1","Baseline",-0.477383929722062,0.433091409918425,0.017785806322739,0.0733350687780932,0.00108521881644708,0.0513224026490841,96.7368203650942,128.12355598895,-48.3684101825471,14.7985926894973,1.17536977188036,-23.1330552268269,68.1886181929894,14.7656406024354,0.106559282355192,11.5665276134135
"9",9,"Exp1","Baseline",-0.410646729162378,0.474076454455107,0.0286092060804075,0.0187097407963642,0.0029437456235717,0.0199921712160241,39.1796981821143,128.539088074237,-19.5898490910571,6.99202319805353,0.975691632058281,-78.6104896261928,69.6439941700839,6.51289109387423,0.112875495721627,39.3052448130964
"10",10,"Exp1","Baseline",-0.447774242176494,0.850289439647669,0.00798197616784524,0.0207387773671307,0.01015738557422,0.00799078480643787,87.5620580409119,131.305995113039,-43.7810290204559,3.59596276089156,0.952266254174249,-34.2671282803072,70.3914019524297,3.0799079327777,0.0908084701953753,17.1335641401536
