"","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L"
"1",1,0.565685424949238,0.526007140657384,"Exp1","mixed","IP",0,0.579867723887635,0.118060907559604,0.579707704692741,0.707078038710361,0,0.719118305789954,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"2",1,1.2,1.19783450840987,"Exp1","mixed","IP",0,1.43127071932898,0.19645190143423,1.42982080134017,0.467217143005302,0,0.217152706823112,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"3",1,0.8,0.717920096783928,"Exp1","mixed","IP",0,0.641929854848327,0.107103054308324,0.642148811285392,0.707078038710361,0,0.814842879409974,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"4",1,1.69705627484772,1.47795791490353,"Exp1","mixed","IP",0,1.7212949118355,0.22794318710226,1.72227466332942,0.467217143005302,0,0.0612920083764019,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"5",1,0.672717132202972,0.773946270903252,"Exp1","mixed","IP",0,0.610082586099282,0.112026779560549,0.609890020148932,0.707078038710361,0,0.77347214279827,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"6",1,0.8,0.829871990645188,"Exp1","mixed","IP",0,0.641929854848327,0.107103054308324,0.642447094967477,0.707078038710361,0,0.82217207693976,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"7",1,0.672717132202972,0.56597492061519,"Exp1","mixed","IP",0,0.610082586099282,0.112026779560549,0.610592729322906,0.707078038710361,0,0.772927535966829,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"8",1,2.01815139660892,1.24593473886489,"Exp1","mixed","IP",0,1.88783295682527,0.247305706980058,1.88756608271379,0.467217143005302,0,-0.0181105511682655,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"9",1,1.69705627484772,0.941986539735808,"Exp1","mixed","IP",0,1.7212949118355,0.22794318710226,1.71947362002545,0.467217143005302,0,0.0630687365424673,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"10",1,0.565685424949238,0.653942476650627,"Exp1","mixed","IP",0,0.579867723887635,0.118060907559604,0.580173884944123,0.707078038710361,0,0.723091249256409,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"11",1,2.4,1.30997300482886,"Exp1","mixed","IP",0,2.07061586061509,0.269165462636821,2.07083665083697,0.467217143005302,0,-0.102055598355528,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"12",1,1.2,1.34996815316299,"Exp1","mixed","IP",0,1.43127071932898,0.19645190143423,1.43160768804573,0.467217143005302,0,0.207771232569982,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"13",1,0.475682846001088,0.589955215385999,"Exp1","mixed","IP",0,0.551199072013304,0.125239546310594,0.55089815697022,0.707078038710361,0,0.660422232558302,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"14",1,0.4,0.421965018240371,"Exp1","mixed","IP",0,0.52399511205091,0.133598572354617,0.524371960447031,0.707078038710361,0,0.599388910487265,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"15",1,1.2,1.10980506252781,"Exp1","mixed","IP",0,1.43127071932898,0.19645190143423,1.42985471015993,0.467217143005302,0,0.209445228712221,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"16",1,0.475682846001088,0.677874254755807,"Exp1","mixed","IP",0,0.551199072013304,0.125239546310594,0.550560066144542,0.707078038710361,0,0.660083661939356,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"17",1,0.8,0.845924786728574,"Exp1","mixed","IP",0,0.641929854848327,0.107103054308324,0.642317114785579,0.707078038710361,0,0.810598209305572,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"18",1,1.42704853800327,1.02194853501533,"Exp1","mixed","IP",0,1.56954833546967,0.211004007225255,1.56954143780263,0.467217143005302,0,0.141155979560026,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"19",1,2.01815139660892,1.8299500527155,"Exp1","mixed","IP",0,1.88783295682527,0.247305706980058,1.88766115921111,0.467217143005302,0,-0.0235821614220134,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"20",1,2.4,2.0058994709816,"Exp1","mixed","IP",0,2.07061586061509,0.269165462636821,2.06988428918607,0.467217143005302,0,-0.107737260319688,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"21",1,1.42704853800327,1.67002015307662,"Exp1","mixed","IP",0,1.56954833546967,0.211004007225255,1.5707078447949,0.467217143005302,0,0.139933739737023,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"22",1,0.8,0.790006220084251,"Exp1","mixed","IP",0,0.641929854848327,0.107103054308324,0.641878443501769,0.707078038710361,0,0.818824139368682,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
"23",1,1.2,0.909894631755378,"Exp1","mixed","IP",0,1.43127071932898,0.19645190143423,1.4320689780832,0.467217143005302,0,0.205225582015562,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"24",1,2.01815139660892,1.62989500496042,"Exp1","mixed","IP",0,1.88783295682527,0.247305706980058,1.88731819772879,0.467217143005302,0,-0.0217751848581548,0.467217143005302,0.532782856994698,0.467217143005302,0.467217143005302
"25",1,0.475682846001088,0.501850506469054,"Exp1","mixed","IP",0,0.551199072013304,0.125239546310594,0.551078301086711,0.707078038710361,0,0.661668864270631,0.707078038710361,0.292921961289639,0.707078038710361,0.707078038710361
