"","Nsub","Exp","model","mu_p_s","mu_p_l","sig_pr2_s","sig_pr2_l","sig2_mn","sig_t","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","ver"
"1",1,"Exp1","Baseline",0.599395625524921,1.82630942576093,0.00424492799968615,0.107659967320327,0.00625064414333936,0.184002446684819,83.5966714889671,128.987779638466,-41.7983357444835,10.8098730097686,0.972346476583815,-35.4849263069116,69.4469807405265,10.8113692263343,0.110215554749044,17.7424631534558,"linear"
"2",2,"Exp1","Baseline",0.555429254730772,1.60475466532293,0.00324666312465025,0.0971425441096525,0.00342739420802189,0.142837780211821,23.6420756928854,129.165794144798,-11.8210378464427,12.0368281775241,0.974099357255722,-95.8653723525578,69.4120701220767,11.725963256885,0.102005265601506,47.9326861762789,"linear"
"3",3,"Exp1","Baseline",0.604629134351241,1.42681411616299,0.0107571246691453,0.0939719215384282,0.00350552605724601,0.239738772616764,97.6652309452088,129.774285707777,-48.8326154726044,10.7456393875545,0.958843627635462,-23.8078222252563,69.037759122544,10.7155779031407,0.101564340265025,11.9039111126282,"linear"
"4",4,"Exp1","Baseline",0.535212677629271,1.19643251220132,0.00102143471239788,0.558016128429921,0.00623739552708469,0.116982986330698,49.8449155654697,131.945851352055,-24.9224577827348,11.1885347313231,1.0457813535125,-73.1465860685138,70.4501005350628,11.2235187396233,0.0929151617307536,36.5732930342569,"linear"
"5",5,"Exp1","Baseline",0.626276643842779,1.21532488210665,0.00717791248064943,0.31905858191781,0.00595690564830354,0.183923325639199,113.151851602169,119.042177760336,-56.5759258010844,12.0933668128973,0.947573982919475,3.8603463700313,64.3964251442678,12.0374460201156,0.105971983284014,-1.93017318501565,"linear"
"6",6,"Exp1","Baseline",0.585951420271105,1.62581885576151,0.00143529156334059,0.146167456822986,0.0029699195326614,0.190829812941978,35.9017646109557,130.409851928963,-17.9508823054779,16.3651194791052,1.06422996649428,-85.2425930545008,69.8376730962347,16.0469813531491,0.104772207027428,42.6212965272504,"linear"
"7",7,"Exp1","Baseline",0.598087365007616,2.00096118359585,0.00861753319667376,0.201776793032679,0.00275550234037659,0.114614553225795,12.0899085451228,126.431183482258,-6.04495427256141,11.2305225192822,0.982398260625066,-103.925553815881,68.423452301756,11.0821279361034,0.10246002780815,51.9627769079406,"linear"
"8",8,"Exp1","Baseline",0.639076307807466,1.66597741771755,0.00548693045411758,0.213327519500016,0.00160934309924548,0.227246914818013,84.4199271850762,127.559758084563,-42.2099635925381,15.9883459276527,1.0682946944721,-34.6184770480114,68.0405559680194,16.1046150299661,0.107745159726383,17.3092385240057,"linear"
"9",9,"Exp1","Baseline",0.687857544601242,1.68770852815986,0.00764217086161763,0.0506825676587156,0.00387949137067401,0.136879300417535,18.3395996582216,127.751472522438,-9.1697998291108,8.90603165416071,1.2673107768608,-98.539272573988,69.3120364063334,8.57076043647782,0.111636676771913,49.269636286994,"linear"
"10",10,"Exp1","Baseline",0.657498448066157,2.36867156229079,0.00259989306365557,0.0599275488989961,0.0101386748460275,0.0957487720242396,52.4615007235003,130.009196180655,-26.2307503617502,5.69805688088653,0.998699237211715,-67.4726240727531,70.0421337825283,5.68809150729466,0.11124988552921,33.7363120363766,"linear"
"11",11,"Exp1","Baseline",0.570812673040265,1.94553604725791,0.00568885654165772,0.234775217106709,0.000916240632706017,0.160884151528873,25.2280625959962,128.169574741634,-12.6140312979981,15.7855702478136,0.916305253200889,-93.1706526161132,68.9702171355789,15.5313253964106,0.0985429854395999,46.5853263080566,"linear"
"12",12,"Exp1","Baseline",0.709298845779413,2.25857020592305,0.0794997297681404,0.272508675015762,0.00107832266219909,0.150035284117552,68.258582715057,132.21988649568,-34.1292913575285,12.6587294151235,1.12299025168841,-56.1881675025995,69.9965113868522,12.4857611317125,0.111812278705143,28.0940837512997,"linear"
"13",13,"Exp1","Baseline",0.801420698046253,1.52674720307135,0.0337445354598653,0.601156860891058,0.00290873361042459,0.136555323683134,64.3787855803106,128.570487728554,-32.1893927901553,11.5357943840216,0.909392232553125,-54.6390136717145,69.0615881025412,11.583431275645,0.0899570616365082,27.3195068358573,"linear"
"14",14,"Exp1","Baseline",0.783062849009371,1.88192669879592,0.013244774699077,0.157340574802327,0.00486527410958152,0.176808087192867,95.6164352444459,128.34270056417,-47.808217622223,10.8437237452633,1.05156873105538,-22.2298884133213,69.4195387352864,10.6929686876664,0.10702604561489,11.1149442066607,"linear"
"15",15,"Exp1","Baseline",0.692346443634858,1.76287267175595,0.00821672253343667,0.334613814797358,0.00384866187157542,0.194886327621368,108.000586404423,130.374580830235,-54.0002932022113,13.9647763436055,1.04155135381487,-13.4960345757403,69.6262703401538,13.6391715953889,0.104330163452253,6.74801728787015,"linear"
"16",16,"Exp1","Baseline",0.678958210633674,1.54267744932478,0.00223086734219777,0.40955837784138,0.00434419651370369,0.11968085367761,36.076070520969,129.469258613812,-18.0380352604845,12.0831375890341,1.02668289314382,-84.9405831000843,68.9609318032857,11.9399241072664,0.102830305146056,42.4702915500421,"linear"
"17",1,"Exp2","Baseline",0.653306412887078,1.17211918198781,0.00791923526896186,0.373518575499498,0.00433525071421969,0.124480133581567,52.2955271819657,133.836442968434,-26.1477635909828,10.4267211860678,1.12057156853422,-73.9390790650316,70.7191398449358,10.1016172346809,0.112611822669468,36.9695395325158,"linear"
"18",2,"Exp2","Baseline",0.663287298774039,1.49038630409345,0.00518485409222522,0.0872310289562205,0.00217796063533137,0.181340038275028,32.9739507280145,130.493973712485,-16.4869753640073,12.2641468007262,0.96485755178646,-87.2119380447615,70.4010293260974,12.1444607577099,0.0910206248781474,43.6059690223807,"linear"
"19",3,"Exp2","Baseline",0.603192805056231,1.39163334514686,0.00852196939534793,0.114478840075475,0.00119639496448441,0.203912213136421,51.7025258179004,124.332785116854,-25.8512629089502,12.3716472089278,0.847984797745508,-62.2119371233538,67.3755536462272,12.4016311293839,0.0976483178956783,31.1059685616769,"linear"
"20",4,"Exp2","Baseline",0.583253818114996,1.68080505579485,0.00613891078291672,0.0711277282053499,0.0042819527071868,0.147054981997561,32.3666952960606,126.325191192976,-16.1833476480303,9.07679432542027,1.06438826834455,-84.2756270360096,68.0040300269412,8.91875377391771,0.0948155546725191,42.1378135180048,"linear"
"21",5,"Exp2","Baseline",0.579983473445373,1.35447487763568,0.00354438223899982,0.395186850766416,0.00128497043193872,0.141593610017817,2.89010611413671,128.960022895283,-1.44505305706836,15.153079697023,0.967947620466882,-115.336663795707,69.8466379403615,15.0661050733204,0.101654617990674,57.6683318978535,"linear"
"22",6,"Exp2","Baseline",0.659110656412,1.50593603316948,0.00324375366341399,0.0958376573419121,0.00750891508348801,0.301666407698357,99.9699608556711,118.217189122107,-49.9849804278356,11.1414833322823,0.8879865807678,-8.4778386341038,63.9932893772199,10.8271962276447,0.0895292876732428,4.2389193170519,"linear"
"23",7,"Exp2","Baseline",0.669015391193111,1.66093342369376,0.00569478799964115,0.0534784418537146,0.00228548308153242,0.172374771301445,18.8842236040703,131.903472090199,-9.44211180203514,10.558535715106,1.16800836311248,-104.029561171931,70.4465797021978,10.2635418752165,0.101006312534158,52.0147805859657,"linear"
"24",8,"Exp2","Baseline",0.688832354496978,1.60299815128761,0.00812598157796789,0.0966339576127391,0.00307938240275817,0.359902120400705,103.036630089516,128.46317857077,-51.5183150447579,11.9074835987537,1.02401355711138,-17.0943700717087,68.3976784901576,11.8929732131537,0.0972921945428022,8.54718503585433,"linear"
"25",9,"Exp2","Baseline",0.72565525102341,1.29597610142885,0.00712063173490169,0.240523268617186,0.00941425457755002,0.0952773431217093,61.3301662826329,132.045211247637,-30.6650831413164,6.46502030671702,1.13140773599746,-62.7416058264919,70.0093251930745,5.96790488852303,0.110087787780826,31.3708029132459,"linear"
"26",10,"Exp2","Baseline",0.664202552830582,1.49242642946933,0.00426899222711744,0.450644562493171,0.00839022711929163,0.142372767421965,86.3957090066976,124.880185596171,-43.1978545033488,9.14545125184799,0.946472902526398,-29.087807394751,67.1384273954467,9.19711423979577,0.0934007901165201,14.5439036973755,"linear"
"27",11,"Exp2","Baseline",0.565993540962053,1.3710082188289,0.00367263132854592,0.250632040290182,0.000735477484709389,0.191729169112856,26.9633442581399,128.239001394511,-13.4816721290699,17.4208304625704,0.917908528741134,-89.6398345737715,69.9374119785553,17.3203818365246,0.0898012887479006,44.8199172868857,"linear"
"28",12,"Exp2","Baseline",0.623794219547814,1.31150905834084,0.00400404108872808,0.16910158189814,0.00242653814049091,0.155142011357882,28.5015345243816,130.444489191026,-14.2507672621908,13.1909382479871,0.876516103707714,-91.4868474774784,70.4502981900963,13.1272544008852,0.0969944971767045,45.7434237387392,"linear"
"29",13,"Exp2","Baseline",0.562860649439686,1.47398668439521,0.0024710385952054,0.107980683542681,0.00208018169860038,0.449473478971013,78.1121137742827,119.874075912946,-39.0560568871414,16.3818583813099,1.09518938206381,-35.5264296353862,63.0548042081117,16.3205912083974,0.0969751036464576,17.7632148176931,"linear"
"30",14,"Exp2","Baseline",0.664809343470919,1.50751843205883,0.00794503487894232,0.0895077164130174,0.00584445904071421,0.29717577822631,119.65441137969,133.448799020001,-59.8272056898449,10.2720032399044,1.1246664361768,-5.81079878184033,70.7161939392359,10.2291951149093,0.0960618952793289,2.90539939092016,"linear"
"31",15,"Exp2","Baseline",0.650121592794348,1.45057306199364,0.0043879993600213,0.0408974070792898,0.00245812145660184,0.54007761959774,36.290858765275,131.545176196292,-18.1454293826375,11.1765853876774,1.24431296944723,-85.7193064015456,70.5400936128821,10.7391399381314,0.0982360255342599,42.8596532007728,"linear"
"32",16,"Exp2","Baseline",0.721323085526271,1.13966073415611,0.0142697048656487,0.224799262208184,0.00444639368834171,0.197709668829947,115.597445394483,128.310349079852,-57.7987226972413,11.3766553092255,1.04279300334272,-2.22801954939727,69.3976166079119,11.0541328542995,0.0884224492534094,1.11400977469864,"linear"
"33",1,"Exp1","Baseline",0.582075633464723,1.72009923312281,5.72828036895689e-05,0.00365178543564118,0.00620539907955345,0.0307395305499114,107.041991759637,128.055308685629,-53.5209958798185,8.38694559179194,0.91825613186535,-10.0199984077435,69.5243136019387,8.09473314056148,0.0899181270967594,5.00999920387175,"log"
"34",2,"Exp1","Baseline",0.537188697720546,1.50863935634603,4.296254934648e-05,0.00275496017203543,0.00290625030776389,0.0235857300566901,48.5441720371931,130.534654045373,-24.2720860185965,10.2236566729954,0.939787166360992,-72.7899694872835,69.8675832831342,9.90741693867986,0.103629926150582,36.3949847436417,"log"
"35",3,"Exp1","Baseline",0.571804657686526,1.37753287326201,0.00050170515606032,0.00288476994887834,0.00197553090327945,0.0736222466077507,102.868648337161,127.5365768883,-51.4343241685803,9.76272396099074,0.937586275008264,-14.0836503489104,69.0604275452642,9.38917045049078,0.0988642797142808,7.04182517445519,"log"
"36",4,"Exp1","Baseline",0.525567005162366,1.084172971379,3.63513713647935e-06,0.0387262418152997,0.00615189596955106,0.0148793093239451,80.2354727792734,130.722768368022,-40.1177363896367,8.90991409297084,1.00904117680315,-40.1286342440375,70.540714856367,8.40992202461269,0.111644428129354,20.0643171220187,"log"
"37",5,"Exp1","Baseline",0.600763188431579,1.17962453860776,0.000361933482612482,0.0177002244725017,0.00423102968634298,0.0441034965432291,132.128359324899,118.607627691791,-66.0641796624493,10.5222679407287,0.781891873412558,24.5266201452608,64.8067581019723,10.2256564507297,0.109529933388505,-12.2633100726304,"log"
"38",6,"Exp1","Baseline",0.579178398637849,1.5190415116879,8.79829002941933e-06,0.0055634303649104,0.00276333531435443,0.038997686750325,65.6586456331361,131.931111839701,-32.829322816568,13.1708341651644,1.24420387031515,-57.5709235845413,70.3163272308624,13.3896413958441,0.103614883722042,28.7854617922706,"log"
