"","Exp","model","NSub","mpredRP_err","mpredVar_err","mpredRP_rerr","mpredVar_rerr","mpredcv_rerr","mpredcv_err","version"
"1","Exp1","DIM",1,0.0108334102376755,-0.0191014627658736,0.0512778833299609,0.3830462405019,0.372775607495782,0.00285131168807392,"logarithmic"
"2","Exp1","DIM",2,0.00838151561798505,-0.000992264985338928,0.0542404976231416,0.399973087135665,0.375305172871511,0.00544081419945749,"logarithmic"
"3","Exp1","DIM",3,0.0201310327181787,-0.0269721020898168,0.0408848126310352,0.251636910906923,0.273810994634477,-0.0185354317277537,"logarithmic"
"4","Exp1","DIM",4,-0.0116761735411301,0.00217814524103488,0.037258742004371,0.340419835075767,0.360258563957448,0.0248757601539005,"logarithmic"
"5","Exp1","DIM",5,0.0215502546167509,-0.0789204610903177,0.0408706725899699,0.307825581137086,0.311331549377447,-0.0799501580800594,"logarithmic"
"6","Exp1","DIM",6,0.00467951068249776,-0.0480537124994459,0.0710902315700384,0.275831140543951,0.296015922655119,-0.0491928761138094,"logarithmic"
"7","Exp1","DIM",7,0.00602859755964235,-0.0150497756269234,0.0641520023611727,0.342055110529893,0.303135145328046,-0.0221841072054343,"logarithmic"
"8","Exp1","DIM",8,0.0249138046884699,-0.0688195812612454,0.0782347818519669,0.351001513939355,0.367863465426657,-0.0728958283015794,"logarithmic"
"9","Exp1","DIM",9,-0.0124189577421327,0.000702495229765998,0.0314146126827931,0.169540387297889,0.199970641260786,0.00572443924284755,"logarithmic"
"10","Exp1","DIM",10,-0.000977435071272811,0.0246100061261721,0.0329757444278979,0.427057742454584,0.455168845576811,0.046886161441559,"logarithmic"
"11","Exp1","DIM",11,0.0162964629943545,-0.0165539036949627,0.0683998150017133,0.203683109946255,0.166286132020003,-0.015329631928658,"logarithmic"
"12","Exp1","DIM",12,-0.00294378249204446,0.00894603614066521,0.0324595067020333,0.333553581794634,0.347690821080219,0.0105173578720923,"logarithmic"
"13","Exp1","DIM",13,-0.0430665427075984,0.0220449515349701,0.0443429862231104,0.296242617895874,0.33613967642707,0.0191213268900862,"logarithmic"
"14","Exp1","DIM",14,-0.0101684804195227,0.0131023552379281,0.0437957147693378,0.284221652502952,0.292601816319163,0.0156701689782136,"logarithmic"
"15","Exp1","DIM",15,0.0260314458800054,-0.0523032592348924,0.0441203910272484,0.215485600381117,0.22287726450193,-0.0469078580125051,"logarithmic"
"16","Exp1","DIM",16,0.0123503917601817,-0.0216042629659766,0.0667686282159558,0.211108311778897,0.173700976284068,-0.0234933540675617,"logarithmic"
"17","Exp1","LGM",1,0.0113323654760004,-0.0218641797170385,0.0622378879070493,0.241180306689293,0.228477073348945,-0.0116252657262745,"logarithmic"
"18","Exp1","LGM",2,0.00411191039446878,0.0105238444218345,0.0745534539572164,0.385370241554686,0.335669467084463,0.00548320500999624,"logarithmic"
"19","Exp1","LGM",3,0.0281315097966893,-0.0236378488956695,0.0584557422786401,0.219681661614565,0.26321968776788,-0.0198157069875737,"logarithmic"
