"","Nsub","Exp","model","m_mu_p_g","m_sig2_p_g","m_mu_p_s_IR","m_mu_p_l_IR","m_sig_pr2_l_IR"
"89",12,"Exp1","DIM",2.19726515095676,0,0,0,0
"90",12,"Exp1","IP",0,0.0622255911621393,0.93857399480793,2.09003930164501,0.723092543730626
"91",12,"Exp1","LGM",1.96648917891372,0,0,0,0
"92",12,"Exp1","PIM",1.97258711087207,0,0,0,0
"93",12,"Exp2","DIM",1.29430424808868,0,0,0,0
"94",12,"Exp2","IP",0,0.0124845558003129,0.739989507556948,1.19793929090309,0.096253093485168
"95",12,"Exp2","LGM",1.42631704548805,0,0,0,0
"96",12,"Exp2","PIM",1.42806943420336,0,0,0,0
"97",13,"Exp1","DIM",2.37999568136385,0,0,0,0
"98",13,"Exp1","IP",0,0.0467623142238661,0.860319636043536,2.229998198698,0.782916425664384
"99",13,"Exp1","LGM",2.32649087568785,0,0,0,0
"100",13,"Exp1","PIM",2.32567871724401,0,0,0,0
"101",13,"Exp2","DIM",1.39442001083621,0,0,0,0
"102",13,"Exp2","IP",0,0.0244515021785572,0.968512989355256,1.30902439642393,0.0701073300931275
"103",13,"Exp2","LGM",1.41279497300968,0,0,0,0
"104",13,"Exp2","PIM",1.41279841410489,0,0,0,0
"105",14,"Exp1","DIM",1.83759552553299,0,0,0,0
"106",14,"Exp1","IP",0,0.0455513618099605,0.840098418750153,1.80016322466171,0.29380806538752
"107",14,"Exp1","LGM",0.927172081863647,0,0,0,0
"108",14,"Exp1","PIM",0.936484417242079,0,0,0,0
"109",14,"Exp2","DIM",0.845746196265673,0,0,0,0
"110",14,"Exp2","IP",0,0.0168358372683629,0.732784413349436,1.05668210376439,0.0742731238772352
"111",14,"Exp2","LGM",0.84876905962354,0,0,0,0
"112",14,"Exp2","PIM",0.848715937187213,0,0,0,0
"113",15,"Exp1","DIM",1.14980716492032,0,0,0,0
"114",15,"Exp1","IP",0,0.053280134435247,0.872416695609884,1.20873768821387,0.218747276781586
"115",15,"Exp1","LGM",1.19467422808957,0,0,0,0
"116",15,"Exp1","PIM",1.19255698018428,0,0,0,0
"117",15,"Exp2","DIM",1.11890257006182,0,0,0,0
"118",15,"Exp2","IP",0,0.0207908010199596,0.868874791346653,1.16724600140071,0.0177138536547385
"119",15,"Exp2","LGM",1.09603839056097,0,0,0,0
"120",15,"Exp2","PIM",1.0962031478289,0,0,0,0
"121",16,"Exp1","DIM",0.665447997380243,0,0,0,0
"122",16,"Exp1","IP",0,0.171131727984044,0.918778497760083,1.09112269053725,0.142072114244997
"123",16,"Exp1","LGM",0.556913243809569,0,0,0,0
"124",16,"Exp1","PIM",0.557796536335188,0,0,0,0
"125",16,"Exp2","DIM",1.00899902626079,0,0,0,0
"126",16,"Exp2","IP",0,0.0609681534472068,0.936080492804097,1.03382202231409,0.0657494990324926
"127",16,"Exp2","LGM",1.07956698928049,0,0,0,0
"128",16,"Exp2","PIM",1.07922292062678,0,0,0,0
