"","Nsub","Exp","model","ver","part","m_mu_p_g","m_sig2_p_g","m_mu_p_s_IR","m_mu_p_l_IR","m_sig_pr2_l_IR"
"1",1,"Exp1","DIM","linear","all",0.681570492508446,0,0,0,0
"2",1,"Exp1","DIM","linear","part1",0.729485573920682,0,0,0,0
"3",1,"Exp1","DIM","linear","part2",0.753643601550933,0,0,0,0
"4",1,"Exp1","DIM","log","all",0.980660713332592,0,0,0,0
"5",1,"Exp1","DIM","log","part1",0.947074010198672,0,0,0,0
"6",1,"Exp1","DIM","log","part2",0.953630468519995,0,0,0,0
"7",1,"Exp1","IP","linear","all",0,0.0274253548752143,0.721012184523794,1.23492835345135,0.182608769814319
"8",1,"Exp1","IP","linear","part1",0,0.449132848872049,0.703663884011655,1.2465609099269,0.177902070058591
"9",1,"Exp1","IP","linear","part2",0,0.169155149666693,0.727135952187071,1.21891112261494,0.253012377616218
"10",1,"Exp1","IP","log","all",0,0.129950398115437,0.731229797214387,1.22317983675472,0.094533818422389
"11",1,"Exp1","IP","log","part1",0,0.798187214189977,0.647489149997266,1.24771115656404,0.105330426944565
"12",1,"Exp1","IP","log","part2",0,0.483067273538312,0.734185415672586,1.19644808868935,0.116802947335034
"13",1,"Exp1","LGM","linear","all",0.726505963036057,0,0,0,0
"14",1,"Exp1","LGM","linear","part1",0.768013293333926,0,0,0,0
"15",1,"Exp1","LGM","linear","part2",0.769920868265332,0,0,0,0
"16",1,"Exp1","LGM","log","all",0.935797379221295,0,0,0,0
"17",1,"Exp1","LGM","log","part1",0.90207912026813,0,0,0,0
"18",1,"Exp1","LGM","log","part2",0.947971249818302,0,0,0,0
"19",1,"Exp1","PIM","linear","all",0.723126722525166,0,0,0,0
"20",1,"Exp1","PIM","linear","part1",0.774341486943844,0,0,0,0
"21",1,"Exp1","PIM","linear","part2",0.768291105571769,0,0,0,0
"22",1,"Exp1","PIM","log","all",0.936493748859284,0,0,0,0
"23",1,"Exp1","PIM","log","part1",0.905445844345931,0,0,0,0
"24",1,"Exp1","PIM","log","part2",0.952073259418934,0,0,0,0
"25",1,"Exp2","DIM","linear","all",0.901581105204133,0,0,0,0
"26",1,"Exp2","DIM","linear","part1",1.01800118017803,0,0,0,0
"27",1,"Exp2","DIM","linear","part2",1.1593981715041,0,0,0,0
"28",1,"Exp2","DIM","log","all",0.907516936201059,0,0,0,0
"29",1,"Exp2","DIM","log","part1",0.809398799316816,0,0,0,0
"30",1,"Exp2","DIM","log","part2",1.12175324683885,0,0,0,0
"31",1,"Exp2","IP","linear","all",0,0.441835128724646,0.722631047720383,1.22710967312184,0.193630097142691
"32",1,"Exp2","IP","linear","part1",0,0.686071615378476,0.661340702337269,1.21948366738266,0.309997841700555
"33",1,"Exp2","IP","linear","part2",0,0.607467823968368,0.697655710110532,1.28037113951855,0.373323500306551
"34",1,"Exp2","IP","log","all",0,0.734487467774932,0.680645636202749,1.21067618386031,0.105327574740202
"35",1,"Exp2","IP","log","part1",0,0.960533334004345,0.559637071938268,1.20681382103883,0.220060822173365
"36",1,"Exp2","IP","log","part2",0,0.910393898848087,0.626108709712185,1.26197832945637,0.310524295888981
"37",1,"Exp2","LGM","linear","all",1.12264637951999,0,0,0,0
