"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_DL_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"1",1,341,1,0.565685424949238,0.526007140657384,"Exp1","mixed","IP",0,0.576063554905774,0.125583863439363,0.574858630874374,0.0718727598281804,0,0.651624932368985,0.0718727598281804,0.92812724017182,0.0718727598281804,0.0718727598281804,"part1"
"2",2,342,1,1.2,1.19783450840987,"Exp1","mixed","IP",0,1.22501751578586,0.187848447257815,1.22518677364394,0.370796045470271,0,0.252829019435206,0.370796045470271,0.629203954529729,0.370796045470271,0.370796045470271,"part1"
"3",3,343,1,0.8,0.717920096783928,"Exp1","mixed","IP",0,0.794473777794388,0.156406732112071,0.795470234796312,0.0718727598281804,0,0.43577233114093,0.0718727598281804,0.92812724017182,0.0718727598281804,0.0718727598281804,"part1"
"4",4,344,1,1.69705627484772,1.47795791490353,"Exp1","mixed","IP",0,1.52306269949521,0.226632732384433,1.52471573234451,0.370796045470271,0,0.0714516928429206,0.370796045470271,0.629203954529729,0.370796045470271,0.370796045470271,"part1"
"5",5,345,1,0.672717132202972,0.773946270903252,"Exp1","mixed","IP",0,0.676435971166146,0.139350352237597,0.676718187738775,0.0718727598281804,0,0.548917012138226,0.0718727598281804,0.92812724017182,0.0718727598281804,0.0718727598281804,"part1"
"6",6,346,1,0.8,0.829871990645188,"Exp1","mixed","IP",0,0.794473777794388,0.156406732112071,0.795555399108045,0.0718727598281804,0,0.436513702318353,0.0718727598281804,0.92812724017182,0.0718727598281804,0.0718727598281804,"part1"
"7",7,347,1,0.672717132202972,0.56597492061519,"Exp1","mixed","IP",0,0.676435971166146,0.139350352237597,0.677583643318559,0.0718727598281804,0,0.554697904340661,0.0718727598281804,0.92812724017182,0.0718727598281804,0.0718727598281804,"part1"
"8",8,349,1,2.01815139660892,1.24593473886489,"Exp1","mixed","IP",0,1.69884123841642,0.250023575221688,1.69802585529167,0.370796045470271,0,-0.0284037807878103,0.370796045470271,0.629203954529729,0.370796045470271,0.370796045470271,"part1"
"9",9,350,1,1.69705627484772,0.941986539735808,"Exp1","mixed","IP",0,1.52306269949521,0.226632732384433,1.52309264544126,0.370796045470271,0,0.0629131554721518,0.370796045470271,0.629203954529729,0.370796045470271,0.370796045470271,"part1"
"10",10,351,1,0.565685424949238,0.653942476650627,"Exp1","mixed","IP",0,0.576063554905774,0.125583863439363,0.576371688021045,0.0718727598281804,0,0.662523658016452,0.0718727598281804,0.92812724017182,0.0718727598281804,0.0718727598281804,"part1"
"11",11,352,1,2.4,1.30997300482886,"Exp1","mixed","IP",0,1.89533597741215,0.276484309166576,1.89605616409653,0.370796045470271,0,-0.135016525544122,0.370796045470271,0.629203954529729,0.370796045470271,0.370796045470271,"part1"
"12",12,353,1,1.2,1.34996815316299,"Exp1","mixed","IP",0,1.22501751578586,0.187848447257815,1.22571252050776,0.370796045470271,0,0.256201400553353,0.370796045470271,0.629203954529729,0.370796045470271,0.370796045470271,"part1"
"13",13,354,1,0.475682846001088,0.589955215385999,"Exp1","mixed","IP",0,0.490697509124024,0.114603309020129,0.490536327339021,0.0718727598281804,0,0.748483563811129,0.0718727598281804,0.92812724017182,0.0718727598281804,0.0718727598281804,"part1"
"14",14,355,1,0.4,0.421965018240371,"Exp1","mixed","IP",0,0.418080905842827,0.105954800480859,0.417072071663447,0.0718727598281804,0,0.830314344565673,0.0718727598281804,0.92812724017182,0.0718727598281804,0.0718727598281804,"part1"
"15",15,356,1,1.2,1.10980506252781,"Exp1","mixed","IP",0,1.22501751578586,0.187848447257815,1.22592562647736,0.370796045470271,0,0.260059567255976,0.370796045470271,0.629203954529729,0.370796045470271,0.370796045470271,"part1"
"16",16,357,1,0.475682846001088,0.677874254755807,"Exp1","mixed","IP",0,0.490697509124024,0.114603309020129,0.491677641393546,0.0718727598281804,0,0.74978958553429,0.0718727598281804,0.92812724017182,0.0718727598281804,0.0718727598281804,"part1"
"17",17,358,1,0.8,0.845924786728574,"Exp1","mixed","IP",0,0.794473777794388,0.156406732112071,0.793686917888489,0.0718727598281804,0,0.438253237164965,0.0718727598281804,0.92812724017182,0.0718727598281804,0.0718727598281804,"part1"
"18",18,359,1,1.42704853800327,1.02194853501533,"Exp1","mixed","IP",0,1.36578080792855,0.206000339144914,1.36523493738414,0.370796045470271,0,0.159098884394815,0.370796045470271,0.629203954529729,0.370796045470271,0.370796045470271,"part1"
